20151101
67         BAS RHIN                      
RUE        JEAN THEODORE GEROLD       
RUE        DE MARMOUTIER              
RUE        DE JETTERSWILLER           
RUE        DU LAVOIR                  
RUE        DE LA LUMIERE              
RUE        D OBERSTEIGEN              
RUE        DE ROMANSWILLER            
RUE        DE SALENTHAL               
RUE        DE SINGRIST                
           commune :     ALTECKENDORF                   departement : BAS RHIN                      
LIEU-DIT   ACHT AECKER                
LIEU-DIT   ALTE STRASSE               
LIEU-DIT   AMEISENBUCKEL              
LIEU-DIT   AUF BERGMATT               
LIEU-DIT   BAECHEN                    
LIEU-DIT   BALDWINS ABWENDER          
LIEU-DIT   BALGERSMATT                
LIEU-DIT   BERGMATT                   
LIEU-DIT   BINSENPLATZ                
LIEU-DIT   BOESCH                     
LIEU-DIT   BRUCHACKER                 
LIEU-DIT   BRUCHGARTEN                
LIEU-DIT   BRUCHWEG                   
LIEU-DIT   BRUECHELBRUNNEN            
LIEU-DIT   BRUELLMATT                 
LIEU-DIT   BUESWEILER WEG             
LIEU-DIT   CHEMIN D EXPLOITATION      
LIEU-DIT   CHEMIN DE FER              
LIEU-DIT   DAUMATT                    
LIEU-DIT   DEICH                      
LIEU-DIT   DOERNEL                    
LIEU-DIT   DUERRE GAERTEN             
LIEU-DIT   EBENHEIT                   
LIEU-DIT   ECKENDORFER ALLMEND        
LIEU-DIT   EGERLE                     
LIEU-DIT   EICHELBERG                 
LIEU-DIT   ETTENDORFER FELD           
LIEU-DIT   ETTENDORFER GASS           
LIEU-DIT   FILDEL                     
LIEU-DIT   FLACHSLAENDER              
LIEU-DIT   FOSSE SYNDICAL             
LIEU-DIT   GAENSBUEHL                 
LIEU-DIT   GAENSWEID                  
LIEU-DIT   GAESSELSTUECK              
LIEU-DIT   GEMEINDEFELD               
LIEU-DIT   GRAEFMATT                  
LIEU-DIT   GRIENSRIED                 
LIEU-DIT   GROSS FILDEL               
LIEU-DIT   GROSSMATT                  
LIEU-DIT   GROSSMATTGAERTEN           
LIEU-DIT   GRUNDREBEN                 
LIEU-DIT   HABERFELD                  
LIEU-DIT   HAEFELSRAIN                
LIEU-DIT   HALDEN                     
LIEU-DIT   HERRENWEG                  
LIEU-DIT   HINTER DEN ZAUNEN          
LIEU-DIT   HUEHNERSCHEER              
LIEU-DIT   HUNDSRUECKEN               
LIEU-DIT   IM TAL                     
