20151101
LIEU-DIT   RUE D ANGERVILLE           
LIEU-DIT   LA RUE D ANGERVILLE        
LIEU-DIT   AU SENTIER D YPREVILLE     
LIEU-DIT   AU SENTIER DYPREVILLE      
LIEU-DIT   TERRES DU DAUBEUF          
LIEU-DIT   LES TERRES DU HETRE        
LIEU-DIT   TERRES DU HETRE            
LIEU-DIT   TERRES PRES ANCRETTEVILLE  
LIEU-DIT   LES TERRES PRES D ANCREVIL 
LIEU-DIT   YPREVILLE                  
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA RUE                     
ROUTE      DES ALOUETTES              
ROUTE      D ALVENTOT                 
ROUTE      DES BATTEUSES              
IMPASSE    DES BOULEAUX               
ROUTE      DU BOUT VENTEUX            
ROUTE      DE LA BRIQUETERIE          
IMPASSE    DU CALVAIRE                
IMPASSE    DES CELLIERS               
IMPASSE    DES CHARMES                
IMPASSE    DE LA CHARRETERIE          
IMPASSE    DES CHAUMIERS              
IMPASSE    DES CHENES                 
IMPASSE    DES CHEVREUILS             
ROUTE      DE COLLEVILLE              
ROUTE      DES COLVERTS               
ROUTE      DE DAUBEUF                 
ROUTE      DE L EGLISE                
IMPASSE    DES ERABLES                
IMPASSE    DES FAISANS                
IMPASSE    DE LA FORGE                
IMPASSE    DU FOUR A PAIN             
IMPASSE    DES FRENES                 
CHEMIN     DE LA GARENNE              
ROUTE      DES HATES                  
ROUTE      DU HAUT ET LOIN            
CHEMIN     DES HERONS                 
ROUTE      DES HETRES                 
IMPASSE    DES LILAS                  
ROUTE      DE LIMERVILLE              
IMPASSE    DE LA LINERIE              
IMPASSE    DU MANEGE                  
IMPASSE    DU MARECHAL FERRANT        
ROUTE      DES MARRONNIERS            
ROUTE      DE MIQUETOT                
IMPASSE    DU MOULIN                  
IMPASSE    DES ORMES                  
CHEMIN     DE LA PASSEE               
IMPASSE    DES PERDRIX                
ROUTE      DES PIVERTS                
ROUTE      DES POTIERS                
ROUTE      DES ROITELETS              
ROUTE      DE SASSETOT                
IMPASSE    DES TISSERANDS             
ROUTE      DE LA TOUR LANTERNE        
ROUTE      DES TOURTERELLES           
ROUTE      DU VALRANDON               
ROUTE      D YPREVILLE                
           commune :     ANGERVILLE-L ORCHER            departement : SEINE MARITIME                
LOT        LES DUNES                  
LOT        LES ENOUETTES              
           LES HELLANDES              
LOT        LES VIOLETTES              
           LE CARTOT                  
RESIDENCE  DU BOSQUET                 
RESIDENCE  DU VERGER                  
LIEU-DIT   LA CROIX DE PIERRE         
LIEU-DIT   ESCLATOT HAMEAU            
LIEU-DIT   LA FOSSE                   
LIEU-DIT   HAMEAU DE FRANCE           
LIEU-DIT   HAMEAU DE LA ROMAINERIE    
LIEU-DIT   HAMEAU DU CARREAU PIQUE    
LIEU-DIT   LA MARE DES AULNES         
LIEU-DIT   LE PETIT BLESIMARE         
LIEU-DIT   PLAINE DU CAP              
LIEU-DIT   PLAINE DU LOIR             
LIEU-DIT   LE PRUNIER HAMEAU          
LIEU-DIT   LES TROIS FERMES           
LIEU-DIT   LE VILLAGE                 
RUE        D'AUZOUVILLE               
ROUTE      DE CRIQUETOT               
ROUTE      DE FAUVILLE                
ROUTE      D HERMEVILLE               
ROUTE      DE MANEGLISE               
ROUTE      DE MANNEVILLE LA GOUPIL    
ROUTE      DE SAINT ROMAIN            
ROUTE      DE SAINT SAUVEUR           
IMPASSE    VIOLLETTE                  
ROUTE      DE VIRVILLE                
IMPASSE    DES AULNES                 
ROUTE      DE BLESIMARE               
RUE        DU CAP                     
IMPASSE    DU CARREAU PIQUE           
IMPASSE    DU CARTOT                  
IMPASSE    DES CHARMILLES             
ROUTE      DU CHESNAY                 
IMPASSE    DU COUDRAY                 
ROUTE      DE LA CROIX DE PIERRE      
IMPASSE    DES DUNES                  
RUE        DES ECOLES                 
RUE        DES EMOUETTES              
ROUTE      D'ESCLATOT                 
RUE        DE L'EUROPE                
IMPASSE    DU FAUBOURG                
RUE        DE LA FORGE                
PLACE      DU GENERAL DE GAULLE       
ROUTE      DE LA GOELETTE             
ROUTE      DU HAMEAU DE FRANCE        
RUE        DES HAUTES FALAISES        
RUE        DES HELLANDES              
IMPASSE    DE LA HETRAIE              
RUE        DE L'IF                    
