20151101
52         HAUTE MARNE                   
LIEU-DIT   PENDT DU GROS ARBRE COTE D 
LIEU-DIT   PENDT DU HT ARBRE COTE DE  
LIEU-DIT   PENDT DU HT ARBRE PTE MONT 
LIEU-DIT   LE PETIT BANC              
LIEU-DIT   LA PIERRE LOMBARD          
LIEU-DIT   LE PIVERON                 
LIEU-DIT   PLAN DU CHENE              
LIEU-DIT   AU POMMERET                
LIEU-DIT   LE PONT NEUF               
LIEU-DIT   PRE BIZET                  
LIEU-DIT   LA PREE                    
LIEU-DIT   PRES DE LA GOULE           
LIEU-DIT   PRES DE MAREILLES          
LIEU-DIT   LE PUIT MANGEANT           
LIEU-DIT   LE PUIT PREVOT             
LIEU-DIT   LE QUELOUE EST             
LIEU-DIT   LE QUELOUE OUEST           
LIEU-DIT   LA QUEMINNE                
LIEU-DIT   LE RENNEPONNES             
LIEU-DIT   LA RIPPE                   
LIEU-DIT   LE ROIDON                  
LIEU-DIT   ROIES BITORSES             
LIEU-DIT   ROUGELIN                   
LIEU-DIT   AU ROUSSILLON              
LIEU-DIT   SAINT CLAUDE               
LIEU-DIT   SEPT FONTAINES             
LIEU-DIT   LE SEUILLE                 
LIEU-DIT   SOUS FOUILLOT              
LIEU-DIT   SOUS L EVANGILE            
LIEU-DIT   LA TETE DES CHENIVOTS      
LIEU-DIT   TETE MARTIN                
LIEU-DIT   LA TRASSE ROUGE            
LIEU-DIT   LA TREFILERIE              
LIEU-DIT   LES TROIS POIRIERS         
LIEU-DIT   AUX TROIS POIRIERS         
LIEU-DIT   LES VAUX                   
LIEU-DIT   LES VIEILLES VIGNES        
LIEU-DIT   LE VIEUX CHATEAU           
LIEU-DIT   VIGNES DES ROCHES          
LIEU-DIT   VIGNES EN HAUT DE LA COTE  
LIEU-DIT   LES VIGNES MARCHAND        
LIEU-DIT   BLANCHEVILLE               
LIEU-DIT   VILLAGE EST                
LIEU-DIT   VILLAGE OUEST              
LIEU-DIT   LE VIVIER                  
LIEU-DIT   LA VOIE CREUSE             
LIEU-DIT   LA VOIE FERREE             
LIEU-DIT   FERME DES MENUS BOIS       
ROUTE      DE L ABBAYE DE SEPTFONTAIN 
RUE        DE L ABREUVOIR             
ROUTE      DE BLANCHEVILLE            
PLACE      DU BRIGADIER DEROCLE       
RUE        DE LA BUXIERE              
PLACE      CANTAREL                   
RUE        DE LA CHARME               
RUELLE     DU CHEMIN DE FER           
RUE        DU CLOS                    
RUE        DE LA COTE NEUVE           
RUE        COTE BETIN                 
RUE        DE LA CROIX SAINTE BARBE   
RUE        DU DARDIGNON               
ROUTE      DEPARTEMENTALE N 44        
RUE        DE LA DIVISION GEN LECLERC 
PLACE      DE L'EGLISE                
RUE        DE L EGLISE                
RUE        DE LA FONTAINE RONDE       
ROUTE      DE LA FORET                
RUE        DE LA FOUCHERE             
RUE        DE LA GARE                 
PLACE      DU GENERAL DILLEMANN       
RUE        DU GUE                     
RUE        GEORGES LIBERT             
           GRANDE RUE                 
RUE        CITE JACQUEMIN             
RUE        MAGNAN                     
RUE        MERGER                     
ROUTE      DE MORTEAU                 
RUE        DU MOULIN                  
ROUTE      DE NEUFCHATEAU             
RUE        DU PARC                    
RUE        DE LA PETITE MONTAGNE      
RUE        DE LA PIERRE LOMBARD       
RUE        PINOLET DE MONTECLAIR      
RUE        DES RENNEPONNES            
RUE        DE LA ROCHOTTE             
RUE        SAINT LOUVENT              
RUE        SAINT MICHEL               
RUE        SAINT NICOLAS              
RUE        DE SIGNEVILLE              
PLACE      DU TRAITE D ANDELOT        
RUE        DE VERDUN                  
RUE        DU VIADUC                  
RUE        DU VIEUX MOIRE             
ROUTE      DE VIGNES                  
RUE        DU VIVIER                  
           commune :     ANDILLY EN BASSIGNY            departement : HAUTE MARNE                   
LIEU-DIT   LES ANDIES                 
LIEU-DIT   BANNEFROID                 
LIEU-DIT   BAS DE BOIS                
LIEU-DIT   BAS DES GRANDES VIGNES     
LIEU-DIT   BERGERE                    
LIEU-DIT   AUX BOSSES                 
LIEU-DIT   BOUSSOILLE                 
LIEU-DIT   LE CARON                   
LIEU-DIT   CHAMP LA VIGNE             
LIEU-DIT   CHAMP PARMONT              
LIEU-DIT   CHAMPS BITOT               
LIEU-DIT   CHAMP CAZEL                
LIEU-DIT   CHAMPS D ERABLE            
LIEU-DIT   CHAMPS PARMONT             
LIEU-DIT   CHAMP SIMON                
LIEU-DIT   LE CHANET                  
LIEU-DIT   LES CHARCELLES             
LIEU-DIT   CHARGE D EAU               
LIEU-DIT   CHATENIERE                 
LIEU-DIT   AU CHEMINOT                
LIEU-DIT   COEURLET                   
LIEU-DIT   COIN DE LA FOUGERE         
LIEU-DIT   COMBE HODOT                
LIEU-DIT   LES CORNEES                
LIEU-DIT   CORVEE DE BIZE             
LIEU-DIT   CORVEE DES HAIES DE CELLES 
LIEU-DIT   COTE DE PRACET             
LIEU-DIT   COTE DE PRACET  SUD        
LIEU-DIT   COTE DU FOL                
LIEU-DIT   LES COTES                  
LIEU-DIT   COUDRAN                    
LIEU-DIT   COYARD                     
LIEU-DIT   CRET CHATIN                
LIEU-DIT   CRET D ARCHET              
LIEU-DIT   CRET DE GUENOT             
LIEU-DIT   CRET DE RONCOURT           
LIEU-DIT   CRET DES DIX PARIS         
LIEU-DIT   CROIX DE CHAMOIS           
LIEU-DIT   CROTTES AUX LIEVRES        
LIEU-DIT   DERRIERE LES JARDINS       
LIEU-DIT   DERRIERE LES LOTS          
LIEU-DIT   DERRIERE MOLION            
LIEU-DIT   AU DESSUS DE RONCOURT      
LIEU-DIT   AUX DIX POIRIERS           
LIEU-DIT   ENBEUTET                   
