20151101
03         ALLIER                        
LIEU-DIT   CHAMP DE LA LOIRE          
LIEU-DIT   CHAMP DE LA MAISON         
LIEU-DIT   CHAMP DE LA MAISON NEUVE   
LIEU-DIT   CHAMP DE LA MOTTE VARENNE  
LIEU-DIT   CHAMP DE LA NOIRIE         
LIEU-DIT   CHAMP DE LA PECHERIE       
LIEU-DIT   CHAMP DE LA PIERRE         
LIEU-DIT   CHAMP DE LA PORTE          
LIEU-DIT   CHAMP DE LA RAIMONNERIE    
LIEU-DIT   CHAMP DE LA RIVIERE        
LIEU-DIT   CHAMP DE LA RONDE          
LIEU-DIT   CHAMP DE LA ROUCHE         
LIEU-DIT   CHAMP DE LA SONDE          
LIEU-DIT   CHAMP DE LA VIGNE          
LIEU-DIT   CHAMP DE LA VIGNE GAUTIER  
LIEU-DIT   CHAMP DE LIMOISE           
LIEU-DIT   CHAMP DE LOYASSE           
LIEU-DIT   CHAMP DE LUCAY             
LIEU-DIT   CHAMP DE PRAINGY           
LIEU-DIT   CHAMP DE SAINT RAJSANT     
LIEU-DIT   CHAMP DENISON              
LIEU-DIT   CHAMP DES ACHINTAUD        
LIEU-DIT   CHAMP DES ANTES            
LIEU-DIT   CHAMP DES APRETS           
LIEU-DIT   CHAMP DES ARNATS           
LIEU-DIT   CHAMP DES BARBARRIES       
LIEU-DIT   CHAMP DES BESSETS          
LIEU-DIT   CHAMP DES BOIS             
LIEU-DIT   CHAMP DES BROSSES          
LIEU-DIT   CHAMP DES CHARMES          
LIEU-DIT   CHAMP DES COMETS           
LIEU-DIT   CHAMP DES COUETS           
LIEU-DIT   CHAMP DES CROS             
LIEU-DIT   CHAMP DES EGUILLONS        
LIEU-DIT   CHAMP DES EPINASSES        
LIEU-DIT   CHAMP DES EPINGLIERS       
LIEU-DIT   CHAMP DES FOUCHES          
LIEU-DIT   CHAMP DES FOURCHES         
LIEU-DIT   CHAMP DES GOUDRES          
LIEU-DIT   CHAMP DES GOUTTES          
LIEU-DIT   CHAMP DES GROITIERS        
LIEU-DIT   CHAMP DES GUENNES          
LIEU-DIT   CHAMP DES LANDES           
LIEU-DIT   CHAMP DES MATELATS         
LIEU-DIT   CHAMP DES MONTEES          
LIEU-DIT   CHAMP DES MOTTES           
LIEU-DIT   CHAMP DES MURAILLES        
LIEU-DIT   CHAMP DES NAUDS            
LIEU-DIT   CHAMP DES NAUTAUS          
LIEU-DIT   CHAMP DES NOYERS           
LIEU-DIT   CHAMP DES NUITS            
LIEU-DIT   CHAMP DES ORMES            
LIEU-DIT   CHAMP DES PAULINS          
LIEU-DIT   CHAMP DES PETITS CROTS     
LIEU-DIT   CHAMP DES PIERRES          
LIEU-DIT   CHAMP DES PLANTONS         
LIEU-DIT   CHAMP DES POIRIERS         
LIEU-DIT   CHAMP DES POMMIERS         
LIEU-DIT   CHAMP DES PRES             
LIEU-DIT   CHAMP DES PRESLES          
LIEU-DIT   CHAMP DES PRESSES          
LIEU-DIT   CHAMP DES QUANIERS         
LIEU-DIT   CHAMP DES ROUGARDS         
LIEU-DIT   CHAMP DES ROUYARDS         
LIEU-DIT   CHAMP DES RUES             
LIEU-DIT   CHAMP DES SOUCHES          
LIEU-DIT   CHAMP DES TAILLIS          
LIEU-DIT   CHAMP DES TEILLES          
LIEU-DIT   CHAMP DES TIENNES          
LIEU-DIT   CHAMP DES TREMBLAIS        
LIEU-DIT   CHAMP DES TROIS CHENES     
LIEU-DIT   CHAMP DU BALET             
LIEU-DIT   CHAMP DU BOIS              
LIEU-DIT   CHAMP DU BOIS D EN BAS     
LIEU-DIT   CHAMP DU BOIS D EN HAUT    
LIEU-DIT   CHAMP DU BOURG             
LIEU-DIT   CHAMP DU BREUIL            
LIEU-DIT   CHAMP DU CANAL             
LIEU-DIT   CHAMP DU CHARME            
LIEU-DIT   CHAMP DU CHATEAU           
LIEU-DIT   CHAMP DU CHEVAL            
LIEU-DIT   CHAMP DU CONTE             
LIEU-DIT   CHAMP DU COUET             
LIEU-DIT   CHAMP DU CREUX             
LIEU-DIT   CHAMP DU CREUX DE SELLE    
LIEU-DIT   CHAMP DU FOUR              
LIEU-DIT   CHAMP DU GRAND BOUTASSON   
LIEU-DIT   CHAMP DU GREVION           
LIEU-DIT   CHAMP DU GUILLAUMER        
LIEU-DIT   CHAMP DU JARDIN            
LIEU-DIT   CHAMP DU LAC               
LIEU-DIT   CHAMP DU LANGERON          
LIEU-DIT   CHAMP DU MOULIN            
LIEU-DIT   CHAMP DU PAVE              
LIEU-DIT   CHAMP DU PERCHY            
LIEU-DIT   CHAMP DU PLAIX             
LIEU-DIT   CHAMP DU PRE NEUF          
LIEU-DIT   CHAMP DU PUITS             
LIEU-DIT   CHAMP DU SENS              
LIEU-DIT   CHAMP DU SOLEIL            
LIEU-DIT   CHAMP DU SORBIER           
LIEU-DIT   CHAMP DU TAILLIS           
LIEU-DIT   CHAMP DU VENT              
LIEU-DIT   CHAMP DU VERGER            
LIEU-DIT   CHAMP DU VINAIGRE          
LIEU-DIT   CHAMP FELIGEON             
LIEU-DIT   CHAMP FOSSET               
LIEU-DIT   CHAMP FOURCHUT             
LIEU-DIT   CHAMP FUMIERE              
LIEU-DIT   CHAMP GAUDOUX              
LIEU-DIT   CHAMP GILET                
LIEU-DIT   CHAMP GOUJOUNAT            
LIEU-DIT   CHAMP GRAND PIERRE         
LIEU-DIT   CHAMP LONG                 
LIEU-DIT   CHAMP LOUIS                
LIEU-DIT   CHAMP LUCAY                
LIEU-DIT   CHAMP MARTIN               
LIEU-DIT   CHAMP MECHIN               
LIEU-DIT   CHAMP MELAUD               
LIEU-DIT   CHAMP MIGNANI              
LIEU-DIT   CHAMP MORIAUD              
LIEU-DIT   CHAMP MORTIER              
LIEU-DIT   CHAMP MOUTARDIER           
LIEU-DIT   CHAMP NIAULET              
LIEU-DIT   CHAMP NOIR                 
LIEU-DIT   CHAMP PARET                
LIEU-DIT   CHAMP PELE                 
LIEU-DIT   CHAMP PELE D EN BAS        
LIEU-DIT   CHAMP PELE D EN HAUT       
LIEU-DIT   CHAMP PLATET               
LIEU-DIT   CHAMP POIRIER              
LIEU-DIT   CHAMP POUBLOUX             
LIEU-DIT   CHAMP RAGOT                
LIEU-DIT   CHAMP RAYMOND              
LIEU-DIT   CHAMP RENARD               
LIEU-DIT   CHAMP ROUCHE               
LIEU-DIT   CHAMP ROUGE                
LIEU-DIT   CHAMP ROUGE DU MILIEU      
LIEU-DIT   CHAMP ROUSSET              
LIEU-DIT   CHAMP SEGIN                
LIEU-DIT   CHAMP SEGUIN               
LIEU-DIT   CHAMP SENETABLE            
LIEU-DIT   CHAMP TROIS QUARTS         
LIEU-DIT   CHAMP VAGUE                
LIEU-DIT   CHAMP VIGNE ET PETIT BOUTA 
LIEU-DIT   CHAMP PILLARD              
LIEU-DIT   CHAMPS DES GREVES          
LIEU-DIT   LE CHANTEMOUCHE            
LIEU-DIT   LES CHARBONNIERS           
LIEU-DIT   LES ECHARDONS              
LIEU-DIT   LES CHARNIERES             
LIEU-DIT   LA CHASSINE                
LIEU-DIT   CHATEAU DE BEAUMONT        
LIEU-DIT   CHATEAU DE L EPINE         
LIEU-DIT   CHATEAU DE LA TUILERIE     
LIEU-DIT   CHATEAU DE LAUGERE         
LIEU-DIT   CHATEAU DE PRAINGY         
