20151101
21         COTE D OR                     
LIEU-DIT   ES VIGNES DU MOULIN        
LIEU-DIT   ES VOYES D EPIREY          
LIEU-DIT   AU FOURNEAU                
LIEU-DIT   GRANDS CRAIS               
LIEU-DIT   GRANDS CRAIS DU PUITS DE B 
LIEU-DIT   ISLES DES PONTS D ASNIERES 
LIEU-DIT   MOULIN D AHUY              
LIEU-DIT   AU NOYER THEURIET          
LIEU-DIT   PETITS CRAIS               
LIEU-DIT   PLAINS DE PIERRES          
LIEU-DIT   PONTS D ASNIERES           
LIEU-DIT   AU REVERS DES COMBES       
LIEU-DIT   SOUS LA VILLE              
LIEU-DIT   VERS LA MURAILLE DE VANTOU 
LIEU-DIT   LE VILLAGE                 
VC         2 D AHUY A HAUTEVILLE      
VC         3 D AHUY A RUFFEY          
VC         5 D AHUY A FONTAINE LES DI 
VC         6 DE HAUTEVILLE A MESSI    
CR         7 DES CHENEVIERES          
CR         8 DU MOULIN                
CR         9 DE LA CROIX D OUZERAU    
CR         10 DU PUITS DE BOIS        
CR         11 DES COMBERONS           
CR         12 DU CHAMP AU FOURNEAU    
CR         13 DE LA RUELLE AU BEAU    
CR         14 DES PETITES RENTES ET R 
CR         15 DES PLANTES BOYER       
CR         16 DES RUCHOTTES           
CR         17 DES CHARBONNIERS        
CR         20 DES MARAUDEES           
CR         21 DES VACHES              
CR         22 DES CHAMPS POURROTS     
CR         23 DU CHAMP MARRA          
CR         24 DE PLAINS DE PIERRES    
CR         25 DES COMBES              
CR         26 DU NOYER THEURIET       
CR         27 DESS COMBE BOIS D AHUY  
CR         28 DES CHARMES AUX LIEVRES 
CR         29 DES CORNEAUX            
CR         30 DES BORDEES             
SENTIER    31 DES AIGES               
SENTIER    32 DU MONT DES VIG         
CD         107 DIJON A SAVIGNY LE     
CD         996 VITRY LE FR A BOURG    
           LE SUZON                   
PLACE      DE L ABBE DEBRIE           
ALLEE      DES ACACIAS                
RUE        D AHUY                     
PLACE      DE L ANCIENNE GARE         
RUE        DES AUBEPINES              
RUE        DE L AQUEDUC DARCY         
RUELLE     DU BAS DES ROCHERS         
RUELLE     AU BEAU                    
CHEMIN     DE BELLEVUE                
IMPASSE    DU CARON                   
RUELLE     DE LA CHAPELLE             
CHEMIN     DE LA CHARMETTE            
RUELLE     DU CIMETIERE               
IMPASSE    DU CLOS CAUTIN             
RUE        DES DEMOISELLES            
RUE        DES DEMOISELLES            
ROUTE      DE DIJON                   
PLACE      DU 19 MARS 1962            
RUE        DES ECOLES                 
RUE        DE L EGLISE                
ALLEE      DES ERABLES                
RUE        ALEXANDER FLEMING          
ROUTE      DE FONTAINE LES DIJON      
RUE        DE FONTAINE                
RUE        DES FROMENTAUX             
ALLEE      DES FRENES                 
ALLEE      DES GANTIERES              
AVENUE     GENERAL TOUZET DU VIGIER   
ALLEE      DES GORGAINES              
RUE        DES GRANDES VARENNES       
GR         GRAND  RUE                 
RUE        DES GRANDS CLOS            
CHEMIN     DE HAUTEVILLE              
PLACE      DU 8 MAI 1945              
CHEMIN     DES JOSSETS                
RUE        DES JOSSETS                
RUE        DES MARRONNIERS            
ROUTE      DE MESSIGNY                
ALLEE      DES MOLARDES               
IMPASSE    DU MONT DES VIGNES         
RUE        DES MUREES                 
RUE        DES MUREES                 
RUE        DU MOULIN                  
PLACE      DU 11 NOVEMBRE 1918        
