20151101
LIEU-DIT   LA POINTE DE LA BERGERONNE 
LIEU-DIT   LA POINTE DE LA SOLOGNE    
LIEU-DIT   VERS SANTILLY              
AUTOROUTE  A10 AQUITAINE              
PLACE      DE L AUBERGE               
PLACE      DU CALVAIRE                
IMPASSE    DE LA CHAPELLE             
RUE        DU COLOMBIER               
RUE        DE LA CROIX                
PLACE      DE L EGLISE                
RUE        DE LA FORGE                
RUE        DES GATINES                
RUE        DU GRAND BOIS              
RUE        DE LA LIBERATION           
RUE        DES MOINES                 
RUE        DU MOULIN                  
RUE        NOTRE DAME                 
RUE        DU ONZE NOVEMBRE           
PLACE      SAINT LOUP                 
PLACE      SAINT MARTIN               
RUE        SAINT PHALIER              
RUE        SAINT ROCH                 
RUE        DE LA TOURELLE             
           commune :     ALLAINVILLE                    departement : EURE ET LOIR                  
LIEU-DIT   LES BOIS D ALLAINVILLE     
LIEU-DIT   CHAMPSERU                  
LIEU-DIT   LES DESERTS                
LIEU-DIT   LES FAILLEAUX              
LIEU-DIT   LES FLEURIGNY              
LIEU-DIT   LA FOLIE                   
LIEU-DIT   LES GRANDS MAUPAS          
LIEU-DIT   LAUMONETTE                 
LIEU-DIT   LES MURGERS A LAUTHON      
LIEU-DIT   LES ONZE ARPENTS           
LIEU-DIT   LE PRIEURE                 
LIEU-DIT   LA SENTE DES COULLONS      
LIEU-DIT   LES TERRES NOIRES          
LIEU-DIT   LA VALLEE BRISARD          
LIEU-DIT   LA VALLEE DE CHAMPSERU     
LIEU-DIT   LA VALLEE SAILLARD         
LIEU-DIT   LE VILLAGE                 
RUE        DU CHEM VERT               
ROUTE      DE DREUX                   
ROUTE      DE GARNAY                  
RUE        JOSEPH POULAIN             
ROUTE      DE LOUVILLIERS             
RUE        ST SAMSON                  
RUE        DE LA VALLEE               
           commune :     ALLONNES                       departement : EURE ET LOIR                  
LOT        GASTON COUTE               
LIEU-DIT   L ANCIEN BOIS              
LIEU-DIT   L ARBRE DE PUISEAU         
LIEU-DIT   LE BOIS TIREPEINE          
LIEU-DIT   LE BONNET VERT             
LIEU-DIT   LA BORNE                   
LIEU-DIT   LA BUTTE D HOUVILLE        
LIEU-DIT   LA BUTTE DE VOVES          
LIEU-DIT   LES CARRIERES              
LIEU-DIT   CHANTILLON                 
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LE CHAPITRE                
LIEU-DIT   LE CHEMIN DE BAIGNEAUX     
LIEU-DIT   LE COURT FOSSE             
LIEU-DIT   LE CROC AU RENARD          
LIEU-DIT   LA FANOIRE                 
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LA FOSSE AUX CHATS         
LIEU-DIT   LA FOSSE ERNEUSE           
LIEU-DIT   LE FOSSE JUTEAU            
LIEU-DIT   LE GLAND D EN HAUT         
LIEU-DIT   LE HAUT D EMANVILLE        
LIEU-DIT   LES HAUTS MARAIS           
LIEU-DIT   LES JONCS                  
LIEU-DIT   JOUARDE                    
LIEU-DIT   LA JUSTICE                 
LIEU-DIT   LES MARAIS                 
LIEU-DIT   LES MARCHAIS               
LIEU-DIT   LA MARE DES SAULES         
LIEU-DIT   LA MARNIERE A CHAUDRON     
LIEU-DIT   MAROLLES                   
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LE MOULIN D EMANVILLE      
LIEU-DIT   LE MOULIN D YMORVILLE      
LIEU-DIT   LE MUID DE LA FUSEE        
LIEU-DIT   L OUCHE PIGEONNIER         
LIEU-DIT   LES OUCHES D ALLONNES      
LIEU-DIT   LES OUCHES D YMORVILLE     
LIEU-DIT   LA PETITE CONTREE          
LIEU-DIT   LA PIECE D EMANVILLE       
LIEU-DIT   LA PIERRE DE L ORME        
LIEU-DIT   LE PUISEAU                 
LIEU-DIT   LE ROULEAU                 
LIEU-DIT   LA TIMBALLERIE             
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   YMORVILLE                  
LIEU-DIT   EMANVILLE                  
LIEU-DIT   LE LEVANT                  
RUE        DES DROITS DE L HOMME      
RUE        GASTON COUTE               
RUE        HELIE                      
RUE        JACQUES YVES COUSTEAU      
RUE        JEAN MOULIN                
RUE        JULES FERRY                
RUE        MARIE CURIE                
RUE        DU MARECHAL LECLERC        
RUE        DES MARAIS                 
RUE        MARCEL PROUST              
RUE        MAURICE VIOLLETTE          
CHEMIN     DU MOULIN                  
RUE        PASTEUR                    
RUE        DU QUATORZE JUILLET        
RUE        DE LA REPUBLIQUE           
RUE        RUE MARCEL PROUST          
           commune :     ALLUYES                        departement : EURE ET LOIR                  
           GRANDE RUE                 
LOT        DES VIOLETTES              
LIEU-DIT   ALLUYES                    
LIEU-DIT   LE BAS DE FRICOT           
LIEU-DIT   LE BAS DE L ETANG          
LIEU-DIT   LE BAS DES FORVILLES       
LIEU-DIT   LE BAS PARC                
LIEU-DIT   BAS PARC D ALLUYES         
LIEU-DIT   LA BASSE COUR              
LIEU-DIT   LE BECQUET                 
LIEU-DIT   SUR LE BOIS BONNIN         
LIEU-DIT   BOIS BONNIN ET DE LA RONCE 
LIEU-DIT   BOIS D ALLUYES             
LIEU-DIT   BOIS D ALLUYES ET DE MONDE 
LIEU-DIT   LE BOIS DE BOURGERAY       
LIEU-DIT   BOIS DE L ETANG            
LIEU-DIT   LE BOIS DE VILBON          
LIEU-DIT   LE BOIS DES TOUCHES        
LIEU-DIT   LE BOIS PICHARD            
LIEU-DIT   LA BONDE                   
LIEU-DIT   BOURGERAY                  
LIEU-DIT   LE CHEMIN D ALLUYES        
LIEU-DIT   LE CHEMIN DES TOUCHES      
LIEU-DIT   LES CLAPIERS               
LIEU-DIT   CONTREE DE BEAUDOIN        
LIEU-DIT   CONTREE DE SAINT GERMAIN   
LIEU-DIT   COULOMMIERS                
LIEU-DIT   DERRIERE COULOMMIERS       
LIEU-DIT   LA FOSSE A HARANG          
LIEU-DIT   LA FOSSE A HARENG          
LIEU-DIT   FOSSE A LA TERRE           
LIEU-DIT   FOSSE AUX CHEVAUX          
LIEU-DIT   LA FOSSE BOUCHER           
LIEU-DIT   LA FOSSE MALHEUREUSE       
LIEU-DIT   LA FOSSE NEE               
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LA GARENNE DES MOTTES      
LIEU-DIT   LES GLANIERS               
LIEU-DIT   LES GLAPIERS               
LIEU-DIT   GRANDE PRAIRIE D ALLUYES   
LIEU-DIT   LES GRANDS FORVILLES       
LIEU-DIT   LES GRAVIERS DE COULOMMIER 
LIEU-DIT   LE GUE VERRONNEAU          
LIEU-DIT   LA HAIE D AMBRAYE          
LIEU-DIT   HEURTEBISE                 
LIEU-DIT   LES MARAIS                 
LIEU-DIT   MONTDETOUR                 
LIEU-DIT   LA MOTTE AU BARBIER        
LIEU-DIT   LE PERRON DE CAREME PRENAN 
LIEU-DIT   LE PETIT BOIREAU           
LIEU-DIT   LES PETITS FORVILLES       
LIEU-DIT   LES PIECES DE LA RONCE     
LIEU-DIT   LES PIECES DE VILBON       
LIEU-DIT   LA PIERRE A CANON          
LIEU-DIT   LA PIERRE AIGUE            
LIEU-DIT   LA PLAINE D AMBRAYE        
LIEU-DIT   LE PONT DE L ISLE          
LIEU-DIT   LA POTERIE                 
LIEU-DIT   LA PRAIRIE D AMBRAYE       
LIEU-DIT   PRES DE VILBON             
LIEU-DIT   LA REMISE D AMBRAYE        
LIEU-DIT   LA RONCE                   
LIEU-DIT   LE RONCIER                 
LIEU-DIT   SAINT GERMAIN              
LIEU-DIT   LA SONNETTE                
