20151101
LIEU-DIT   LA BARTHE D EN BAS         
LIEU-DIT   LA BARTHE D EN HAUT        
LIEU-DIT   LA BARTHE MOURA            
LIEU-DIT   BOULIN                     
LIEU-DIT   LA BROQUERE                
LIEU-DIT   EN CARRERE                 
LIEU-DIT   LA CASTERETTE              
LIEU-DIT   LA CATHERINE               
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   CHRISTAU                   
LIEU-DIT   LES COUTERETS              
LIEU-DIT   DASTE                      
LIEU-DIT   DEVANT LA SAVE             
LIEU-DIT   L ENCLOS                   
LIEU-DIT   ENGENSAC                   
LIEU-DIT   ENGLADOS DE LARJO          
LIEU-DIT   ENGOUDENNE                 
LIEU-DIT   ENJAMMET D EN BAS          
LIEU-DIT   ENJAMMET D EN HAUT         
LIEU-DIT   ENJANNOY                   
LIEU-DIT   ENJOUYNBOUNET              
LIEU-DIT   L ESPINE                   
LIEU-DIT   LA FERME DU GUILLOU        
LIEU-DIT   FERRAN                     
LIEU-DIT   GOMES                      
LIEU-DIT   LE GUILLOU                 
LIEU-DIT   HOURQUET                   
LIEU-DIT   ILE DE SAMARAN             
LIEU-DIT   LABURSE                    
LIEU-DIT   LARIS                      
LIEU-DIT   LAS BARICAOUES             
LIEU-DIT   LAS CABANETTES             
LIEU-DIT   LAS CABANNES               
LIEU-DIT   LAS HOUNADES               
LIEU-DIT   LAS HUSCLADOS              
LIEU-DIT   LAS MONDETTES              
LIEU-DIT   LAS PACHERES               
LIEU-DIT   LAS PLAGNES                
LIEU-DIT   LAS TAILLADES              
LIEU-DIT   LAS TAILLADOS              
LIEU-DIT   LESTRADE                   
LIEU-DIT   LOUSTAOU                   
LIEU-DIT   LA MALASSE                 
LIEU-DIT   MARIOUN                    
LIEU-DIT   MATAPOUY                   
LIEU-DIT   MEILLAN                    
LIEU-DIT   MOULIN DE SAMARAN          
LIEU-DIT   LE MOUSTARDE               
LIEU-DIT   LA MOUTOUE                 
LIEU-DIT   PAGUERES D EN JEANMOT      
LIEU-DIT   PAGUERES D ENTROUBAT       
LIEU-DIT   PAGUERES DE BERNUSSAUT     
LIEU-DIT   PAGUERES DE BIVES          
LIEU-DIT   PAGUERES DE BOUNEGAS       
LIEU-DIT   PAGUERES DE LA COSTE       
LIEU-DIT   PAGUERES DE LA GOUARCE     
LIEU-DIT   PAGUERES DE LA HOUNT       
LIEU-DIT   PAGUERES DE LA PISSE       
LIEU-DIT   PAGUERES DE LA ROCHE       
LIEU-DIT   PAGUERES DE SABALOS        
LIEU-DIT   PAGUERES DE SAINT GARNE    
LIEU-DIT   PAGUERES DU MAUROU         
LIEU-DIT   PAGUERES DU TEPE           
LIEU-DIT   PAGUEROTS                  
LIEU-DIT   EN PATRIQUES               
LIEU-DIT   LA PEYRERE                 
LIEU-DIT   LA PIECE GRANDE            
LIEU-DIT   PLAINE DE LARBOUST         
LIEU-DIT   LA PLAINE DE SAMARAN       
LIEU-DIT   PLAINE DE SAMARAN          
LIEU-DIT   AU POTEAU D EN BAS         
LIEU-DIT   AU POTEAU D EN HAUT        
LIEU-DIT   POUDAQUE                   
LIEU-DIT   PRADAS                     
LIEU-DIT   LA PRADE D EN BAS          
LIEU-DIT   LA PRADETTE                
LIEU-DIT   PRAT BEDIAOU               
LIEU-DIT   RIEUTORT                   
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LA ROQUE                   
LIEU-DIT   ROSES                      
LIEU-DIT   SABALOS                    
LIEU-DIT   SABATE                     
LIEU-DIT   SAINT ORENCE               
LIEU-DIT   EN SALIE                   
LIEU-DIT   LA SERRE                   
LIEU-DIT   SOULAGNETS                 
LIEU-DIT   SOULAN D EN CARRERE        
LIEU-DIT   SOULAN D EN JEANMOT        
LIEU-DIT   SOULAN D ENTROUBAT         
LIEU-DIT   SOULAN D ESTEBE            
LIEU-DIT   SOULAN DE BISTOS           
LIEU-DIT   SOULAN DE BOUNEGAS         
LIEU-DIT   SOULAN DE LA COSTE         
LIEU-DIT   SOULAN DE LA GOUARCE       
LIEU-DIT   SOULAN DE LA PECOULE       
LIEU-DIT   SOULAN DE LA PISSE         
LIEU-DIT   SOULAN DE LA PRUHO         
LIEU-DIT   LA SOULAN DE LA SERRE      
LIEU-DIT   SOULAN DE PASSERIEU        
LIEU-DIT   SOULAN DE PELLEFIGUES      
LIEU-DIT   SOULAN DE SAINT GARNE      
LIEU-DIT   SOULAN DU HAGUET           
LIEU-DIT   SOULAN DU TEPE             
LIEU-DIT   EN SUPERY                  
LIEU-DIT   TEPE D ANAN                
LIEU-DIT   LES TROUILLES              
LIEU-DIT   LA TUILERIE                
LIEU-DIT   VIGNOLES                   
LIEU-DIT   VILLAGE D ANAN             
LIEU-DIT   VILLAGE DE DEVANT LA SAVE  
           commune :     ANTICHAN-DE-FRONTIGNES         departement : HAUTE GARONNE                 
LIEU-DIT   ARTIGAUD                   
LIEU-DIT   BERNADERE                  
LIEU-DIT   BRISSAN                    
LIEU-DIT   CAMODAN                    
LIEU-DIT   CAMP DE BLASI              
LIEU-DIT   CASCARET                   
LIEU-DIT   COURRAOU                   
LIEU-DIT   CULO                       
LIEU-DIT   ECHERET                    
LIEU-DIT   FOND VIVES                 
LIEU-DIT   FONTAN                     
LIEU-DIT   FORET DU GAR OU CASSEPORT  
LIEU-DIT   GARREAU                    
LIEU-DIT   LARRIGOULERE               
LIEU-DIT   LAS PLATS                  
LIEU-DIT   OUSTET                     
LIEU-DIT   PARDIOS                    
