20151101
RUE        DE SAINT CHRISTOPHE        
IMPASSE    DES SANSONNETTES           
IMPASSE    SOLEIL LEVANT              
CHEMIN     DES TOURBIERES             
RUE        DE LA TAILLEE              
RUE        DES TILLEULS               
ROUTE      DU THOU                    
RUE        DE VERDUN                  
RUE        DU VIEUX FIEF              
IMPASSE    DU GRAND FOUR              
IMPASSE    DU VIEUX ROSIER            
IMPASSE    DES SOEURS                 
CHEMIN     DES VIGNES                 
RUE        DE VIRSON                  
IMPASSE    DES BOSQUETS               
RUE        DES CHARDONNERETS          
IMPASSE    DU CHATEAU                 
RUE        DES CIGOGNES               
RUE        DES FAUVETTES              
RUE        DU FIEF BROCHAIN           
CHEMIN     DE LA FOLIE                
RUE        DES GOELANDS               
RUE        DES HERONS                 
RUE        DES MESANGES               
RUE        DES PINSONS                
           commune :     ILE-D AIX (L )                 departement : CHARENTE MARITIME             
LIEU-DIT   BOIS JOLY                  
LIEU-DIT   LE BOURG                   
LIEU-DIT   COUDEPONT                  
LIEU-DIT   DERRIERE DE L ILE          
LIEU-DIT   LE FORT BOYARD             
LIEU-DIT   JAMBLET                    
LIEU-DIT   LE MARAIS                  
LIEU-DIT   MONTRESOR                  
LIEU-DIT   LES ORMEAUX                
LIEU-DIT   LES PETITES MAISONS        
LIEU-DIT   LES TROIS QUARTIERS        
LIEU-DIT   LA CROIX                   
LIEU-DIT   FORT LIEDOT                
LIEU-DIT   PHARE DE L ILE D AIX       
LIEU-DIT   LE PORT                    
LIEU-DIT   TRIDOUX ET JAMBLET         
LIEU-DIT   FORT DE LA RADE            
LIEU-DIT   CENTRE ARMAND FALLIERES    
LIEU-DIT   SABLE JAUNE                
PLACE      AUSTERLITZ                 
CHEMIN     DE BOIS JOLY               
RUE        COUDEIN                    
ROUTE      DE FORT LIEDOT             
RUE        GOURGAUD                   
CHEMIN     LE GRAND CHEMIN            
ALLEE      DES IFS                    
RUE        MARENGO                    
RUE        MONTALEMBERT               
RUE        NAPOLEON                   
CHEMIN     DES PETITES MAISONS        
RUE        PIERRE CHANLAINE           
RUE        QUAI AUX VIVRES            
RUE        DES REMPARTS               
PLACE      DU SEMAPHORE               
RUE        DU SEMAPHORE               
PLACE      DE VERDUN                  
           commune :     ALLAS-BOCAGE                   departement : CHARENTE MARITIME             
