20151101
59         NORD                          
RUE        ANATOLE FRANCE             
RUE        ANNE JOSEPHE DU BOURG      
CHEMIN     D ANSTAING                 
RUE        ANTOINE LEFEBVRE           
RUE        ANTOINE WATTEAU            
ALLEE      DES ARBRISSEAUX            
RUE        D ARCHIMEDE                
RUE        ARISTIDE                   
ALLEE      ARSENE                     
VC         PONT D ASCQ                
RUELLE     D ASCQ                     
RUE        AUGUSTE LEROUGE            
AVENUE     DE L AVENIR                
ALLEE      DU BAC                     
RUE        DE BABYLONE                
SQUARE     BACHELARD                  
ALLEE      DES BACHELIERS             
RUE        DU BARREAU                 
ALLEE      DE LA BASOCHE              
RUE        BAUDOIN NEUF               
PLACE      DE LA BASOCHE              
RUE        BEETHOVEN                  
CHS        DES BATONNIERS             
RUE        BALZAC                     
ALLEE      DES BARROIS                
CHEMIN     DE LA BASCULE              
RUELLE     BASILE                     
SENTIER    BEGHIN                     
CHEMIN     DES BERGERES               
SENTIER    BEGHIN                     
RUE        BERLIOZ                    
BOULEVARD  BIZET                      
RUE        DU BLASON                  
RUE        BOILEAU                    
AVENUE     DU BOIS                    
RUELLE     BOMEZ                      
CHEMIN     DE LA BONNE NOUVELLE       
ALLEE      DU BOSQUET                 
RUE        BOSSUET                    
RUE        DES BOULEAUX               
RUE        DE BOUVINES                
BOULEVARD  DU BREUCQ                  
RUE        BREUGHEL                   
RUE        BREVE                      
AVENUE     DE BRIGODE                 
ALLEE      DES BROUILLARDS            
ALLEE      DU CAFE CONCERT            
ALLEE      DU CADRAN                  
PLACE      CADET ROUSSELLE            
CHEMIN     DES CAMARADES              
ALLEE      DES CAMELIAS               
RUE        CAMILLE SAINT SAENS        
ALLEE      DES CAMANETTES             
ALLEE      DES CAMPANULES             
AVENUE     DE CANTELEU                
ALLEE      DE LA CANTILENE            
ALLEE      DES CAPUCINES              
RUE        DU CARILLON                
ALLEE      CARCO                      
ALLEE      CAROLINE                   
RUELLE     CARDON                     
AVENUE     CARL GAUSS                 
AVENUE     CARL VON LINNE             
RUE        CARPEAUX                   
RUE        DU CENTRE                  
RUE        DES CARRIERES              
ALLEE      DE LA BRIQUETERIE          
ALLEE      DE LA CAUSETTE             
RUE        DE LA CENSE                
ALLEE      DU CERCLE                  
RUE        DES CEDRES                 
RUE        CEZANNE                    
CHEMIN     DES CERFS VOLANTS          
ALLEE      DE LA CENTIEME MAISON      
RUE        CENDRILLON                 
ALLEE      CHAMBORD                   
AVENUE     CHAMPOLLION                
ALLEE      CHANTECLER                 
RUE        DE LA CHANTERELLE          
ALLEE      CHANTILLY                  
ALLEE      CHARDIN                    
RUE        CHARLES LE BON             
RUE        CHAPPE                     
ALLEE      DES CHARDONNERETS          
