20151101
86         VIENNE                        
LIEU-DIT   LE PATURAL AUX GRIMAUX     
LIEU-DIT   LE PATURAL BARET           
LIEU-DIT   LE PATURAL BOUTAUD         
LIEU-DIT   LE PATURAL DE CHAUME       
LIEU-DIT   LE PATURAL DE L AGE        
LIEU-DIT   PATURAL DE L AGE BOUTRIE   
LIEU-DIT   LE PATURAL DE L ETANG      
LIEU-DIT   PATURAL DE L ETANG         
LIEU-DIT   LE PATURAL DE LA BERLIERE  
LIEU-DIT   PATURAL DE LA BEURDOUX     
LIEU-DIT   LE PATURAL DE LA BORDERIE  
LIEU-DIT   PATURAL DE LA BREGERE      
LIEU-DIT   LE PATURAL DE LA CATIE     
LIEU-DIT   LE PATURAL DE LA SABLIERE  
LIEU-DIT   PATURAL DE LA VERGNADE     
LIEU-DIT   LE PATURAL DE LAFA         
LIEU-DIT   LE PATURAL DE LAFOND       
LIEU-DIT   LE PATURAL DE LOUTRE       
LIEU-DIT   LE PATURAL DE MAISON       
LIEU-DIT   PATURAL DE NOEL            
LIEU-DIT   LE PATURAL DE PROU         
LIEU-DIT   PATURAL DES BOEUFS         
LIEU-DIT   LE PATURAL DES BORDIERS    
LIEU-DIT   LE PATURAL DES BRANDES     
LIEU-DIT   LE PATURAL DES CHAUMES     
LIEU-DIT   LE PATURAL DES GENETS      
LIEU-DIT   PATURAL DES GENETS         
LIEU-DIT   LE PATURAL DES LAIZES      
LIEU-DIT   PATURAL DES PECHERS        
LIEU-DIT   LE PATURAL DES TREMBLES    
LIEU-DIT   PATURAL DES VACHES         
LIEU-DIT   PATURAL DES VIGNES         
LIEU-DIT   LE PATURAL DU BOIS RENARD  
LIEU-DIT   LE PATURAL DU BOUCHE       
LIEU-DIT   LA PATURAL DU PIN          
LIEU-DIT   LE PATURAL LONG            
LIEU-DIT   LE PATURAL NEUF            
LIEU-DIT   PATURAL NEUF               
LIEU-DIT   PATURAL NOIR               
LIEU-DIT   PATURAL PISSEUX            
