20151101
LIEU-DIT   SOUS LE FAHY               
LIEU-DIT   SOUS LE MONT               
LIEU-DIT   SOUS VAUTREU               
LIEU-DIT   LA TAPPE                   
LIEU-DIT   LES TOMBOIS                
LIEU-DIT   AUX VERDOYERS              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   ZONE INDUSTRIELLE ZI       
RUE        DES ACACIAS                
RUE        DES BOULEAUX               
RUE        DES CARRIERES              
RUE        VIE DE LA CROZE            
RUE        SUR LA COTE                
RUE        DES CHENES                 
RUE        DU FAHY                    
ROUTE      D HERICOURT                
RUE        DES MERISIERS              
RUE        DU MOULIN                  
RUE        DES MARRONNIERS            
RUE        NATIONALE                  
RUE        DU PAQUIS                  
IMPASSE    DES PRES                   
RUE        CHARLES DE GAULLE          
RUE        DES POMMIERS               
IMPASSE    DES SAPINS                 
IMPASSE    DES TOMBOIS                
RUE        DU TRAMWAY                 
RUE        DES TILLEULS               
RUE        DES ALISIERS               
RUE        DES COURBES FAUCHEES       
RUE        DES ROSEAUX                
RUE        DES LILAS                  
           commune :     AUXELLES-BAS                   departement : TERRITOIRE DE BELFORT         
LIEU-DIT   AUBARTEN                   
LIEU-DIT   BAS DE LA COMBE RENARD     
LIEU-DIT   BOIS DE L EPACHE DES LATTE 
LIEU-DIT   BOIS DU BAS                
LIEU-DIT   BOURQUIN                   
LIEU-DIT   CHAMP DU BOIS              
LIEU-DIT   CHAMP DU CHENE             
LIEU-DIT   CHAMPS BOURGUIGNONS        
LIEU-DIT   CHAMPS CRETINS             
LIEU-DIT   CHAMPS DE LA RONCE         
LIEU-DIT   LES CHAMPS DU BAS          
LIEU-DIT   CHAMPS DU CREUX            
LIEU-DIT   CHAMPS DU FRESNE           
LIEU-DIT   CHAMPS DU SERGENT          
LIEU-DIT   CHAMPS FOUGERES            
LIEU-DIT   CHAMPS GUILLAUME           
LIEU-DIT   CHAMPS LA DEVANT           
LIEU-DIT   CHAMPS LABRUE              
LIEU-DIT   CHAMPS LAMBERT             
LIEU-DIT   CHAMPS ROCHOTS             
LIEU-DIT   CHAMPS VERDUN              
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   AU COIN PIERROT            
LIEU-DIT   COMBE DESSOUS              
LIEU-DIT   COMBE DESSUS               
LIEU-DIT   COMBE RENARD               
