20151101
2A         CORSE SUD                     
RESIDENCE  IMPERATRICE EUGENIE        
RESIDENCE  LES LAURIERS               
RESIDENCE  LAETITIA                   
RESIDENCE  LYAUTEY                    
RESIDENCE  MADUNUCCIA AVE FRANCHI     
RESIDENCE  JARDINS AJACCIO RTE ALATA  
RESIDENCE  LES JARDINS DU FINOSELLO   
RESIDENCE  JARDINS FLEURIS PADULE     
RESIDENCE  LES JARDINS DU SCUDO       
RESIDENCE  LES JARDINS DE MEZZAVIA    
RESIDENCE  JARDINS DU FORCONE         
           CHYPRE 2                   
RESIDENCE  KENNEDY                    
RESIDENCE  GALEA                      
RESIDENCE  LAETIZIA V LE PANORAMIC    
RESIDENCE  LANTIVY                    
RESIDENCE  LAETITIA RAMOLINO          
RESIDENCE  LAETITIA AVE GDE ARMEE     
RESIDENCE  DES LACS  L'ORIENTE        
RESIDENCE  DES LACS  LE CRENO         
RESIDENCE  L'OREE DU BOIS  RN 193     
           LOGIREM TERRA ROSSA FINO   
RESIDENCE  DES LACS  LE CINTO         
RESIDENCE  DES LACS CENTRE COMMERCIAL 
RESIDENCE  LOGIS DE L AQUEDUC MEZZAVI 
           A LICCIONA                 
RESIDENCE  LES HAMEAUX DES SANGUINAIR 
RESIDENCE  MARIANI                    
LOT        MALANDRI                   
RESIDENCE  DES GOLFES BONIFACIO       
RESIDENCE  MARINE D'ASPRETTO          
RESIDENCE  MEDITERRANEE               
RESIDENCE  A MERENDELLA               
           IMM LES MIMOSAS            
RESIDENCE  MONTANA AVE MONT THABOR    
RESIDENCE  MONTE MARE  AVE MAL JUIN   
RESIDENCE  NAPOLEON                   
RESIDENCE  L'AIGLON                   
RESIDENCE  LA PIETRA                  
RESIDENCE  LE VERSAILLE               
RESIDENCE  LES NARCISSES              
RESIDENCE  LES GALETS                 
RESIDENCE  LES TERRASSES D'ASSUNTA    
RESIDENCE  LES TROIS D                
RESIDENCE  LE MARECHAL                
RESIDENCE  LE FLORINE                 
RESIDENCE  LE MOZART                  
RESIDENCE  LE PARC DES OLIVIERS       
RESIDENCE  LES OLIVIERS               
LOT        SCUDO 3                    
RESIDENCE  LES ORANGERS               
RESIDENCE  PARC BILELLO               
           IMM ORAZZI                 
RESIDENCE  PANORAMA D'AJACCIO         
RESIDENCE  LE POZZO MEZZAVIA          
RESIDENCE  DU PARC                    
RESIDENCE  PARC AZUR                  
RESIDENCE  PARC AZUR  LE PINGOUIN     
RESIDENCE  PANORAMA AJACCIO  ASPRETTO 
RESIDENCE  PARC AZUR  L'ALBATROS      
           IMM LES PEUPLIERS          
RESIDENCE  PARC AZUR  LES MOUETTES    
RESIDENCE  PARC IMPERIAL  LE TRIANON  
RESIDENCE  LA PIETRINA AVE GDE ARMEE  
RESIDENCE  LA PINEDE AVE MONT THABOR  
RESIDENCE  A PIAZZETTA PIETRALBA      
           PARC ACTIVITE MEZZVIA      
           POLE DE SUARTELLO 2        
RESIDENCE  PLEIN SOLEIL GARAGES       
RESIDENCE  PLEIN SOLEIL               
RESIDENCE  PLEIN SOLEIL NEPTUNE GARAG 
RESIDENCE  PARC IMPERIAL TAVERNY      
PARC       IMPERIAL MARLY             
RESIDENCE  PREMIER CONSUL             
RESIDENCE  PRIMAVERA ALBA             
RESIDENCE  PRIMAVERA SOLE BELO        
RESIDENCE  PRIMAVERA CHIARO DI LUNA   
RESIDENCE  PRIMEVERES                 
RESIDENCE  SAN ANGELU VAZZIO          
RESIDENCE  LES HAUTS DES SANGUINAIRES 
RESIDENCE  STE CECILE CHEM BIANCARELL 
RESIDENCE  DU SCUDO                   
PARC       SEBASTIANI                 
RESIDENCE  LES COTEAUX DE TIMIZZOLO   
RESIDENCE  SOLEIL DE MEZZAVIA         
HAB        TSSE D ASSUNTA FINOSELLO   
RESIDENCE  TERRASSES D'AJACCIO        
RESIDENCE  TRIANA                     
           U PALAZZU FORCIOLI CONTI   
RESIDENCE  U PIOPU PADULE             
RESIDENCE  DU ROI THEODORE            
RESIDENCE  ST JOSEPH IMM FAGGIANE     
RESIDENCE  DES GOLFES LE LAVAL        
RESIDENCE  DES GOLFES LE SAGONE       
RESIDENCE  DES GOLFES LE PORTO        
RESIDENCE  PIETRALBA                  
           IMM BEAU SITE              
           MONTE E MARE II            
RESIDENCE  FINOSELLO                  
RESIDENCE  LA ROCADE                  
RESIDENCE  BRASILIA                   
RESIDENCE  EUCALYPTUS                 
RESIDENCE  ESPACE ALBAN               
RESIDENCE  ESPACE ALBAN BAT F         
RESIDENCE  ESPACE ALBAN BAT G         
RESIDENCE  ESPACE ALBAN BAT H         
RESIDENCE  LES ALOES  BATIMENT A      
RESIDENCE  LES ALOES  BATIMENT B      
RESIDENCE  LES ALOES  BATIMENT C      
RESIDENCE  LES ALOES  BATIMENT D      
RESIDENCE  LES ALOES  BATIMENT E      
RESIDENCE  LES ALOES  PLEIN CIEL      
RESIDENCE  LES ALOES  LE PANORAMIQUE  
RESIDENCE  LES HORIZONS               
RESIDENCE  HORIZONS 2                 
RESIDENCE  LES HAUTS D'OLMO           
RESIDENCE  LES HAUTS DE TORRETA       
RESIDENCE  LES PALMIERS               
RESIDENCE  LES PATIOS DE PIETRALBA    
RESIDENCE  LES HAUTS DE PETRA DI MARE 
RESIDENCE  PETRA DI MARE 1            
RESIDENCE  PETRA DI MARE 2 AV ML JUIN 
RESIDENCE  DU BOIS DES ANGLAIS        
RESIDENCE  LES TERRASSES DE BALESTRIN 
           IMM BORONA                 
RESIDENCE  BOUTON D'OR                
RESIDENCE  LES CALANQUES              
RESIDENCE  CAMELIA                    
RESIDENCE  CAPO DI FENO               
RESIDENCE  LE COLLYSEE                
           IMM CORALIA                
LOT        FEDERICI                   
RESIDENCE  GIOCANTI                   
RESIDENCE  DU VITTULO                 
           IMM LE WINDSOR             
           IMM LE YORK                
RESIDENCE  D'AJACCIO                  
           IMM SAINT ANTOINE          
RESIDENCE  LES COLLINES D'ASPRETTO    
RESIDENCE  LES BALCONS D'ASPRETTO     
           IMM AZALEE                 
           IMM BALISIER               
LOT        LES BARRAQUES              
           IMM LES BRUYERES           
RESIDENCE  BODICCIONE                 
           PALAIS GRANDVAL            
           IMM ILIADE                 
RESIDENCE  PARC IMPERIAL              
           IMM LE KENT                
           IMM LANCASTER              
RESIDENCE  NOTRE DAME DE LORETTO      
           IMM MARS                   
           IMM MASSERIA               
           IMM MERCURE                
RESIDENCE  LES MYRTHES                
           IMM NEPTUNE                
           IMM LE ROND POINT          
RESIDENCE  TERRA ROSSA                
           IMM LE KELLERMAN           
           IMM LANNES                 
           IMM LES LAVANDES           
           IMM LE LOUISIANE           
RESIDENCE  MARJOLAINE                 
RESIDENCE  MASSENA                    
           IMM MIRABELLES             
RESIDENCE  LES MONTS                  
           IMM MURAT                  
RESIDENCE  OLIVERAIE                  
           IMM CALIFORNIE             
           IMM CASTELET               
RESIDENCE  CASTELLUCCIO               
RESIDENCE  LE CYTISE                  
           IMM DAPHNE                 
           IMM FINI                   
           IMM LE FLORIDE             
RESIDENCE  SAN GJUVAN                 
RESIDENCE  LES JARDINS DU CENTRE      
RESIDENCE  CORSE AZUR                 
RESIDENCE  L'OLMO                     
RESIDENCE  LES MARINES DU RICANTO     
           IMM LES ROMARINS           
LOT        TERRA ROSSA                
LOT        U MOZZO                    
RESIDENCE  ALZO DI LEVA               
RESIDENCE  HLM DU VAZZIO              
RESIDENCE  EUROPA                     
RESIDENCE  VICTORIA                   
RESIDENCE  HLM DU VAZZIO ERILIA       
           PARC IMPERIAL CHANTILLY    
           PARC IMPERIAL AMBOISE      
RESIDENCE  SPOSATA PIETRALBA          
RESIDENCE  PARC LUCIE BAT MURO        
RESIDENCE  PARC LUCIE BAT FENO        
