20151101
64         PYRENEES ATLANTIQUES          
ROUTE      LARARTIA                   
ROUTE      DE LARRABURIA              
ROUTE      DE LARRARTIA               
ROUTE      DE LARRAMENDIA             
ROUTE      MENDIBURIA                 
ROUTE      DE MOCOROA                 
ROUTE      DU MOULIN                  
ALLEE      PARADIS                    
CHEMIN     DE PECHOUNARTIA            
ROUTE      PERIGNOA                   
ROUTE      DE RECALDE                 
ALLEE      DU ROND POINT              
ROUTE      DE SALHA                   
ALLEE      SALLE POLYVALENTE          
ROUTE      DE SUHAST                  
IMPASSE    TRISTANTENIA               
           commune :     AINCILLE                       departement : PYRENEES ATLANTIQUES          
LIEU-DIT   AHUNCE                     
LIEU-DIT   AINCILCARRY                
LIEU-DIT   ANDREBELCHA                
LIEU-DIT   ARHANCIA                   
LIEU-DIT   ATHATCE                    
LIEU-DIT   BASSABOURDIA               
LIEU-DIT   BURALDIA                   
LIEU-DIT   CABALGAGNE                 
LIEU-DIT   CAHABY                     
LIEU-DIT   COTALDA                    
LIEU-DIT   EYHERA                     
LIEU-DIT   EYHERALARRE MEHACA         
LIEU-DIT   HANDIAGUE TTUTURU          
LIEU-DIT   HANDIAGUE                  
LIEU-DIT   HARCHILO                   
LIEU-DIT   HARITALDE ALDE             
LIEU-DIT   HARRIETENIA ALDE           
LIEU-DIT   ITHURCHILO                 
LIEU-DIT   OILLOQUY                   
LIEU-DIT   PAGOLA                     
LIEU-DIT   PLAZA                      
LIEU-DIT   GOYHENETCHE BURRIA         
LIEU-DIT   BERTHO ALDE                
LIEU-DIT   IRIBARNE BORDA ALDE        
           commune :     AINHARP                        departement : PYRENEES ATLANTIQUES          
LIEU-DIT   AGUERREBERRY               
LIEU-DIT   ANCO                       
LIEU-DIT   ARMAGNAGUE                 
LIEU-DIT   BACHABILIA                 
LIEU-DIT   BORDAGARAY                 
LIEU-DIT   LE BOURG                   
LIEU-DIT   CARRICART                  
LIEU-DIT   CHALAMENDY                 
LIEU-DIT   CHORHO                     
LIEU-DIT   ELHORY                     
LIEU-DIT   EREGUE                     
LIEU-DIT   ESTECA                     
LIEU-DIT   ESTECA CHILOUA             
LIEU-DIT   ESTECACHOURY               
LIEU-DIT   EYHERABIDIA                
LIEU-DIT   GAGNECO ELGUIA             
LIEU-DIT   LAGARDOYE                  
LIEU-DIT   LAMBARE                    
LIEU-DIT   LAMBARE CHILOUA            
LIEU-DIT   LAPITCAGUA                 
LIEU-DIT   LARRABELCE                 
LIEU-DIT   LARREA                     
LIEU-DIT   LECIAGUE                   
LIEU-DIT   LECIAGUEMENDIE             
LIEU-DIT   LUGINIA                    
LIEU-DIT   MERCAPIDE                  
LIEU-DIT   OYHENART                   
LIEU-DIT   SALABERRY                  
LIEU-DIT   URRUTY                     
LIEU-DIT   UTHURRIET                  
           commune :     AINHICE-MONGELOS               departement : PYRENEES ATLANTIQUES          
LIEU-DIT   ACERY                      
LIEU-DIT   AHAXAMENDY                 
LIEU-DIT   AINHICE CO ORDOQUIA GUIBEL 
LIEU-DIT   AINHICE MENDY              
LIEU-DIT   AINHICE ORDOQUIA           
LIEU-DIT   ARRANGORRY ALDIA           
LIEU-DIT   ARTIQUETTEHEGUY            
LIEU-DIT   ARTIQUEYTE                 
LIEU-DIT   AYTCURAPALDE               
LIEU-DIT   BACHIBIRI CO BORDE         
LIEU-DIT   BACHOCOBORDA               
