20151101
68         HAUT RHIN                     
LIEU-DIT   IN DER BRAUEN              
LIEU-DIT   INNERE RUSTERHURST         
LIEU-DIT   KAEMPFENGAERTLE            
LIEU-DIT   KIECHELACKER               
LIEU-DIT   KIECHELACKER HURST         
LIEU-DIT   KLEEACKER                  
LIEU-DIT   KOSAKENACKER               
LIEU-DIT   KRUMME LINDEN              
LIEU-DIT   KUEHLAEGER                 
LIEU-DIT   KUHKIRCHHOF                
LIEU-DIT   LANGHAUACKER               
LIEU-DIT   LANGHURST                  
LIEU-DIT   LUMPENACKER                
LIEU-DIT   LUSTGARTEN                 
LIEU-DIT   LUTZELSAU                  
LIEU-DIT   MATTACKER                  
LIEU-DIT   MATTHURST                  
LIEU-DIT   MITTELFELD BEI DER PFARRHU 
LIEU-DIT   MITTELFELD BEIM DACHSENBUC 
LIEU-DIT   MITTELFELD GAENSACKER      
LIEU-DIT   MITTELFELD GOTTESACKERLAEN 
LIEU-DIT   MITTELFELD JUNKER HURST    
LIEU-DIT   MITTELFELD KAIBENWAELDLE   
LIEU-DIT   MITTELFELD KIECHELACKER    
LIEU-DIT   MITTELFELD KOENIGSWEG      
LIEU-DIT   MITTELFELD KRAUTENAU       
LIEU-DIT   MITTELFELD NEUWERBLAENDER  
LIEU-DIT   MITTELFELD STOCKACKER      
LIEU-DIT   MITTELFELD WAESCHGELAENDE  
LIEU-DIT   NIEDERFELD                 
LIEU-DIT   NIEDERFELD ECKLACH         
LIEU-DIT   NIEDERFELD MATTHURST       
LIEU-DIT   NIEDERFELD UNT AM LUSTGART 
LIEU-DIT   NIEDERWALD                 
LIEU-DIT   OBER DEM LUSTGARTEN        
LIEU-DIT   OBER KASTENWALD            
LIEU-DIT   OBERFELD                   
LIEU-DIT   OBERFELD SPARHURST         
LIEU-DIT   OBERKRITT                  
LIEU-DIT   OCHSENWIRTHS HURST         
LIEU-DIT   ORCHBUEHL                  
LIEU-DIT   PFAD                       
LIEU-DIT   PILGERGAESSLE              
LIEU-DIT   QUELLBRUENNLE              
LIEU-DIT   QUELLHURST                 
LIEU-DIT   RITTERWEG                  
LIEU-DIT   ROTH                       
LIEU-DIT   ROTHMATT                   
LIEU-DIT   RUFENMAETTLE               
LIEU-DIT   AEUSSERE RUSTERHURST       
LIEU-DIT   SPARHURST                  
LIEU-DIT   SPIEGELHURST               
LIEU-DIT   STOCKACKER                 
LIEU-DIT   STRENGEN                   
LIEU-DIT   STRENGENFELD               
LIEU-DIT   TANNERSCHLAG               
LIEU-DIT   UNTERE STRENGEN            
LIEU-DIT   UNTERHALB DEM KOSACKENACKE 
LIEU-DIT   VILLAGE                    
LIEU-DIT   ZWISCHENFURTH              
LIEU-DIT   PFARRHURST                 
COUR       DES MARGUERITES            
RUE        DES ACACIAS                
RUE        DES ALPES                  
IMPASSE    DES ALPES                  
