20151101
16         CHARENTE                      
LIEU-DIT   LE PATIS DE LA CALLAUDERIE 
LIEU-DIT   LE PATUREAU                
LIEU-DIT   LE PAVILLON                
LIEU-DIT   LES PERRIERES              
LIEU-DIT   LE PETIT BOIS              
LIEU-DIT   LE PETIT PATURAUD          
LIEU-DIT   LE PETIT PATUREAU          
LIEU-DIT   LA PORTERIE                
LIEU-DIT   LES QUATRE RANGS           
LIEU-DIT   LES RENCLOS                
LIEU-DIT   LE RENFERME                
LIEU-DIT   LES ROBINS                 
LIEU-DIT   LA RONDE                   
LIEU-DIT   LA SOUCHE                  
LIEU-DIT   TERRE DE CHEZ BRANGER      
LIEU-DIT   TERRE DE CHEZ MACHET       
LIEU-DIT   LE TERTRE                  
LIEU-DIT   LA TOUCHE                  
LIEU-DIT   LA VALLEE DE CHEZ CHAGNAUD 
LIEU-DIT   LA VALLEE DE LA BRUNE      
LIEU-DIT   LA VALLEE DE NIEUIL        
LIEU-DIT   LES VALLEES                
LIEU-DIT   LES VALLONS                
LIEU-DIT   LES VILLEGATS              
LIEU-DIT   LES VIOLETTES              
LIEU-DIT   CHEZ DRIOT                 
LIEU-DIT   CHEZ GENNARD               
LIEU-DIT   L EPINETTE                 
ALLEE      DE L'ANCIEN FOUR           
ALLEE      DES BAMBOUS                
CHEMIN     BAS                        
RUE        DES BUIS                   
ROUTE      DU COURTIOU                
RUE        DE LA MAIRIE               
RUE        DE LA MAISONNETTE          
RUE        DE LA MARE                 
RUE        DES MARRONNIERS            
ROUTE      DU PAVILLON                
CHEMIN     DES POMMIERS               
ALLEE      DES ROSEAUX                
IMPASSE    DU TILLEUL                 
ROUTE      DE LA TRANCHEE             
IMPASSE    DE LA TREILLE              
CHEMIN     DES VOITURIERS             
ROUTE      DE VOULEME                 
           commune :     AGRIS                          departement : CHARENTE                      
LIEU-DIT   SUR L AGE                  
LIEU-DIT   L ALLEBARDE                
LIEU-DIT   L ANGUILLAT                
LIEU-DIT   L ARMEE                    
LIEU-DIT   A L AUSSUPE                
LIEU-DIT   LE BANDIAT                 
LIEU-DIT   LES BARRIERES              
LIEU-DIT   LES BOEGES                 
LIEU-DIT   LES BOIS                   
LIEU-DIT   LA BORNE                   
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BRACONNE                
LIEU-DIT   LES BROUES                 
LIEU-DIT   LA BROUSSE                 
LIEU-DIT   LES CAMUS                  
LIEU-DIT   LES CARRIERES              
LIEU-DIT   LES CHABROUILLERES         
LIEU-DIT   LES CHAMEAUX               
LIEU-DIT   CHAMP DE L EGLISE          
LIEU-DIT   CHAMP DE MARIE             
LIEU-DIT   CHAMP DE SAUNIER           
LIEU-DIT   CHAMP DES BROCHES          
LIEU-DIT   CHAMP DES VIGNES           
LIEU-DIT   CHAMP DU LAC               
LIEU-DIT   CHAMP MARIE                
LIEU-DIT   CHAMPS DE LA MARIE         
LIEU-DIT   LES CHARDONNETS            
LIEU-DIT   CHARRETIER                 
LIEU-DIT   LE CHARRETIER              
LIEU-DIT   LA CHATAIGNERAIE DES BARRI 
LIEU-DIT   LES CHAUMES                
LIEU-DIT   LA CHAUSSEE                
LIEU-DIT   CHAZELLE                   
LIEU-DIT   LES CHENEVAUX MARQUIS      
LIEU-DIT   LES CHEVILLOUX             
LIEU-DIT   CHEZ CAILLE                
LIEU-DIT   CHEZ CAULY                 
LIEU-DIT   CHEZ CHABROULAUD           
LIEU-DIT   CHEZ FILASSE               
LIEU-DIT   CHEZ FOUCAUD               
LIEU-DIT   CHEZ GOBY                  
LIEU-DIT   CHEZ GREGOIRE              
LIEU-DIT   CHEZ MOREAU                
LIEU-DIT   CHEZ PELET                 
LIEU-DIT   CHEZ QUARANTE              
LIEU-DIT   CHEZ ROUDAUD               
LIEU-DIT   LE CLOS                    
LIEU-DIT   CLOS DE RIQUET             
LIEU-DIT   LES CLOUX                  
LIEU-DIT   LE CLUZEAU                 
LIEU-DIT   LA COMBE                   
LIEU-DIT   LES COMBEAUX               
LIEU-DIT   LES COSSES                 
LIEU-DIT   LA COTE                    
LIEU-DIT   LES COTEAUX                
LIEU-DIT   LES COURAIS                
