20151101
976         MAYOTTE                       
QUA        EN PADZA - SOHOA           
QUA        GNAMBO - SOHOA             
QUA        CAVANI                     
QUA        COLLEGE DE CHICONI         
QUA        KAVANI MTSABOURI           
QUA        MJC - SOHOA                
QUA        MOUSSA VITA                
QUA        MOUSSIMOU                  
QUA        OURINI                     
QUA        OUROVENI - SOHOA           
QUA        ECOLE PRIMAIRE - SOHOA     
QUA        POZOLAN - SOHOA            
QUA        MATSABOURI                 
LIEU-DIT   BILAMBOU                   
LIEU-DIT   GNAMBO                     
LIEU-DIT   HAOUTOUNGOU                
LIEU-DIT   HAREZA                     
LIEU-DIT   KAHANI                     
LIEU-DIT   LALIGNA SOHOA              
LIEU-DIT   MLIMA CHICONI              
LIEU-DIT   OCHOUNGUI                  
LIEU-DIT   OUROVENI                   
LIEU-DIT   PLAGE DE SOHOA             
LIEU-DIT   RESERVE DE CHICONI         
LIEU-DIT   SOHOA BE                   
LIEU-DIT   SOHOA KAVANI               
LIEU-DIT   SOHOA KELY                 
LIEU-DIT   SOHOA STADE                
LIEU-DIT   VILLAGE DE CHICONI         
RUE        ABDALLAH                   
ROUTE      ADAMKOUZA                  
RUE        ADANAMINA                  
CHEMIN     ADANI ODAYA                
PLACE      ADANKOUZA                  
CHEMIN     ATELIER ADINANI            
CHEMIN     AGNABOURANO                
CHEMIN     AINES                      
CHEMIN     ALBERT                     
CHEMIN     MDALA ALI                  
RUE        MDALA ALI                  
VEN        ALIASSA                    
VEN        OUSSENI ALLAOUI            
RUE        ATTOUMANI AMANA            
PLACE      AMBOIROU                   
CHEMIN     VELOU AMISSI               
VEN        ISSA AMISSI                
IMPASSE    AMPOPO                     
CHEMIN     AMPOURIAGNA                
CHEMIN     ANDZIRIRIKI                
CHEMIN     MAIRIE ANNEXE              
CHEMIN     ANOUVOU                    
RUE        CAPOQUIER                  
RUE        CHARIF BACAR               
RUE        BACARY                     
ROUTE      BACARY                     
VEN        BAHATI                     
CHEMIN     BAMADI                     
CHEMIN     BAMANA                     
CHEMIN     DU BANGA                   
RUE        DARI BARA                  
RUE        BARABANI                   
CHEMIN     BATAYO                     
ROUTE      BENTSEHOU                  
ROUTE      BILAMBOU                   
CHEMIN     ABDALLAH BOINA             
VEN        BOINALI                    
VEN        BOITCHA                    
