20151101
12         AVEYRON                       
LIEU-DIT   VILIEYROLS                 
LIEU-DIT   LA VIOLETTE                
           commune :     ALRANCE                        departement : AVEYRON                       
CITE       EDF D ALRANCE              
LOT        LES GRANDS CHENES          
LIEU-DIT   ALRANCE                    
LIEU-DIT   LA BARAQUE DE MALET        
LIEU-DIT   LA BARTHE DU PRE           
LIEU-DIT   LE BARTISOU                
LIEU-DIT   LE BERDIER                 
LIEU-DIT   LA BERQUE                  
LIEU-DIT   LA BES PAREDE              
LIEU-DIT   LA BESSIERE                
LIEU-DIT   BETHANIE                   
LIEU-DIT   LE BEZ                     
LIEU-DIT   LE BOIS                    
LIEU-DIT   BOIS DE BOURNHOU           
LIEU-DIT   BOIS DE FALGAYROUSE        
LIEU-DIT   BOIS DE FLAUVELOU          
LIEU-DIT   BOIS DE LA CANAL           
LIEU-DIT   BOIS DE LA COMBE           
LIEU-DIT   BOIS DE LA DEVEZE          
LIEU-DIT   BOIS DE LA SARRADE         
LIEU-DIT   BOIS DE SERMET             
LIEU-DIT   BONNEGUIDE                 
LIEU-DIT   LA BORIE                   
LIEU-DIT   LE BOSC                    
LIEU-DIT   LA BOUDOULE                
LIEU-DIT   LA BOUISSONNADE            
LIEU-DIT   LE BOUSCAILLOU DE LA GAZAN 
LIEU-DIT   LE BOUSCAL                 
LIEU-DIT   LE BOUSQUET                
LIEU-DIT   BOUSSINEQ                  
LIEU-DIT   BOUSSINESQ                 
LIEU-DIT   LE BOUVIALA BAS            
LIEU-DIT   LE BOUVIALE HAUT           
LIEU-DIT   LA BOUYSSONADE             
LIEU-DIT   LE BURGAS                  
LIEU-DIT   LA BURGO                   
LIEU-DIT   CABANIOLS                  
LIEU-DIT   LES CABANIOLS              
LIEU-DIT   CABANOUS                   
LIEU-DIT   LE CABASSAL                
LIEU-DIT   LE CABESSAL                
LIEU-DIT   CABONOU                    
LIEU-DIT   CABROULOUZE                
LIEU-DIT   LA CAILLOLIE               
LIEU-DIT   LES CALOUSSES              
LIEU-DIT   CALSIGAS                   
LIEU-DIT   LACAN                      
LIEU-DIT   LES CANTARELLES            
LIEU-DIT   LA CAPELLE FARCEL          
LIEU-DIT   LES CARBONIERS             
LIEU-DIT   LA CAZELLE                 
LIEU-DIT   LE CERIEYSSET              
LIEU-DIT   LE CHAMP                   
LIEU-DIT   CHAMP DE BOURNHOUNET       
LIEU-DIT   CHAMP DE CHARLES           
LIEU-DIT   CHAMP DE JACQUES           
LIEU-DIT   LE CHAMP DE LA BARTHE      
LIEU-DIT   CHAMP DE LA CROIX          
LIEU-DIT   LE CHAMP DE LA CROUPARIE   
LIEU-DIT   CHAMP DE LA DEVEZE         
LIEU-DIT   CHAMP DE LA VIEILLE        
LIEU-DIT   CHAMP DE LOUIS             
LIEU-DIT   LE CHAMP DE MARTY          
LIEU-DIT   LE CHAMP DE SERIN          
LIEU-DIT   CHAMP DU BOIS              
LIEU-DIT   LE CHAMP DU BOIS           
LIEU-DIT   LE CHAMP DU BOSC           
LIEU-DIT   LE CHAMP DU COUDERC        
LIEU-DIT   LE CHAMP GRAND             
LIEU-DIT   LE CHAMP POINTU            
LIEU-DIT   LES CHAMPS                 
LIEU-DIT   LE CLAPIER                 
LIEU-DIT   LE CLAUX                   
