20151101
AVENUE     D ESNEVAL                  
PLACE      DES ETANGS                 
           PAS ETIENNE DOLET          
RUE        ETIENNE DOLET              
RUE        EUGENE DELACROIX           
AVENUE     EUGENE SCHUELLER           
PASSAGE    EUGENE SCHUELLER           
RUE        EUGENE VARLIN              
BOULEVARD  FELIX FAURE                
RUE        DU FER A CHEVAL            
RUE        FERNAND DE MAGELLAN        
RUE        FERNAND HERBAUT            
PLACE      FERNAND LEGER              
RUE        DE FLANDRE                 
RUE        DE FLORE                   
ALLEE      DES FOSSES                 
RUE        FRANCISCO FERRER           
RUE        FRANCIS CRENO              
RUE        FRANCOIS ARAGO             
RUE        FRANCOIS BOURDELET         
RUE        FRANCOIS MASSET            
ALLEE      FRANCOIS 1ER               
ALLEE      FRANCOIS RUDE              
RUE        FRANKLIN                   
RUE        DE LA FRATERNITE           
RUE        FREDERIC MISTRAL           
IMPASSE    DE FREINVILLE              
RUE        DE FREINVILLE              
ALLEE      DES FRENES                 
RUE        FRERES ASPIS               
RUE        DES FRERES LUMIERE         
AVENUE     DES FRICHES                
AVENUE     GAMBETTA                   
AVENUE     DE LA GARE DE L ABBAYE     
AVENUE     DE GARGAN                  
AVENUE     GARIBALDI                  
RUE        GASPARD MONGE              
AVENUE     GASTON CHAUVIN             
ALLEE      DES GEMEAUX                
SQUARE     DES GEMEAUX                
BOULEVARD  DU GEN GALLIENI            
ALLEE      DE GASCOGNE                
PLACE      DU GENERAL DE GAULLE       
PLACE      DU GEN LECLERC             
ALLEE      DES GENETS                 
BOULEVARD  GEORGES BRAQUE             
ALLEE      DES GERANIUMS              
RUE        GEORGES SEURAT             
AVENUE     GERMAIN PAPILLON           
RUE        GERMAIN PLANQUE            
RUE        GILBERTE                   
RUE        GILBERTE DESNOYER          
RUE        GILBERT GATOUILLAT         
ROUTE      DE GONESSE                 
BOULEVARD  DE GOURGUES                
RUE        GOYA                       
AVENUE     DE GRENOBLE                
AVENUE     DU GROS PEUPLIER           
RUE        GUYNEMER                   
RUE        HALLET                     
RUE        DU HAMEAU                  
RUE        DU HAVRE                   
RUE        HENRI BARBUSSE             
RUE        HENRI BECQUEREL            
ALLEE      HENRI MONDOR               
RUE        HENRI MATISSE              
RUE        HENRI MONDOR               
SQUARE     HENRI MONDOR               
AVENUE     HENRI SIMON                
ALLEE      HENRI SOLER                
REMPART    HENRY DUNANT               
RUE        HONORE SOHIER              
RUE        DU HERON                   
ALLEE      DES HETRES                 
BOULEVARD  HOCHE                      
BOULEVARD  DE L HOTEL DE VILLE        
PLACE      DE L HOTEL DE VILLE        
RUE        DU HUIT MAI                
RUE        DE L INDUSTRIE             
AVENUE     I ET F JOLIOT CURIE        
AVENUE     ISAAC NEWTON               
RUE        ISIDORE NERAT              
RUE        D ITALIE                   
ALLEE      JACOLIN                    
ALLEE      DES JACINTHES              
ALLEE      DES JASMINS                
RUE        JACQUES DUCLOS             
AVENUE     JACQUES DAGUERRE           
RUE        JEAN CHAPTAL               
ALLEE      JEAN BART                  
RUE        JEAN CHARCOT               
RUE        JACQUES ANQUETIL           
AVENUE     JAMES WATT                 
RUE        JACQUES CARTIER            
AVENUE     JEAN JACQUES ROUSSEAU      
AVENUE     JEAN JAURES                
RUE        JEAN LE CORBUSIER          
PLACE      JEAN CLAUDE ABRIOUX        
RUE        JEAN LOLIVE                
ALLEE      JEAN MARIE ROUS            
RUE        JEAN ORCEL                 
SQUARE     JEAN ROSTAND               
RUE        JEAN PIERRE TIMBAUD        
AVENUE     JEANNE D ARC               
PLACE      JEANNE D ARC               
ALLEE      JEANNE HACHETTE            
ALLEE      JENVRIN                    
AVENUE     JENVRIN                    
IMPASSE    JENVRIN                    
ALLEE      DES JONQUILLES             
RUE        JOSE BOUQUET               
RUE        JOSEPH BERGER              
SQUARE     JOSEPH CUGNOT              
RUE        JOSEPH MARIE JACQUARD      
RUE        JULES FERRY                
RUE        JULES GUESDE               
AVENUE     JULES JOUY                 
RUE        JULES PRINCET              
RUE        JULES SIMON                
RUE        JULES VALLES               
RUE        JULIEN MIRA                
AVENUE     JUST ADOLPHE LECLERC       
PLACE      JUPITER                    
AVENUE     KLEBER                     
IMPASSE    LACROIX                    
RUE        LAFAYETTE                  
ALLEE      LAGIER DE FONTENAY         
RUE        LAGIER DE FONTENAY         
RUE        LAMARCK                    
RUE        LAMARTINE                  
ALLEE      LAMORICIERE                
PLACE      LA PEROUSE                 
RUE        LEGENDRE                   
BOULEVARD  LEFEVRE                    
AVENUE     LELIEVRE                   
RUE        LEON                       
RUE        LEON JOUHAUX               
RUE        LEON MAUVAIS               
RUE        LEONARD DE VINCI           
RUE        LEON RICHER                
RUE        LEON SAVOYE                
RUE        DE L ESPRIT                
RUE        DE LA LIBERTE              
RUE        DES LILAS                  
ALLEE      LIMITES                    
RUE        DU LIMOUSIN                
ALLEE      DU LION                    
RUE        DE LISBONNE                
RUE        LITTRE                     
AVENUE     DE LIVRY                   
RUE        LOEWEL                     
RUE        DE LONDRES                 
RUE        DE LORRAINE                
PLACE      DES LOTUS                  
ALLEE      DES LOTUS                  
AVENUE     LOUIS BARRAULT             
AVENUE     LOUIS BLANC                
RUE        LOUIS COUTANT              
AVENUE     LOUIS FRAPPART             
RUE        LOUIS PERGAUD              
ALLEE      LOUIS POUPON               
ALLEE      LOUIS 14                   
RUE        LOUIS SAILLANT             
RUE        LOUISE MICHEL              
RUE        LOUISON BOBET              
ALLEE      DE LOUVOIS                 
ALLEE      DE LUXEMBOURG              
RUE        DE MACON                   
AVENUE     MADELEINE                  
RUE        DE MADRID                  
IMPASSE    MAILLARD                   
RUE        MAILLOCHON                 
BOULEVARD  MARC CHAGALL               
RUE        MARCEAU                    
RUE        MARCEL                     
RUE        MARCEL DUTHET              
RUE        MARCEL SEMBAT              
RUE        DU MARCHE                  
RUE        MARCO POLO                 
ALLEE      DU MAL CLAUZEL             
AVENUE     DU MAL JUIN                
AVENUE     MAL DE LATTRE DE TASSIGNY  
RUE        MARECHAL FOCH              
ALLEE      DES MARGUERITES            
ALLEE      MARIE LOUISE               
RUE        DE LA MARNE                
IMPASSE    DES MARRONNIERS            
ALLEE      DE MARS                    
RUE        MARS                       
RUE        MARYSE BASTIE              
RUE        MASSENET                   
RUE        MAURICE DE BROGLIE         
RUE        MAURICE UTRILLO            
RUE        MAURICE NILES              
RUE        MAXIME GORKI               
RUE        MAXIMILIEN ROBESPIERRE     
RUE        MERCIER                    
PLACE      MERCURE                    
ALLEE      DU MERISIER                
ALLEE      DES MESANGES               
IMPASSE    DE METZ                    
IMPASSE    MICHAUD                    
RUE        MICHEL ANGE                
RUE        DES MIMOSAS                
RUE        DE MITRY                   
SQUARE     MODIGLIANI                 
AVENUE     DE MONACO                  
AVENUE     DE MONTALEMBERT            
RUE        DE LA MOREE                
RUE        DU MOULIN A VENT           
RUE        DU MOULIN DE LA VILLE      
ALLEE      DU MUGUET                  
AVENUE     DE MUN                     
           N 370                      
ALLEE      DES NENUPHARS              
RUE        DES MYOSOTIS               
SQUARE     NEPTUNE                    
