20151101
LIEU-DIT   BAC DEL COULOUME           
LIEU-DIT   LA BAGE                    
LIEU-DIT   LA BATOUSE                 
LIEU-DIT   BELMATX                    
LIEU-DIT   BOURBOULLE                 
LIEU-DIT   CA BORNS                   
LIEU-DIT   CAL OUSSEIL                
LIEU-DIT   CAL ROIGT                  
LIEU-DIT   CAMPS D EN MALCION         
LIEU-DIT   CAMPS DE LAS BASSES        
LIEU-DIT   CAMPS DE SANT MARTI        
LIEU-DIT   CAN CLIQUETES              
LIEU-DIT   CAN FELIX                  
LIEU-DIT   CAN GASCOU                 
LIEU-DIT   CAN MASCARAT               
LIEU-DIT   CAN PAGRIS EST             
LIEU-DIT   CAN PAGRIS OUEST           
LIEU-DIT   CAN RIUBANS                
LIEU-DIT   CAN SOULE                  
LIEU-DIT   CASENOBE                   
LIEU-DIT   LE CAZOT                   
LIEU-DIT   LA CIVADERE                
LIEU-DIT   CLOS JOSETTE               
LIEU-DIT   COLL DEL RIC               
LIEU-DIT   COLL PERILLOU              
LIEU-DIT   COLL SARDA                 
LIEU-DIT   COLOMINA DE DALT           
LIEU-DIT   COMMUNAL                   
LIEU-DIT   LES COSTES                 
LIEU-DIT   CREU DE BATANO             
LIEU-DIT   LA DEGOLLE                 
LIEU-DIT   LA DEVESE                  
LIEU-DIT   DRAGUINES                  
LIEU-DIT   L EGLISE                   
LIEU-DIT   ELS GAUS NORD              
LIEU-DIT   ELS GAUS SUD               
LIEU-DIT   L ESCARRA                  
LIEU-DIT   L ESTANYOL                 
LIEU-DIT   LA FARGASSE                
LIEU-DIT   LE FAUBOURG                
LIEU-DIT   LA FITE                    
LIEU-DIT   LE FORT                    
LIEU-DIT   GARRETOSE                  
LIEU-DIT   LA GARRIGUE                
LIEU-DIT   LA GRIFFE                  
LIEU-DIT   LES HORTES                 
LIEU-DIT   HORTS DE DALLA             
LIEU-DIT   LAS COLLADES               
LIEU-DIT   LAS FOURQUES               
LIEU-DIT   LOU CASTEILL               
LIEU-DIT   EL MALLOL                  
LIEU-DIT   MAS ALDAY                  
LIEU-DIT   MAS D AMONT                
LIEU-DIT   MAS FONS                   
LIEU-DIT   MOULY SERADOU              
LIEU-DIT   LA NOUGAREDE               
LIEU-DIT   L ORATORY                  
LIEU-DIT   PALALDA                    
LIEU-DIT   PARACOLS                   
LIEU-DIT   PARC DES THERMES ROMAINS   
LIEU-DIT   PAS DEL GAU                
LIEU-DIT   LA PINEDE CHEMIN DE MONTAL 
LIEU-DIT   PLA JOUANAL                
LIEU-DIT   PUIG DE CIVELLA            
LIEU-DIT   PUIG DE L OU               
LIEU-DIT   PUIG DE LLUNES             
LIEU-DIT   PUJOL DA D ALT             
LIEU-DIT   PUJOL DE BAIX              
LIEU-DIT   LA REIXE                   
LIEU-DIT   ROC CAMPAS                 
LIEU-DIT   ROC LA CANPANNE            
LIEU-DIT   ROUTE DE MONTALBA          
LIEU-DIT   RUE JOSEPH COSTE           
LIEU-DIT   LA RUMPUDE                 
LIEU-DIT   SAGETES                    
LIEU-DIT   SAINT ANGRACIA             
LIEU-DIT   SERRAT DE LA TEULERIA      
LIEU-DIT   SOBREVILLE                 
LIEU-DIT   SOLA DE PARACOLS           
LIEU-DIT   SOLAR D EN MALCION         
LIEU-DIT   SOULA DE CAN SOULE         
LIEU-DIT   LES TAILLS                 
LIEU-DIT   EL TARDAR                  
LIEU-DIT   LES TERRADES               
LIEU-DIT   LA TRETE                   
LIEU-DIT   LA VILLE                   
LIEU-DIT   LES VOLTES                 
LIEU-DIT   LOT TENNIS PARC            
LIEU-DIT   AIRE Y SOL                 
LIEU-DIT   CAN DAY                    
LIEU-DIT   CAN MALCION                
