20151101
25         DOUBS                         
LIEU-DIT   LA CABESSE                 
LIEU-DIT   LES CHALONGES              
LIEU-DIT   CHAMP GENOUIL              
LIEU-DIT   CHAMP LA DAME              
LIEU-DIT   CHAMPS CARRES              
LIEU-DIT   CHAMPS D AUVIGNES          
LIEU-DIT   CHAMPS DE TRAVERS          
LIEU-DIT   CHAMPS DES PIERRES         
LIEU-DIT   CHAMPS DES PRES            
LIEU-DIT   CHAMPS DU ROUCHOT          
LIEU-DIT   CHAMPS MONTANTS            
LIEU-DIT   A LA CHAPELLE              
LIEU-DIT   LA CHARDENIERE             
LIEU-DIT   A LA CHARME                
LIEU-DIT   LA CHARME                  
LIEU-DIT   LES CHARMOTTES             
LIEU-DIT   EN CHASSEIGNE              
LIEU-DIT   EN CHAT BOILLOT            
LIEU-DIT   CHAUSSU                    
LIEU-DIT   LA CHAUX                   
LIEU-DIT   SUR LE CHEMIN DU MOULIN    
LIEU-DIT   AU CHENE JEAN JACQUOT      
LIEU-DIT   LA CHOPINE                 
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   COMBE AU CHEVREUIL         
LIEU-DIT   LES COMMOCHOTS             
LIEU-DIT   COMMUNAL DE PREJOBOIS      
LIEU-DIT   COMMUNAL DES PARTIES       
LIEU-DIT   CORNE DU VERNOIS           
LIEU-DIT   EN COUILLARD               
LIEU-DIT   COURBES ROYES              
LIEU-DIT   EN COURNEILLARD            
LIEU-DIT   LA CRAULIERE               
LIEU-DIT   LA CROCHERE                
LIEU-DIT   EN CROMARY                 
LIEU-DIT   DERRIERE CHEZ CHEVAL       
LIEU-DIT   DERRIERE LE BOIS BANAL     
LIEU-DIT   DERRIERE LE CHANOIS        
LIEU-DIT   DERRIERE LE PUITS          
LIEU-DIT   DERRIERE LES VANNEYS       
LIEU-DIT   ENTRE DEUX BAYES           
LIEU-DIT   ES CARONS                  
LIEU-DIT   ES CLOQUES                 
LIEU-DIT   ES COUNEILLARD             
LIEU-DIT   ES GUERDELIERS             
LIEU-DIT   ES TOUVIERES               
LIEU-DIT   EN ESSARD BAYET            
LIEU-DIT   LES ESSARDS BERNARD        
LIEU-DIT   EN FERRIERE                
LIEU-DIT   LES FLUCHETS               
LIEU-DIT   EN FRACUL                  
LIEU-DIT   LES GENEVRIERS             
LIEU-DIT   GORGE CHAUDE               
LIEU-DIT   LE GOUT THOMAS             
