20151101
79         DEUX SEVRES                   
IMPASSE    DES VIGNES                 
RUE        ERNEST VINCENT             
RUE        DES VIOLETTES              
RUE        VIVALDI                    
RUE        DE VOUILLE                 
           commune :     AIGONNAY                       departement : DEUX SEVRES                   
LIEU-DIT   L AUBARREE                 
LIEU-DIT   L AUBAS                    
LIEU-DIT   LA BALDERIE                
LIEU-DIT   LES BOIS DE JUSSAY         
LIEU-DIT   BOIS DE LA NEIDE           
LIEU-DIT   SUR LE BOIS DE LA NEIDE    
LIEU-DIT   BOIS DES COUDRES           
LIEU-DIT   BOIS DES VIGNES            
LIEU-DIT   BOIS JAUFFRET              
LIEU-DIT   BOIS VALLET                
LIEU-DIT   BONNAIRON                  
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LA BUTTE                   
LIEU-DIT   LE CARREFOUR               
LIEU-DIT   LE CARREFOUR OUEST         
LIEU-DIT   LE CARREFOUR SUD           
LIEU-DIT   LES CASSOTS                
LIEU-DIT   LES CHAGNASSES             
LIEU-DIT   CHAMP CHAUVET              
LIEU-DIT   CHAMP DE L INTERIE         
LIEU-DIT   LE CHAMP DE LA MINEE       
LIEU-DIT   CHAMP DU CHAIL             
LIEU-DIT   CHAMP MALVEAU              
LIEU-DIT   CHAMP MOREAU               
LIEU-DIT   CHAMP MORET                
LIEU-DIT   CHAMP ROND                 
LIEU-DIT   CHAMP ROUGE                
LIEU-DIT   CHAMP TOURNEAU             
LIEU-DIT   CHAMPEAUX                  
LIEU-DIT   LES CHAMPS DE CHAIL        
LIEU-DIT   LES CHAMPS DE SERQUIGNON   
LIEU-DIT   LES CHAMPS DE VIRSAY       
LIEU-DIT   LES CHAMPS DU JOUG         
LIEU-DIT   LES CHAMPS DU TROT         
LIEU-DIT   CHANTELOUP                 
LIEU-DIT   LA CHATAIGNERAIE A PAPOT   
LIEU-DIT   LE CHATAIGNIER AUX RENAUD  
LIEU-DIT   LA CHAUME DE SAINT MAIXENT 
LIEU-DIT   LA CHAUME DES LIONS        
LIEU-DIT   CHAUME GACHET              
LIEU-DIT   COMBE JOLLIET              
LIEU-DIT   LES COURTANIERES           
LIEU-DIT   LA COUTURE                 
LIEU-DIT   LES COUTURES               
LIEU-DIT   DRESSE BOUC                
LIEU-DIT   L EPINET                   
LIEU-DIT   LES FONTENELLES            
LIEU-DIT   LE FRENE                   
LIEU-DIT   LES GACOUGNOLES            
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LES GARENNES               
LIEU-DIT   GATE FAVIERE               
LIEU-DIT   GOISE                      
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND CHAMP ROND        
