20151101
RUE        PIERRE BROSSOLETTE         
RUE        PIERRE CURIE               
RUE        PIERRE MENDES FRANCE       
RUE        DE LA PLAINE               
RUE        DES PLANQUETTES            
RUE        DES PLATANES               
ALLEE      DU PORTEL                  
RUE        RAOUL BRIQUET              
RUE        RAOUL BRIQUET 4 AS         
RUE        RAYMOND SOUILLIART         
RUE        RENE DAMBREVILLE           
RUE        DE LA ROTONDE              
RUE        ROGER SALENGRO             
RUE        DES SAPINS                 
RUE        DE ROUBAIX                 
RUE        DE TOKYO                   
PLACE      DE ROUEN                   
RUE        DE ROME                    
ALLEE      DE SANGATTE                
RUE        DE TOULOUSE                
RUE        DE TROYES                  
           RES DU SOIR PAISIBLE       
RUE        DE VERDUN                  
RUE        DU TRIANGLE                
SQUARE     DU STADE                   
RUE        AIME VERGEOT               
RUE        DES MARAICHERS             
RUE        VICTOR DELAPORTE           
RUE        VICTOR HUGO                
IMPASSE    VOLTAIRE                   
           commune :     ACHIET-LE-GRAND                departement : PAS DE CALAIS                 
PARC       EOLIEN DE SAINT LEGER      
LIEU-DIT   LES AFFERIERES             
LIEU-DIT   LE BUISSON KENDRIER        
LIEU-DIT   LE CABUGIS                 
LIEU-DIT   LE CALVAIRE                
LIEU-DIT   LE CENTRE                  
LIEU-DIT   CHEMIN DE LA LAITERIE      
LIEU-DIT   LE CHEMIN DE PARIS         
LIEU-DIT   LE CHEMIN DE PIERRE        
LIEU-DIT   LE CIMETIERE               
LIEU-DIT   L EGLISE                   
LIEU-DIT   ENTRE DEUX VOIES           
LIEU-DIT   LE FOND DE COUR            
LIEU-DIT   LE FOND DE TREVILLERS      
LIEU-DIT   LA GARE                    
LIEU-DIT   LA LAITERIE                
LIEU-DIT   LES LEMICHONS              
LIEU-DIT   LA LUCHE                   
LIEU-DIT   LA MAIRIE                  
LIEU-DIT   MONTMARTRE                 
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LES PIECETTES              
LIEU-DIT   LES QUINZE                 
LIEU-DIT   LES SEPT                   
LIEU-DIT   LE SILO                    
LIEU-DIT   LES SIX                    
LIEU-DIT   LE TEILLAGE                
LIEU-DIT   LES TROIS PLEINS CHAMPS    
LIEU-DIT   LA VIERGE                  
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE VILLAGE EST             
LIEU-DIT   LE VILLAGE NORD            
LIEU-DIT   LE VILLAGE SUD             
LIEU-DIT   LA VOIE D IRLES            
LIEU-DIT   LA VOIE DE BOURGOGNE       
LIEU-DIT   LA VOIE DES ONZE           
LIEU-DIT   BOIS DE LOGEAST            
RUE        D ABLAINZEVELLE            
ROUTE      DEPARTEMENTALE 32          
RUE        D ARRAS                    
RUE        DE L AVENIR                
ROUTE      DE BAPAUME                 
PARC       EOLIEN DES TROIS CHAMPS    
RUE        DU BERCEAU                 
           RES LE CABUGIS             
RUE        DE LA CONCORDE             
RUE        DE COURCELLES              
IMPASSE    DE DOULLENS                
RUE        DE L EGALITE               
RUE        FOURDRAINE                 
RUE        DE LA GARE                 
RUE        DU GEN FRERE               
RUE        DU HUIT MAI                
RUE        JACQUES BREL               
RUE        DE LA LAITERIE             
RUE        DE LA MAIRIE               
RUELLE     MATHIAS                    
RUE        NEUVE                      
RUE        DE PARIS                   
RUE        DE LA PETITE VITESSE       
CHEMIN     DE PIERRE                  
RUE        DES VOYAGEURS              
RUE        DE LA VIERGE               
           commune :     ACHIET-LE-PETIT                departement : PAS DE CALAIS                 
LIEU-DIT   LES AFEULLIERES            
LIEU-DIT   LE BOIS D AMIZOL           
LIEU-DIT   LE BOIS LOGEAST            
LIEU-DIT   LE BOIS LONG BOYAU         
LIEU-DIT   LE BOIS TOURNI             
LIEU-DIT   LES BORNES                 
LIEU-DIT   LA BRIQUETERIE CREPIN      
LIEU-DIT   LES CERISIERS              
LIEU-DIT   LES CHAMPS MARY            
LIEU-DIT   LE CHEMIN D ACHIET LE GRAN 
LIEU-DIT   LE CHEMIN D ARRAS          
LIEU-DIT   LE CHEMIN DE BAPAUME       
LIEU-DIT   CHEMIN DE LATTRE           
LIEU-DIT   CHEMIN DES SAULES          
LIEU-DIT   LE CHEMIN DU HARENG        
LIEU-DIT   LE CHEMIN NEUF             
LIEU-DIT   LE CIMETIERE               
LIEU-DIT   LA CRETE TARLARE           
LIEU-DIT   LA CROIX DE PARIS          
LIEU-DIT   LA CROIX MARCONNE          
LIEU-DIT   DERRIERE LE VILLAGE        
LIEU-DIT   LE FAUBOURG                
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LES NEUF                   
LIEU-DIT   LES ONZE                   
LIEU-DIT   LE PARC                    
LIEU-DIT   LE POURCHAUVILLE           
LIEU-DIT   LE RUISSEAU DE BOURGOGNE   
LIEU-DIT   LES SAVEUSES               
LIEU-DIT   LA SOLE DU BOIS LOGEAST    
LIEU-DIT   VALLEE D IRLES             
LIEU-DIT   LE VIEUX MOULIN            
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VOIE DES NEUF           
LIEU-DIT   VOIE DES NEUF              
LIEU-DIT   LA VOIE MAYEUR             
LIEU-DIT   LE RUISSEAU D ERMITE       
RUE        D ANGOULEME                
CHEMIN     D ARRAS                    
RUE        DE BUCQUOY                 
RUE        DU CIMETIERE               
RUE        DE L EGLISE                
RUE        DU FAUBOURG                
RUE        J DECQUES                  
RUE        DE MIRAUMONT               
RUE        PASTEUR                    
RUE        DES PATURELLES             
RUE        DE PUISIEUX                
RUE        DES SAULES                 
           commune :     ACQ                            departement : PAS DE CALAIS                 
LIEU-DIT   LE BOIS DU PERROY          
LIEU-DIT   LE BOIS HEDA               
LIEU-DIT   LA CAVEE DE HAUTE AVESNES  
LIEU-DIT   LE CHAMP SAINT GERY        
LIEU-DIT   LA CHAUSSEE BRUNEHAUT      
LIEU-DIT   LE CHOSSOY                 
LIEU-DIT   LA COUTURE A MOUCHONS      
LIEU-DIT   LA COUTURE D HAUTE AVESNES 
LIEU-DIT   LA COUTURE DE HAUTE AVESNE 
