20151101
LIEU-DIT   LE DEFROCQUE               
LIEU-DIT   DERRIERE LA BIZARDERIE     
LIEU-DIT   LE DEVALOIR                
LIEU-DIT   DEVANT LA BIZARDERIE       
LIEU-DIT   ENTRE LES PONTS            
LIEU-DIT   FONTAINE DE BAUME          
LIEU-DIT   FONTAINE DES BLANCHES      
LIEU-DIT   LA FONTENELLE              
LIEU-DIT   LES FRICHES                
LIEU-DIT   FRILEUSE                   
LIEU-DIT   LA GRANDE PASSEE           
LIEU-DIT   GRATTE CHIEN               
LIEU-DIT   LE GROS ORMEAU             
LIEU-DIT   LE GUE                     
LIEU-DIT   LA HAUTE SETTE             
LIEU-DIT   LES LONGUES NOUES          
LIEU-DIT   MALABRY                    
LIEU-DIT   LA NONNETIERE              
LIEU-DIT   LE PARC MOREAU             
LIEU-DIT   PIGUELE                    
LIEU-DIT   LA POULETTE                
LIEU-DIT   PRE DU ROI                 
LIEU-DIT   PRES D HUCHIGNY            
LIEU-DIT   PRES DE L HERMITAGE        
LIEU-DIT   LES PRES PIQUARDS          
LIEU-DIT   LE PUITS                   
LIEU-DIT   LES RONCES                 
LIEU-DIT   RONSARD                    
LIEU-DIT   LA SARADINIERE             
LIEU-DIT   LE SAUVAGEAU               
LIEU-DIT   SOUS LA BORDE              
LIEU-DIT   TOURNE BRIDE               
ROUTE      DE BEAUGENCY               
CHEMIN     DU BILLOIR                 
CHEMIN     DE BRULENE                 
CHEMIN     DE CHANTALOUETTE           
RUE        DE COGNEBUEE               
ROUTE      DE COULOMMIERS             
RUE        DE L ECOLE                 
IMPASSE    DES FLEURS                 
RUE        DES JARDINS                
RUE        DES JASMINS                
RUE        DES LILAS                  
ALLEE      DES MARRONNIERS            
IMPASSE    DES MARRONNIERS            
ROUTE      DE LA NONNETIERE           
RUE        DE LA PIERRE TAILLEE       
RUE        DES PIVOINES               
ROUTE      DE ROCE                    
IMPASSE    DES TILLEULS               
RUE        DE TOURNEBRIDE             
RUE        DE LA VALLEE DU LOIR       
           commune :     ARTINS                         departement : LOIR ET CHER                  
LIEU-DIT   A                          
LIEU-DIT   LES AUNAIES                
LIEU-DIT   L AUNAY                    
LIEU-DIT   LA BERGERIE                
LIEU-DIT   LES BERTINERIES            
LIEU-DIT   LE BOIS DU CHATEAU         
LIEU-DIT   LE BOIS NEUF               
LIEU-DIT   LA BORDE                   
LIEU-DIT   LA BORDE GUILLON           
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOUSSETS               
LIEU-DIT   LES BROSSES                
LIEU-DIT   LES BUARDIERES             
LIEU-DIT   LA BUSE CARREE             
LIEU-DIT   LA CAILLERIE               
LIEU-DIT   LES CARROIRS MAILLARDS     
LIEU-DIT   LES CARTES                 
LIEU-DIT   SUR LA CAVE                
LIEU-DIT   LES CAVES                  
LIEU-DIT   LE CHATEAU GAILLARD        
LIEU-DIT   LE CHENE AU MOINE          
LIEU-DIT   LE CLAIR ONDIN             
LIEU-DIT   LE CLOS LORIQUET           
LIEU-DIT   LES COLINIERES             
LIEU-DIT   LA COMMANDERIE             
LIEU-DIT   LES CORMIERS               
LIEU-DIT   LA COTTELLERIE             
LIEU-DIT   LES COULEES                
LIEU-DIT   LA COUTANCE                
LIEU-DIT   LA COUTIERE                
LIEU-DIT   LA COUTRIERE               
LIEU-DIT   LA CROIX GERBAULT          
LIEU-DIT   LES DAUBINIERES            
LIEU-DIT   LES ECLUSES                
LIEU-DIT   LES FAUCHERIES             
LIEU-DIT   LA FONTAINE DES PIERRES    
LIEU-DIT   LES FONTAINES              
LIEU-DIT   LA FOSSE GALON             
LIEU-DIT   LES GAINS                  
LIEU-DIT   LA GALOCHERE               
LIEU-DIT   LA GANERIE                 
LIEU-DIT   LES GENETTES               
LIEU-DIT   LE GRAND CLOS              
LIEU-DIT   LA GRANDE EAU              
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LES GRANGES                
LIEU-DIT   LE GROS CORMIER            
LIEU-DIT   LE GUE DE SENSE            
LIEU-DIT   LES GUILLERDIERES          
LIEU-DIT   LE HALLIER                 
LIEU-DIT   LA HAMELOTRIE              
LIEU-DIT   LA JOUTRIE                 
LIEU-DIT   LES MALASSIS               
LIEU-DIT   LES MARCHERS               
LIEU-DIT   LA MARDELLE                
LIEU-DIT   LES MARIELLES              
LIEU-DIT   LA MIENNERIE               
LIEU-DIT   LA MORANDIERE              
LIEU-DIT   LA MORELLE                 
LIEU-DIT   LA MUE DE LA CURE          
LIEU-DIT   LA NOUE DE LA CURE         
LIEU-DIT   LE PARC                    
LIEU-DIT   LE PARC CADET              
LIEU-DIT   LE PARC CLEVOUE            
LIEU-DIT   LE PARC DES GENIEVRES      
LIEU-DIT   LE PARC DU MILIEU          
LIEU-DIT   LES PARCS                  
LIEU-DIT   LES PERRAIS                
LIEU-DIT   LE PETIT ORMEAU            
LIEU-DIT   LES PETITS PRES            
LIEU-DIT   LES PICAUDIERES            
LIEU-DIT   LA PIECE DES CAVES         
LIEU-DIT   LA PIECE DU BOIS           
