20151101
2B         HAUTE CORSE                   
LIEU-DIT   AFFACATOJO                 
LIEU-DIT   ALANDO                     
LIEU-DIT   APPIATTA                   
LIEU-DIT   AULA VECCHIA               
LIEU-DIT   BASTA                      
LIEU-DIT   BELLICATO                  
LIEU-DIT   BOLLERO                    
LIEU-DIT   BONDANZA                   
LIEU-DIT   BRONCO                     
LIEU-DIT   CABANELLE                  
LIEU-DIT   CALCINAJO                  
LIEU-DIT   CAMPO D ALANDO             
LIEU-DIT   CANAPALE                   
LIEU-DIT   CANETU                     
LIEU-DIT   CANIERI                    
LIEU-DIT   CANNICCIOLE                
LIEU-DIT   CAPPIZZALI                 
LIEU-DIT   CAPPONACCIO                
LIEU-DIT   CASELLE                    
LIEU-DIT   CASERMANO                  
LIEU-DIT   CAVA                       
LIEU-DIT   CAVICELLE                  
LIEU-DIT   CAVICELLI                  
LIEU-DIT   CAVONE                     
LIEU-DIT   CHIATTA                    
LIEU-DIT   CHIOSELLO                  
LIEU-DIT   CHIOSO                     
LIEU-DIT   CIMONE                     
LIEU-DIT   COLOMBAJA                  
LIEU-DIT   CONVENTO                   
LIEU-DIT   COSTA                      
LIEU-DIT   DEBIACCE                   
LIEU-DIT   DICEPPO                    
LIEU-DIT   DIRRASCHERE                
LIEU-DIT   ERTELLE                    
LIEU-DIT   FONTANA                    
LIEU-DIT   FONTANELLE                 
LIEU-DIT   FORCI                      
LIEU-DIT   GALLINAJA                  
LIEU-DIT   LICCIOLE                   
LIEU-DIT   LICCIONE                   
LIEU-DIT   LISCIA                     
LIEU-DIT   MANNACHIA                  
LIEU-DIT   MELI                       
LIEU-DIT   MERZOLUICHI                
LIEU-DIT   MINGHINACCI                
LIEU-DIT   NOCIOLA                    
LIEU-DIT   OLIVA TONDA                
LIEU-DIT   OMBARSCIA                  
LIEU-DIT   OMBRIA ALLE SARRE          
LIEU-DIT   ONAGO                      
LIEU-DIT   ORTOLINI                   
LIEU-DIT   PADULA                     
LIEU-DIT   PADULELLE                  
LIEU-DIT   PADULONE                   
LIEU-DIT   PAGLIAJOLO                 
LIEU-DIT   PALMINTACCIO               
LIEU-DIT   PANICALE                   
LIEU-DIT   PAOLA LONGA                
LIEU-DIT   PASTINACCI                 
LIEU-DIT   PEDILOSO                   
LIEU-DIT   PENTICI ROSSI              
LIEU-DIT   PENTONI                    
LIEU-DIT   PETRERA                    
LIEU-DIT   PIANA                      
LIEU-DIT   PIANA A CANIERI            
LIEU-DIT   PIANELLA                   
LIEU-DIT   PIEDI PINZUTO              
LIEU-DIT   PIETRA ALATA               
