20151101
08         ARDENNES                      
ROUTE      DE NOUZONVILLE             
RUE        PARMENTIER                 
RUE        PASTEUR                    
RUE        PAUL ROYAUX                
RUE        PAUL VERLAINE              
RUELLE     RAFFY                      
RUE        ROGER SOMMER               
RUE        DE ROHAN                   
RUE        ROLAND GARROS              
RUE        SAINT EXUPERY              
RUE        DE SAINT QUENTIN           
RUE        DE STENDHAL                
CHEMIN     DE TANIMONT                
RUE        DE TANIMONT                
RUE        VICTOR HUGO                
RUE        DE LA VIGNE                
           commune :     AIRE                           departement : ARDENNES                      
LIEU-DIT   LA BARAQUE                 
LIEU-DIT   BAS DES ILES               
LIEU-DIT   BAS POTET                  
LIEU-DIT   LA BASTIENNE               
LIEU-DIT   LE BATY                    
LIEU-DIT   BIENS COMMUNAUX            
LIEU-DIT   BOIS HULOT                 
LIEU-DIT   BOIS SOHIER                
LIEU-DIT   LE BOIS WILBERCQ           
LIEU-DIT   BOUVERIE                   
LIEU-DIT   BUISSON MARION             
LIEU-DIT   CAILLOUX                   
LIEU-DIT   CERISIER DU MONT           
LIEU-DIT   CHALONS                    
LIEU-DIT   CHALOUAI                   
LIEU-DIT   CHAMP CORBEAU              
LIEU-DIT   COTE ALISSE                
LIEU-DIT   COTE DU PICHOT             
LIEU-DIT   COTE FER                   
LIEU-DIT   COTE GOBERT                
LIEU-DIT   LA CROIX BERTIN            
LIEU-DIT   LA CROIX NOIRE             
LIEU-DIT   LA CROIX ROUGE             
LIEU-DIT   LE DARNAUX                 
LIEU-DIT   DERRIERE L EGLISE          
LIEU-DIT   DERRIERE LE MARTOY         
LIEU-DIT   DERRIERE LE MONT           
LIEU-DIT   DESSOUS POTET              
LIEU-DIT   DUREUX                     
LIEU-DIT   L ECUSSON                  
LIEU-DIT   FOND DES NEAUX             
LIEU-DIT   FOND DU MONT               
LIEU-DIT   GAVARD                     
LIEU-DIT   GOURNAY                    
LIEU-DIT   GRAND GALAS                
LIEU-DIT   LA GRANDE CUVE             
LIEU-DIT   GRANDS SIX JOURS           
LIEU-DIT   LA GROSSE BORNE            
LIEU-DIT   HAUT POTET                 
LIEU-DIT   LA HOUSSE                  
LIEU-DIT   LES HUIRESSES              
LIEU-DIT   LES ILES                   
LIEU-DIT   JARDINS BAS                
LIEU-DIT   JARDINS DU ROUTY           
LIEU-DIT   JOLIVET                    
LIEU-DIT   LILETTE                    
LIEU-DIT   LIMON                      
LIEU-DIT   LES LONGUES ROYES          
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LE MARTOY                  
LIEU-DIT   MIAUCHERON                 
LIEU-DIT   MILLIERES                  
LIEU-DIT   SUR LE MONT                
LIEU-DIT   MONT JOLY                  
LIEU-DIT   LA MOTELLE                 
LIEU-DIT   LA NEAU PORET              
LIEU-DIT   PATUREAU                   
LIEU-DIT   PETIT GALAS                
LIEU-DIT   LES PETITES ILES           
LIEU-DIT   PICHOT                     
LIEU-DIT   LE PLANTY                  
LIEU-DIT   POMMERET                   
LIEU-DIT   LE POTEAU                  
LIEU-DIT   SUR LE ROUTY               
LIEU-DIT   LE ROUTY                   
LIEU-DIT   LE ROUYOT                  
LIEU-DIT   LE ROYA                    
LIEU-DIT   LES SARTS                  
LIEU-DIT   SAULE VIGNON               
LIEU-DIT   SIX JOURS                  
LIEU-DIT   SOUS COTE FER              
LIEU-DIT   SOUS HOTTE CLAIRE          
LIEU-DIT   SOUS LE ROYA               
LIEU-DIT   SOUS LES MONTS             
LIEU-DIT   TERSIAU                    
LIEU-DIT   TRIOT DU RENARD            
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   VOYE LE COMTE              
LIEU-DIT   POTET                      
LIEU-DIT   LES VIGNES                 
RUE        D ASFELD                   
RUE        DE LA MAIRIE               
GR         GRANDE RUE                 
RUE        DES TILLEULS               
RUE        MADAME                     
RUE        DU MOULIN                  
ROUTE      DE BELLEVUE                
ROUTE      DE L ETANG                 
ALLEE      DES BOSQUETS               
ALLEE      DES SOURCES                
RUE        ROMARD                     
RUE        DU ROUTY                   
RUE        BASSE                      
RUELLE     ROMARD                     
RUELLE     DU CULOT                   
           commune :     ALINCOURT                      departement : ARDENNES                      
LIEU-DIT   L ARBRE L ABBESSE          
LIEU-DIT   LES ARBRES MONDREAU        
LIEU-DIT   BARBARAY                   
LIEU-DIT   LA BARONNIE                
LIEU-DIT   LA BARRIERE                
LIEU-DIT   BEAUMONT                   
LIEU-DIT   BODELOT                    
LIEU-DIT   BOIS DE LA CARRIERE        
LIEU-DIT   BOIS DE VISSENOY           
LIEU-DIT   BOIS LAURET                
LIEU-DIT   BUDANT AU BOIS DU POTEAU   
LIEU-DIT   LE BUISSON TROYON          
LIEU-DIT   LES CAZES                  
LIEU-DIT   LE CHAMP LA BREBIS         
LIEU-DIT   LE CHAMP LA VACHE          
LIEU-DIT   CHAMPAUX                   
LIEU-DIT   LA CHAUSSEE DE MONTDREGICO 
LIEU-DIT   LE CHEMIN D AUSSONCE       
LIEU-DIT   LE CLOCHER                 
