20151101
45         LOIRET                        
LIEU-DIT   LES HAUTES VARENNES        
LIEU-DIT   LE JONC                    
LIEU-DIT   LES JOUSSETS               
LIEU-DIT   LA JUSTICE                 
LIEU-DIT   LA LETHUMIERE              
LIEU-DIT   LES LOUACHINES             
LIEU-DIT   LA MAISON BLANCHE          
LIEU-DIT   LES MAISONS NEUVES         
LIEU-DIT   LE MARCHAIS A DIEU         
LIEU-DIT   LE MARCHAIS AUX DEESSES    
LIEU-DIT   LE MARCHAIS MURAILLE       
LIEU-DIT   LE MARCHAIS ROUGE          
LIEU-DIT   LE MARCHAIS SUREAU         
LIEU-DIT   LES MARTINS                
LIEU-DIT   LES MAUPAS                 
LIEU-DIT   LA MERE DIEU               
LIEU-DIT   LES MERLINS                
LIEU-DIT   LE MOULIN BARDIN           
LIEU-DIT   LE MOULIN CHARRIER         
LIEU-DIT   LE MOULIN DE PAILLE        
LIEU-DIT   LES MUSETS                 
LIEU-DIT   LES NEPRUNS                
LIEU-DIT   LA NIVELLE                 
LIEU-DIT   LES NOUVELLES VARENNES     
LIEU-DIT   LA PAILLETERIE             
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LE PATUREAU                
LIEU-DIT   LES PETITES VIGNES         
LIEU-DIT   LE PETIT MALTAVERNE        
LIEU-DIT   LES PETITS LOUIS           
LIEU-DIT   LA PIENNERIE               
LIEU-DIT   PIPAULT                    
LIEU-DIT   PISSEUX                    
LIEU-DIT   LES POHUTS                 
LIEU-DIT   LES POINTARDS              
LIEU-DIT   POINTE CHEM ST FIRMIN DES  
LIEU-DIT   LE PONT D ARDAN            
LIEU-DIT   LE PONT GAILLARD           
LIEU-DIT   LA PRAIRIE D YONNE         
LIEU-DIT   LES PRES DE SAINT FIRMIN   
LIEU-DIT   LES PRES DU MOULIN BARDIN  
LIEU-DIT   LE PRIEURE                 
LIEU-DIT   LES PROCHASSONS            
LIEU-DIT   LA QUARANTAINE             
LIEU-DIT   LES RATELIERS              
LIEU-DIT   LES REGNIERS               
LIEU-DIT   LE REVEILLON               
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LA ROIENNERIE              
LIEU-DIT   LES RUETS                  
LIEU-DIT   LE RUISSEAU                
LIEU-DIT   LA SABLONNIERE DE VILLENEU 
LIEU-DIT   SAINT FIRMIN DES VIGNES    
LIEU-DIT   SAINT LOUP                 
LIEU-DIT   LES SARADINS               
LIEU-DIT   SAULCEUX                   
LIEU-DIT   LES SAVOIES                
LIEU-DIT   LA TAILLE DU CHAMP         
LIEU-DIT   LE TAILLIS DE RAGEAU       
LIEU-DIT   LES TAMPLONNEAUX           
LIEU-DIT   LES TERRES BLANCHES        
LIEU-DIT   TERRES DE COULEUVREUX      
LIEU-DIT   LES TERRES DE LA FONTAINE  
LIEU-DIT   LES TERRES DE LA POULAILLE 
LIEU-DIT   TERRES DE LA VALLEE DES RE 
LIEU-DIT   TERRES DE SAINT BENOIST    
LIEU-DIT   TERRES DE VARENNE          
LIEU-DIT   TERRES DES AMAURYS         
LIEU-DIT   LES TERRES DES CHANDELLES  
LIEU-DIT   TERRES DES CHATELAINS PISS 
LIEU-DIT   LES TERRES DES PRES        
LIEU-DIT   TERRES DES 4 CHEM LA FONTA 
LIEU-DIT   TERRES DU BOIS DE LA DELIR 
LIEU-DIT   TERRES DU BOIS DES DAMES   
LIEU-DIT   TERRES DU BOIS DU PENDANT  
LIEU-DIT   TERRES DU CLOS VINOT       
LIEU-DIT   TERRES DU MARCHAIS AUX ARB 
LIEU-DIT   TERRE DU PETIT VARENNE     
LIEU-DIT   TERRES DU TAILLIS DE RAGEA 
LIEU-DIT   TERRES ET BOIS DE VARENNE  
LIEU-DIT   LES TERRES FORTES          
LIEU-DIT   LA TUILERIE                
LIEU-DIT   LA VALLEE                  
LIEU-DIT   VARENNE                    
LIEU-DIT   LES VIGNES DE LA LETHUMIER 
LIEU-DIT   VILLENEUVE                 
LIEU-DIT   VIROY                      
LIEU-DIT   QUARTIER DU PONT GAILLARD  
           AISANCE DE LA JUSTICE      
           AISANCE DES CHARDONNEREAUX 
RUE        ALBERT FRAPPIN             
RUE        DES ALOUETTES              
RUE        DES AMAURYS                
RUE        AMBROISE PARE              
CHEMIN     DES AMOUREUX               
ALLEE      AMICIE DE MONTFORT         
RUE        ANDRE LIORET               
RUE        ANDRE MALRAUX              
RUE        D ANJOU                    
AVENUE     D ANTIBES                  
RUE        D AQUITAINE                
RUE        ARISTIDE BRIAND            
RUE        DE L ARMOIRE               
RUE        DES AUBEPINES              
RUE        DE L AUBERGE NEUVE         
RUE        AUGUSTE RENOIR             
RUE        DES AULNES                 
RUE        DE L AVENIR                
RUE        DE LA BALANCE              
IMPASSE    DES BARNABITES             
RUE        DES BARRES                 
RUE        DU BAS DU BUISSON          
RUE        BASSE                      
           AISANCE DES BASSES LOGES   
RUE        DES BASSES LOGES           
RUE        DES BASSES VARENNES        
IMPASSE    DE BELLEVUE                
RUE        DE BELLEVUE                
RUE        DU BERRY                   
RUE        DE BIR HAKEIM              
RUE        DES BLARDS                 
RUE        DES BLEUETS                
RUE        DU BOIS DES DAMES          
RUE        DU BOIS RAGEAU             
RUE        DU BOIS ROSSIGNOL          
RUE        DE BOURGOGNE               
           AISANCE DES BOURGOINS      
RUE        DES BOURGOINS              
RUE        DES BOUVREUILS             
RUELLE     DE BRISELANCE              
RUE        DE BRISELANCE              
RUE        DE BROSSERONDE             
RUE        DES BRUYERES               
RUE        DU BUISSON                 
RUE        CAILLOUTEUSE               
RUE        DU CANAL                   
RUE        DU CARRE                   
RUE        DES CASTELETS              
RUE        DES CASTORS                
RUE        DE LA CAUSTIERE            
RUE        DU CELLIER                 
RUE        DES CERISIERS              
ALLEE      DE CHAMPAGNE               
RUE        DE CHAMPAGNE               
CHEMIN     DES CHARDONNEREAUX         
COUR       DES CHARDONNEREAUX         
IMPASSE    DES CHARDONNEREAUX         
RUE        DES CHARDONNEREAUX         
RUE        CHARLES RAIN               
RUE        CHARLIE CHAPLIN            
ALLEE      DES CHARMILLES             
RUE        DE LA CHAROGERIE           
RUE        DES CHARPENTIERS           
RUE        DU CHATEAU                 
RUE        DES CHATELAINS             
RUE        DES CHATELIERS             
ROUTE      DE CHATILLON               
RUE        DE LA CHEMINEE PEYNAULT    
RUE        DU CHENE                   
RUE        DE LA CHENEVIERE           
RUE        DU CHESNOY                 
RUE        CHEVRETTE                  
ROUTE      DU CHRIST                  
RUE        DU CHRIST                  
CHEMIN     DE CHUELLES                
RUE        DES CIGOGNES               
RUE        DU CLOS BEZAULT            
ALLEE      LE CLOS DE LA CHISE        
RUE        DU CLOS DERY               
RUE        LE CLOS DES SABLONS        
IMPASSE    DU CLOS DE VIROY           
RUE        DES CLOSEAUX               
RUE        DE LA COGNETTERIE          
RUE        COLETTE                    
RUE        DE LA COOPERATIVE          
RUE        DES COQUELICOTS            
RUE        DES CORDIERS               
RUE        DE COULEUVREUX             
RUE        DU COUP CHAMPION           
RUE        DES COURSONS               
ROUTE      DE COURTENAY               
RUE        CREUSE                     
RUE        DE LA CROIX SAINT JACQUES  
RUE        DES CYCLAMENS              
           AISANCE DES DADOTS         
RUE        DES DADOTS                 
AVENUE     DU DOCTEUR SCHWEITZER      
RUE        DU DOCTEUR TRIOSON         
RUE        DES DOMINICAINES           
RUE        DES DROITS DE L ENFANT     
RUE        DES DROITS DE L HOMME      
RUE        DE L ECLUSE                
RUE        DES ECOLES                 
PASSAGE    DES ECOLIERS               
RUE        EDITH PIAF                 
RUE        EDOUARD MANET              
RUE        DES EGLANTINES             
PLACE      DE L EGLISE                
RUE        EMILE ZOLA                 
RUE        EMMANUEL CHABRIER          
CHEMIN     DE L ERABLE                
RUE        EUGENE LACROIX             
RUE        DU FLAMBARD                
IMPASSE    DES FLEURS                 
RUE        DES FLEURS                 
CHEMIN     DE LA FONTAINE             
RUE        DE LA FONTAINE             
RUE        DE LA FONTAINE AUX POIS    
           AISANCE DU FONTENY         
RUE        DU FONTENY                 
RUE        FRANCIS PRIEUR             
RUE        FRANCOIS RABELAIS          
RUE        FRANCOIS VILLON            
RUE        FREDERIC CHOPIN            
AVENUE     DE LA GARE                 
ALLEE      DU GATINAIS                
RUE        DU GENERAL KOENIG          
RUE        DU GENERAL DE GAULLE       
RUE        DU GENERAL KOENING         
RUE        DU GENETOY                 
SENTIER    DES GENETS                 
IMPASSE    DES GENTIANES              
RUE        GEORGE SAND                
RUE        GEORGES BRASSENS           
RUE        GEORGES MAIROT             
RUE        GERARD PHILIPE             
RUE        DES GIONS                  
RUE        DES GIRAULTS               
ALLEE      GIRODET                    
CHEMIN     DU GOLFE                   
           AISANCE DES GOTHS          
RUE        DES GOTHS                  
CHEMIN     DU GRAND CHENE             
           AISANCE DES GRANDS CHAMPS  
RUE        DES GRANDS CHAMPS          
RUE        DE LA GREFFERIE            
RUE        DE LA GRENOUILLE           
RUE        DU GROS MOULIN             
RUE        DU GUE                     
RUE        DU GUE PIOCHE              
RUE        GUY LEPINE                 
RUE        GUYNEMER                   
IMPASSE    DES HAUTES FEUILLES        
