20151101
51         MARNE                         
LIEU-DIT   LA PRISON                  
LIEU-DIT   LE PUIOT                   
LIEU-DIT   LES RAPIARS                
LIEU-DIT   LA RENARDIERE              
LIEU-DIT   RENVERSE COTE              
LIEU-DIT   LE ROUOT                   
LIEU-DIT   RUE DE TRAVERSE            
LIEU-DIT   LES SABLONS                
LIEU-DIT   LA SAVATE                  
LIEU-DIT   SORANGE                    
LIEU-DIT   SOYE BOUROT                
LIEU-DIT   LA THOMELLE                
LIEU-DIT   LE TRICQ                   
LIEU-DIT   LES TROIS NOZOLES          
LIEU-DIT   LES VIEILLES LOGES         
LIEU-DIT   LE VIEUX MOULIN            
LIEU-DIT   LES VIGNES MARGUIN         
LIEU-DIT   LES VIGNEUX                
LIEU-DIT   LA VODRE                   
RUE        EDMON AUGER                
RUE        DES AUGES                  
RUE        DE LA BASE                 
CHEMIN     DE CHAMP DOYEN             
CHEMIN     DE CLIGNON                 
RUE        DU CREUX CHEMIN            
RUE        DU GRAND VAL               
RUE        DE L EGLISE                
RUE        DES ETANGS                 
CHEMIN     DES FOSSES ROUGES          
RUE        DE LA GALETTE              
RUE        DE PEAS                    
RUE        DE LA GRANGE               
RUELLE     DU LARRY                   
RUE        DU MOULIN A VENT           
RUE        DE SIGNY                   
RUE        DE TRAVERSE                
RUE        DE LA TUILERIE             
RUE        DU PETIT VAL               
CHEMIN     DES VIGNES                 
           commune :     ALLIANCELLES                   departement : MARNE                         
LIEU-DIT   LES AUBARDES               
LIEU-DIT   LES AUCHES                 
LIEU-DIT   LE BAS DES ECORNEES        
LIEU-DIT   LE BAS DU VIVIER           
LIEU-DIT   LE BONDON                  
LIEU-DIT   LA BORLEUSE                
LIEU-DIT   LA BRAHIERE                
LIEU-DIT   LE CHAMP CHARDONNET        
LIEU-DIT   LA CHARIGNIERE             
LIEU-DIT   LE CHENEVIERES             
LIEU-DIT   LE CLOS HACQUART           
LIEU-DIT   LES CLOS MOULIN            
LIEU-DIT   LA COTE DES BUES           
LIEU-DIT   LA COTE DES VAUX           
LIEU-DIT   LA COUPEE                  
LIEU-DIT   LE CUGNOT BROUILLOT        
LIEU-DIT   DERRIERE LES MONTS         
LIEU-DIT   AU DESSUS DE LA CHARIGNIER 
LIEU-DIT   AU DESSUS DES VIGNES DES V 
LIEU-DIT   AU DESSUS DU VIVIER        
LIEU-DIT   LE DEVANT DES MONTS        
LIEU-DIT   LE DEVANT DU GRAND AVIOT   
LIEU-DIT   LES ECHARNIERS             
LIEU-DIT   LES ECORNEES               
LIEU-DIT   ENTRE DEUX CHEMINS         
LIEU-DIT   LES FLAIRS                 
LIEU-DIT   LA FOSSE AUX GREVES        
LIEU-DIT   LE FOSSE VINCENT DOULOT    
LIEU-DIT   LE GRAND AVIOT             
LIEU-DIT   LE GRAND CHANOIS           
LIEU-DIT   LE GRAND GRAVIER           
LIEU-DIT   LA GRANDE VOIE             
LIEU-DIT   LES GRAVELLES              
LIEU-DIT   LE GRAVIER RICHARD         
LIEU-DIT   LA HAMEE                   
LIEU-DIT   LE JARD                    
LIEU-DIT   LE JARDIN LE CUQUE         
LIEU-DIT   LA MALOUETTE               
LIEU-DIT   LES MAZILLOTS              
LIEU-DIT   LA MOUCHEUSE               
LIEU-DIT   LE MOULIN                  
LIEU-DIT   L ORME                     
LIEU-DIT   L OSERAIE                  
LIEU-DIT   LES OUIS                   
LIEU-DIT   LES PALIES                 
LIEU-DIT   LES PAQUIS                 
LIEU-DIT   LE PAQUIS BRAHIERE         
LIEU-DIT   LE PAQUIS JEAN LE VERT     
LIEU-DIT   LE PETIT AVIOT             
LIEU-DIT   LE PETIT CHAMP CHARDONNET  
LIEU-DIT   LE PETIT CHANOIS           
LIEU-DIT   LE PETIT CHEMIN            
LIEU-DIT   LA PETITE VOIE             
LIEU-DIT   LES PLANTES                
LIEU-DIT   LE POURPOINT               
LIEU-DIT   LE PRE ROUGI               
