20151101
32         GERS                          
LIEU-DIT   A MANET                    
LIEU-DIT   AU MAIRE                   
LIEU-DIT   A MICHELON                 
LIEU-DIT   A CACHEBOT                 
LIEU-DIT   A BORDENAVE                
LIEU-DIT   A LACOSTE                  
LIEU-DIT   A MONGET                   
LIEU-DIT   A PARAN                    
LIEU-DIT   A DOUAT                    
LIEU-DIT   AU CHATEAU                 
LIEU-DIT   A HAGET                    
LIEU-DIT   A LALANNE                  
LIEU-DIT   A DUPRE                    
LIEU-DIT   A BAOURE                   
LIEU-DIT   A SAUTCOT                  
LIEU-DIT   A HAOU                     
           commune :     ARBLADE-LE-HAUT                departement : GERS                          
LIEU-DIT   LES ARTIGAOUS              
LIEU-DIT   LES ARTIGAOUS MOULIN       
LIEU-DIT   BANBALERE                  
LIEU-DIT   BANBALERE HAMEAU           
LIEU-DIT   BARTUEL                    
LIEU-DIT   BEASSE                     
LIEU-DIT   BENUT                      
LIEU-DIT   LE BERNES                  
LIEU-DIT   BIALET                     
LIEU-DIT   BIDALE                     
LIEU-DIT   BIEN                       
LIEU-DIT   BIOU                       
LIEU-DIT   LA BLANCHE                 
LIEU-DIT   BONTEMPS                   
LIEU-DIT   CADET                      
LIEU-DIT   CAMAREYTE                  
LIEU-DIT   CANDELON                   
LIEU-DIT   CASSOULET                  
LIEU-DIT   CATALA                     
LIEU-DIT   CAVALE                     
LIEU-DIT   CAZAUBON                   
LIEU-DIT   CERILLAN                   
LIEU-DIT   CHALET                     
LIEU-DIT   CHARPENTIER                
LIEU-DIT   CHATEAU                    
LIEU-DIT   CLAVERIE                   
LIEU-DIT   CONSTANCE                  
LIEU-DIT   DELIERE                    
LIEU-DIT   DESPONS                    
LIEU-DIT   DOAT                       
LIEU-DIT   DUBENCA                    
LIEU-DIT   FAVIGNON                   
LIEU-DIT   FLORE                      
LIEU-DIT   LA FONTAINE                
LIEU-DIT   FRIX                       
LIEU-DIT   GARBAY                     
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   GUILLAMAN                  
LIEU-DIT   LA HAILLA                  
LIEU-DIT   LE HAOU                    
LIEU-DIT   HAOUERES                   
LIEU-DIT   LA HEOUGUERE               
LIEU-DIT   LA HITO                    
LIEU-DIT   JEANCLERC                  
LIEU-DIT   JOUAN                      
LIEU-DIT   LABORDE                    
LIEU-DIT   LABOURDETE                 
LIEU-DIT   LACOUMERE                  
LIEU-DIT   LACROUX                    
LIEU-DIT   LARROCHE                   
LIEU-DIT   LARTIGUE                   
LIEU-DIT   LAS ARTIGUES               
LIEU-DIT   LAS COURREGES              
LIEU-DIT   LAS PEDOS                  
LIEU-DIT   LOISSAN                    
LIEU-DIT   LOISSAN HAMEAU             
LIEU-DIT   LA LOSQUE                  
LIEU-DIT   LOUBION                    
LIEU-DIT   LUCLABOUC                  
LIEU-DIT   MACON                      
LIEU-DIT   MALARTIC                   
LIEU-DIT   MANON                      
LIEU-DIT   LE PADOUENE                
LIEU-DIT   PAYSAN                     
LIEU-DIT   PEAHOU                     
LIEU-DIT   LA PEDO                    
LIEU-DIT   LE PELE                    
LIEU-DIT   PERDIC                     
LIEU-DIT   LE PESQUE                  
LIEU-DIT   PESQUEROT                  
LIEU-DIT   PETE                       
LIEU-DIT   PICAMIL                    
LIEU-DIT   PIERINE                    
