20151101
70         HAUTE SAONE                   
LIEU-DIT   EN LA VIGNE TIRE           
LIEU-DIT   SUR LES VIGNES             
LIEU-DIT   LA VIGNOTTE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VOIE DE VILLERSEXEL     
LIEU-DIT   LE CHAMP DU MONT           
LIEU-DIT   LES PRES COURBES           
LIEU-DIT   LA CROIX LEPIGNIER         
LIEU-DIT   GRAVIERES MARTEAUX         
LIEU-DIT   LES CHAMPS DE DERAISE      
LIEU-DIT   CHAMPS DE LA CROIX         
LIEU-DIT   AUX PAUTET                 
LIEU-DIT   CHENEVIERES                
