20151101
973         GUYANE                        
LIEU-DIT   FORT CEPEROU               
LIEU-DIT   FAUBOURG L ABRI            
LIEU-DIT   VILLE                      
LIEU-DIT   MARENGO SUD                
LIEU-DIT   MARENGO OUEST              
LIEU-DIT   MARENGO EST                
LIEU-DIT   MARAIS LEBLOND SUD         
LIEU-DIT   MARAIS LEBLOND EST         
LIEU-DIT   MARAIS LEBLOND OUEST       
LIEU-DIT   ROND POINT LEBLOND OUEST   
LIEU-DIT   ROND POINT LEBLOND SUD     
LIEU-DIT   ROND POINT LEBLOND EST     
LIEU-DIT   ROND POINT LEBLOND NORD    
LIEU-DIT   ILETS MALOUINS SUD         
LIEU-DIT   ILETS MALOUINS EST         
LIEU-DIT   ILETS MALOUINS OUEST       
LIEU-DIT   ROCADE LEBLOND             
LIEU-DIT   TROU BIRAN                 
LIEU-DIT   RTE DE BOURDA              
LIEU-DIT   RESIDENCE DU CALVAIRE      
LIEU-DIT   ILES DU SALUT              
LIEU-DIT   HAMEAU DES ENCENS          
LIEU-DIT   LES JARDINS DU COLLEGE     
LIEU-DIT   MONT LUCAS II              
LIEU-DIT   RESIDENCE EOLE             
LIEU-DIT   ILE ROYALE                 
LIEU-DIT   ILE ENFANT PERDU           
LIEU-DIT   ILET LES MAMELLES          
LIEU-DIT   PISTE TARZAN               
LIEU-DIT   LES JARDINS DE DONATIEN    
LIEU-DIT   LES JARDINS DE CYRIELLE    
LIEU-DIT   CLOS DES EMBRUNS           
LIEU-DIT   NOVAPARC VII               
LIEU-DIT   ENTREE DES DIAMANTS        
LIEU-DIT   ENTREE DES AMETHYSTES      
LIEU-DIT   ENTREE DE CREPUSCULE       
RUE        ABRIBA                     
RUE        SAINTE CATHERINE           
FG         L ABRI ALL A               
FG         L ABRI ALL B               
FG         L ABRI ALL C               
FG         L ABRI IMP HAMEL           
FG         L ABRI BD LEONTINE         
RUE        DES ACAJOUX                
RUE        DE LA MAKOUZA              
IMPASSE    MODESTE ACHILLE            
RUE        DE L ADJUDANT PINDARD      
RUE        DES AIGRETTES              
RUE        ALBERT DARNAL              
RUE        ALBERT EUTROPE             
RUE        SALVADOR  ALIENDE          
RUE        DES ALOUETTES              
           POINTE SAINT FRANCOIS      
RUE        DES AMANDIERS              
           POINTE DES AMANDIERS       
AVENUE     ANDRE ARON (D1)            
RUE        DES AWARAS                 
ALLEE      MAURICE AQUIOUPOU          
RUE        ANGELIQUE                  
RUE        AUGUSTE BOUDINOT           
RUE        AUGUSTE ETIENNE            
PLACE      D ARMES                    
PLACE      AUGUSTE HORTH              
RUE        DES ATIPAS                 
RUE        DES AWARAS DINDE           
RUE        DES BALOUIA                
ROUTE      DE BADUEL COTE DROIT       
ROUTE      DE BADUEL COTE GAUCHE      
IMPASSE    BALATA                     
RUE        DES BALISIERS              
IMPASSE    BALOUROU                   
ROC        DE BADUEL                  
ROUTE      DE BADUEL                  
IMPASSE    BERLAND                    
RUE        BERTHA TRIBORD             
RUE        BARBADINE                  
RUE        DES BECASSES               
RUE        DES BECS D ARGENT          
RUE        DES BOUGAINVILLIERS        
RUE        DES BLEUETS                
ROUTE      DE BOURDA COTE EST         
ROUTE      DE BOURDA COTE OUEST       
RUE        DU BUISSON ARDENT          
CHEMIN     BOUTEZELLE                 
IMPASSE    DES BLEUETS                
           PONT BELLEY                
ROUTE      DE CABASSOU                
ROUTE      DE KATOURY                 
RUELLE     DU CANAL DE L EST          
ROUTE      DU CAMP DU TIGRE           
RUE        DU CAPITAINE BERNARD       
RUE        DES CARANGUES              
RUE        CARLOS FINLAY              
RUE        DES LAURIERS ROSES         
RUE        DES CASERNES               
           VIL CHINOIS COULOIR N1     
           VIL CHINOIS RUE 6 S CLAIRE 
RUE        CHRISTOPHE COLOMB          
ALLEE      DES CIGALES                
RUE        PAUL CUPIDON               
RUE        CONSTANT CHLORE            
RUE        DES COLIBRIS               
PLACE      DU COQ                     
IMPASSE    COURBARIL                  
IMPASSE    CRETE COQ                  
AVENUE     AMIRAL JEAN D ESTREES (D3) 
RUE        DES DALHIAS                
CHEMIN     DAUDE                      
CHEMIN     ZENON                      
CHEMIN     CASTOR                     
ROUTE      DEGRAD DES CANNES          
RUE        DES DEMOISELLES            
RUE        DEUXIEME TRANSVERSALE      
RUE        DU DIAPANA                 
RUE        DU DOC ARTHUR HENRY        
RUE        DU DOC ETIENNE GIPPET      
CITE       JASMINS                    
RUE        GABRIEL DEVEZE             
RUE        ROLAND BARRAT              
RUE        DU DOC SAINTE ROSE         
RUE        DE L EBENE                 
RUE        EDOUARD ANATOLE            
PLACE      DE L EGLISE                
RUE        EGOUY                      
ROUTE      DES ENCENS                 
ALLEE      ERNEST EPAILLY             
RUE        ERNEST PREVOT              
RUE        DE L'ESPADON               
PLACE      DE L ESPLANADE             
RUE        EUDOXIE VERIN              
RUE        EUGENE GOBER               
RUE        EUGENE TECLE               
