20151101
78         YVELINES                      
ALLEE      DES GERANIUMS              
RUE        GERARD PHILIPE             
ALLEE      DES GLAIEULS               
RUE        GRACCHUS BABEUF            
RUE        GUERIN ROCHE               
RUE        GEORGES DANTON             
PLACE      GEORGES BRASSENS           
AVENUE     DU GENERAL DE GAULLE       
ALLEE      GEORGES BRASSENS           
RUE        DES FRERES LUMIERES        
ALLEE      EDOUARD BRANLY             
PLACE      GUY MOQUET                 
IMPASSE    GUSTAVE EIFFEL             
CHEMIN     FERME DE LA GARENNE        
CHEMIN     DE HALAGE                  
CHEMIN     DES HAUTES PLAINES         
PLACE      DES HAUTS TAILLIS          
CHEMIN     DES HAYES                  
RUE        HELENE                     
PLACE      HENRI BARBUSSE             
ALLEE      DES HIRONDELLES            
RUE        DU 8 MAI 1945              
IMPASSE    DU 8 MAI 1945              
ALLEE      JEAN JACQUES ROUSSEAU      
ALLEE      JEAN DE JOINVILLE          
RUE        JEAN JAURES                
RUE        JACQUES BREL               
ALLEE      JACQUES PREVERT            
PLACE      JEAN PIERRE CAMPION        
ALLEE      JEAN VILAR                 
AVENUE     JEAN 23                    
RUE        JEAN MOULIN                
ALLEE      DES JONQUILLES             
RUE        JOSEPH KESSEL              
RUE        JOSEPH BARA                
RUE        DU JUBILE                  
RUE        IGNACE PLEYEL              
RUE        JEAN WIENER                
ALLEE      JEHAN ALAIN                
RUE        JOSEPH KOSMA               
RUE        JEAN GABIN                 
RUE        JEAN ROSTAND               
SQUARE     JULES BASSET               
AVENUE     JULES GUESDE               
RUE        JEAN DE LA FONTAINE        
RUE        JULES GUESDE               
RUE        JEAN-PH AROLES BELLAIS     
AVENUE     JEAN MOULIN                
PLACE      DE LA JAMAIS CONTENTE      
RUE        LASNE BERGER               
RUE        LEFEBVRE                   
AVENUE     LENINE                     
SQUARE     DU DOCTEUR LEON VOGEL      
RUE        LINO VENTURA               
RUE        LEON MICHEL                
ALLEE      DES LILAS                  
ALLEE      DES LISERONS               
ALLEE      DE LA LISIERE SAINT JEAN   
RUE        LOUIS MICHEL PELLETIER     
ALLEE      LOUIS NOGUERES             
RUE        LOUIS SAINT JUST           
IMPASSE    DU MAGASIN                 
ALLEE      DU GROS CHENE              
IMPASSE    DE LA MAIRIE               
RUE        MARAICHERS                 
IMPASSE    DES MARAIS                 
RUE        DES MARAIS                 
RUE        JEAN-PAUL MARAT            
RUE        MARCEL PAUL                
SQUARE     MARCEL CARNE               
ALLEE      DES MARGUERITES            
ALLEE      MARIVAUX                   
PLACE      DU MARCHE                  
IMPASSE    DES MARRONNIERS            
RUE        MAURICE BERTEAUX           
RUE        MAURICE CARRARD            
RUE        MAURICE RAVEL              
AVENUE     MAURICE THOREZ             
AVENUE     MAXIMILIEN ROBESPIERRE     
RUE        DES MESANGES               
RUE        DU MONT SOURIS             
CHEMIN     AUX MOUTONS                
RUE        AUX MOUTONS                
ALLEE      DU MUGUET                  
ALLEE      DES MYOSOTIS               
ROUTE      NATIONALE 184              
PLACE      DE L OREE DU BOIS          
PLACE      PABLO NERUDA               
RUE        PABLO PICASSO              
AVENUE     PAQUET                     
CHEMIN     DE SOUS LE PARC            
PLACE      DU ONZE NOVEMBRE           
RUE        DE LA PAIX                 
ALLEE      DES PASSEREAUX             
RUE        PASTEUR                    
RUE        PASTEUR M L KING           
ALLEE      DES PERVENCHES             
RUE        DU PETIT MAIL              
RUE        DES PEUPLIERS              
RUE        PAUL VAILLANT COUTURIER    
RUE        PIERRE ET MARIE CURIE      
RUE        PIERRE SEMARD              
ALLEE      DES PIVERTS                
ALLEE      DES PINSONS                
AVENUE     DE POISSY                  
ALLEE      DES PIVOINES               
ALLEE      DES POIRIERS               
CHEMIN     DU PORT D ACHERES          
PLACE      POURLIER                   
ALLEE      DES PRIMEVERES             
PLACE      OLYMPE DE GOUGES           
PLACE      DU QUATORZE JUILLET        
ALLEE      DU QUATRE AOUT             
ALLEE      DU PRUNUS                  
RUE        RENE ALBERT                
RUE        DU RESERVOIR               
ALLEE      DE LA RHUBARBE             
RUE        RIQUET                     
ALLEE      DU ROUGE GORGE             
ALLEE      DES ROSES                  
SQUARE     RUBENS                     
ALLEE      DE LA ROSERAIE             
CR         1                          
CR         9                          
CR         13                         
IMPASSE    DE SAINT GERMAIN           
CR         16 DIT DE ROCOURT          
RUE        DE SAINT GERMAIN           
IMPASSE    SAINT MARTIN               
RUE        SAINT MARTIN               
ALLEE      ROMY SCHNEIDER             
ALLEE      SEMAILLES                  
RUE        DE SEINE                   
CHEMIN     DES SEMAILLES              
CHEMIN     DE LA SENTE D EN BAS       
ALLEE      SIMONE SIGNORET            
ALLEE      DELPHINE SEYRIG            
ALLEE      DES SOUCHES                
RUE        DES SOURCES                
AVENUE     DE STALINGRAD              
RUE        SURMONT                    
ALLEE      DES TAMARIS                
IMPASSE    DU TELEGRAPHE              
ALLEE      DU TIERS ETAT              
SQUARE     TOUSSAINT LOUVERTURE       
RUE        TRAVERSIERE                
ALLEE      DES TULIPES                
SQUARE     UTRILLO                    
ALLEE      DES VANNEAUX               
CHEMIN     DE VILLARS                 
ALLEE      DES VIOLETTES              
AVENUE     VOLTAIRE                   
ALLEE      DES MERISIERS              
ALLEE      DE WATIVAUX                
AVENUE     WOLFGANG AMADEUS MOZART    
           commune :     ADAINVILLE                     departement : YVELINES                      
LIEU-DIT   ADAINVILLE                 
LIEU-DIT   L AUNAY GACHIS             
LIEU-DIT   LE BAS BREUIL              
LIEU-DIT   LA BASSE JAUNIERE          
LIEU-DIT   LA BEDAINE                 
LIEU-DIT   LE BOIS DE FRENE           
LIEU-DIT   BOIS DE GRANDCHAMP         
LIEU-DIT   LE BOIS GILLES             
LIEU-DIT   BRUYERE DES VALLEES        
LIEU-DIT   LES BRUYERES               
LIEU-DIT   BRUYERES DES VALLEES       
LIEU-DIT   LE BUISSON FRAGONNEUX      
LIEU-DIT   LA BUTTE MULET             
LIEU-DIT   CHEMIN DE PARIS            
LIEU-DIT   LE CHEMIN DE SAINT THIBAUL 
LIEU-DIT   LE CHEMIN DU BREUIL        
LIEU-DIT   LES CLAPIERS               
LIEU-DIT   LE CLOS DES FOSSES         
LIEU-DIT   LE COUDRAY                 
LIEU-DIT   LES COURTINES              
LIEU-DIT   LE DESERT                  
LIEU-DIT   ETANG D ADAINVILLE         
LIEU-DIT   ETANG DE FREVILLE          
LIEU-DIT   ETANG DE LA HEURTERIE      
LIEU-DIT   FEU DE SAINT JEAN          
LIEU-DIT   LES FONCEAUX               
LIEU-DIT   FREVILLE                   
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LES GENETS                 
LIEU-DIT   LE GRAND BOIS              
