20151101
54         MEURTHE ET MOSELLE            
LIEU-DIT   DEVANT BANAL EST           
LIEU-DIT   DEVANT BANAL OUEST         
LIEU-DIT   DEVANT GROUSTE             
LIEU-DIT   DEVANT LES ETARPES         
LIEU-DIT   DEVANT LES HAYOTTES        
LIEU-DIT   DEVANT MOYEMONT            
LIEU-DIT   DEVANT VOROT               
LIEU-DIT   AU DOUAIRE                 
LIEU-DIT   L EPINE CHADANE            
LIEU-DIT   AUX ETROITS PRES           
LIEU-DIT   FOND DE PACE CASSE         
LIEU-DIT   LES FOURNEAUX              
LIEU-DIT   LES GENDRES                
LIEU-DIT   A LA GOULOTTE              
LIEU-DIT   AU GRAND PRE               
LIEU-DIT   AU GRAND SAUSSAIE          
LIEU-DIT   LA GRANDE VAUX             
LIEU-DIT   AUX GRANDES FRICHES        
LIEU-DIT   GRASSE HERBE               
LIEU-DIT   A LA GROSSE BORNE          
LIEU-DIT   GROUSTE                    
LIEU-DIT   LES HAIOTTES               
LIEU-DIT   HAUT DE CHVAUOUY           
LIEU-DIT   HAUT DU CHATEAU            
LIEU-DIT   HAUT DU MONT               
LIEU-DIT   LES HAYOTTES               
LIEU-DIT   EN HOUCHU                  
LIEU-DIT   EN HOUCHUE                 
LIEU-DIT   SUR LA LIMOUSINE           
LIEU-DIT   LONGUES RAIES              
LIEU-DIT   LES LOUVIERES              
LIEU-DIT   LA MAIX                    
LIEU-DIT   MALZEY                     
LIEU-DIT   LES MEUCHES                
LIEU-DIT   LES MIERES                 
LIEU-DIT   MONGAMBE                   
LIEU-DIT   MOYENLARY                  
LIEU-DIT   MOYENMONT                  
LIEU-DIT   NAMPLAIN                   
LIEU-DIT   EN NAURU                   
LIEU-DIT   LES PATUREAUX              
LIEU-DIT   AU PETIT BAN               
LIEU-DIT   A LA PLANTE                
LIEU-DIT   POIRIER L EVEILLE          
LIEU-DIT   AU POMMIER                 
LIEU-DIT   EN PRESLE                  
LIEU-DIT   SUR PRESLE                 
LIEU-DIT   AU RESAIL                  
LIEU-DIT   LA RETEURE                 
LIEU-DIT   EN ROMEANT                 
LIEU-DIT   SAUSSAIE DES HAUTS TERREAU 
LIEU-DIT   AU SENTIER LE COROT        
LIEU-DIT   SOUS LA FONTAINE           
LIEU-DIT   SOUS MALZEY                
LIEU-DIT   A LA TERREUR               
LIEU-DIT   SUR LA VAUX TOUSSAINT      
LIEU-DIT   VAUX TOUSSAINT             
LIEU-DIT   AU VIEUX AINGERAY          
LIEU-DIT   VIGNE MOUTOLE              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VOIE DE HAYE            
LIEU-DIT   EN VOINARD                 
LIEU-DIT   FOND DES NOYERS            
LIEU-DIT   AU TREMBLOT                
LIEU-DIT   VAUX                       
LIEU-DIT   LE VAUX                    
LIEU-DIT   VAUX DU MOULIN             
LIEU-DIT   VAUX GALLOY                
LIEU-DIT   BARRAGE ECLUSE D AINGERAY  
LOT        DU MONGAMBE                
CLOS       DU MONGAMBE                
CHEMIN     DE L ABREUVOIR             
RUE        ANDRE BACHMANN             
CHEMIN     DU BOIS DE SEXEY           
CHEMIN     DE LA CROIX DE VANNE       
CHEMIN     DE LA CROIX DE LA VANNE    
RUE        DE L EGLISE                
CHEMIN     DU GOLF                    
RUE        DE LIVERDUN                
RUE        DE LA MAIRIE               
SENTIER    RURAL DE MONGAMBE          
RUE        DES PATUREAUX              
ROUTE      DE TOUL                    
RUE        DE TOUL                    
RUE        DU VAU                     
RUELLE     DU VAU                     
CHEMIN     DU MONGAMBE                
RUE        DU VAUX                    
           commune :     ALLAIN                         departement : MEURTHE ET MOSELLE            
LOT        SAPRR                      
LIEU-DIT   ANSIOTA                    
LIEU-DIT   A LA BICLER                
LIEU-DIT   BLANCHE COTE               
LIEU-DIT   LE BOIS JOBAL              
LIEU-DIT   LE BOUCHOT                 
LIEU-DIT   A LA BOURDE                
LIEU-DIT   BOUVROT                    
LIEU-DIT   EN BU                      
LIEU-DIT   SUR LES CARRIERES          
LIEU-DIT   LE CERISIER                
LIEU-DIT   CHATOMPRE                  
LIEU-DIT   CHEVREMONT                 
LIEU-DIT   COIN DU HANSE              
LIEU-DIT   LA CORNIELLE               
LIEU-DIT   SUR LA CORNIELLE           
LIEU-DIT   LE COUCOU                  
LIEU-DIT   SUR LE CRAN                
LIEU-DIT   LA CROIX MATHIS            
LIEU-DIT   DERRIERE LA VIGNE          
LIEU-DIT   DERRIERE LA VILLE          
LIEU-DIT   DERRIERE PRAVE             
LIEU-DIT   DEVANT LA POCHE            
LIEU-DIT   DEVANT LE BOIS DE CREZILLE 
LIEU-DIT   DEVANT LE BOUCHOT          
LIEU-DIT   ENTREE DE SILLIEU          
LIEU-DIT   FOND DE LA HAIE            
LIEU-DIT   AU FOURNEAU                
LIEU-DIT   GERARD BOUCHER             
LIEU-DIT   GOUVET                     
LIEU-DIT   GRANDS JOURS               
LIEU-DIT   LES GROSSES BORNES         
LIEU-DIT   LA HAIE                    
LIEU-DIT   HAIE DES VIGNES            
LIEU-DIT   HAIE MIGNOT                
LIEU-DIT   HALIMPRE DESSUS            
LIEU-DIT   LE HAN                     
LIEU-DIT   HAUT DE MICHECOURT         
LIEU-DIT   LE HAUT DES HERBUES        
LIEU-DIT   HENRIELLE                  
LIEU-DIT   LES HERBUES                
LIEU-DIT   LES LONGUES ROIES          
LIEU-DIT   MEHACOTE                   
LIEU-DIT   MICHECOURT                 
LIEU-DIT   LES MURTELLES              
LIEU-DIT   PECHENE                    
LIEU-DIT   PLAT DE PIERRE             
LIEU-DIT   LA POCHE                   
LIEU-DIT   PRAVE                      
LIEU-DIT   PRE DE LA VALLEE           
LIEU-DIT   PRE DESSOUS                
LIEU-DIT   PRE DESSUS                 
LIEU-DIT   QUART EN RESERVE HANUS     
LIEU-DIT   LES RAIES MONTANTS         
LIEU-DIT   REVERS DE BOUCHOT          
LIEU-DIT   LA SARRAZINIERE            
LIEU-DIT   EN SEAU                    
LIEU-DIT   SEHOLLE                    
LIEU-DIT   SILLIEU                    
