20151101
LIEU-DIT   WINGERTSLACH               
LIEU-DIT   WINKELWIES                 
LIEU-DIT   WINKELWIESERGARTEN         
LIEU-DIT   WITTRINGER BANNHOEH        
LIEU-DIT   WITZBETTEN                 
LIEU-DIT   ZWEITER MOHWIESERHUEBEL    
LIEU-DIT   CHEMIN D'EXPLOITATION      
LIEU-DIT   TIEFEN GRABEN              
LIEU-DIT   MAEDWIES                   
LIEU-DIT   NACHTWEID                  
LIEU-DIT   KELLEN                     
LIEU-DIT   FOSSE                      
LIEU-DIT   BANNHOEH                   
LIEU-DIT   HAUT POIRIER               
LIEU-DIT   MOHWIES                    
LIEU-DIT   LANGSTEINMAECHER           
LIEU-DIT   ELSCHBACH                  
LIEU-DIT   SURSALWIES                 
LIEU-DIT   SCHNEPPEN                  
LIEU-DIT   ACHENERWEG                 
LIEU-DIT   COTES DE SINGLING          
RUE        DES ACACIAS                
PLACE      DU CHANOINE MULLER         
RUE        DU CHATEAU D EAU           
RUE        DU COMMANDANT BLAISE ILLIG 
RUE        DE CONDAC                  
RUE        DE L EGLISE                
RUE        DE L ETANG                 
RUE        D ETTING                   
RUE        DU FORT                    
RUE        DES FRENES                 
RUE        DE GROS REDERCHING         
RUE        DU HAUT POIRIER            
RUE        DU HAUT VILLE              
RUE        HOHL                       
RUE        DE KALHAUSEN               
RUE        DES LILAS                  
RUE        LOUIS PASTEUR              
RUE        DE LA MAIRIE               
RUE        DES MESANGES               
RUE        DE LA MONTAGNE             
RUE        DU MOULIN                  
RUE        DES NOISETIERS             
RUE        DES PRES                   
RUE        DE ROHRBACH                
RUE        DES ROSES                  
IMPASSE    SAINT PIERRE               
CHEMIN     D'EXP DE LA SALWIES        
RUE        DU 3 JANVIER 1945          
RUE        DU VAL D ACHEN             
IMPASSE    DU VIEUX MOULIN            
RUE        DE WIESVILLER              
           commune :     ADAINCOURT                     departement : MOSELLE                       
LIEU-DIT   AISNES                     
LIEU-DIT   ALLIANCES                  
LIEU-DIT   AUPRES DU GD RUISSEAU DE F 
LIEU-DIT   AUPRES DU GD RUISSEAU DE F 
LIEU-DIT   EN BANSTA                  
LIEU-DIT   BAS DE LA FRICHE           
LIEU-DIT   EN BEROUA                  
LIEU-DIT   SUR BERTRAND TRICHE        
LIEU-DIT   BLANCS JOURNAUX            
LIEU-DIT   BOIS DE HAN                
LIEU-DIT   LE BREUIL                  
LIEU-DIT   SUR LE BREUIL DE CHANVILLE 
LIEU-DIT   SUR LA BRUYERE             
LIEU-DIT   BRUYERE                    
LIEU-DIT   CHAMP AU LIN               
LIEU-DIT   CHAMP BOVET                
LIEU-DIT   CHAMP DE VESSEAU           
LIEU-DIT   LE CHAMP LAGAIE            
LIEU-DIT   CHAMP LE PRETRE            
LIEU-DIT   CHANCES                    
LIEU-DIT   SUR LES CHANCES            
LIEU-DIT   CHEM D EXPLOITATION        
LIEU-DIT   SUR LE CHEM DE METZ        
LIEU-DIT   SUR CHERMONT               
LIEU-DIT   EN CHERMONT                
LIEU-DIT   CINQUIEMES                 
LIEU-DIT   CORNE DE GRAND PRE         
LIEU-DIT   COURT JA                   
LIEU-DIT   COURTE LOUVIERE            
LIEU-DIT   COURTES BONNEVILLES        
LIEU-DIT   COURTS A LA FENOTTE        
LIEU-DIT   COURTS AU BOUT             
LIEU-DIT   COURTS AUNOIS              
LIEU-DIT   COURTS DERONDS             
LIEU-DIT   COURTS JA SOUS LE BOIS     
LIEU-DIT   COURTS QUARTS SUR LA GAULE 
LIEU-DIT   COURTS QUOUARES            
LIEU-DIT   COURTS SOUS LES GENEVES    
LIEU-DIT   COURTS SUR LA FOLIE        
LIEU-DIT   COURTS SUR PRE GRIGY       
LIEU-DIT   CUGNOTS                    
LIEU-DIT   DERRIERE LES JARDINS       
LIEU-DIT   DEVANT LE MOULIN           
LIEU-DIT   DORES                      
LIEU-DIT   ENBACH                     
LIEU-DIT   FAUCHEE                    
LIEU-DIT   A LA FENOTTE               
LIEU-DIT   FOLIE                      
LIEU-DIT   FOND DE CHAUDRON           
LIEU-DIT   FOSSE                      
LIEU-DIT   FOURNAILLE DE TARTE AUX PO 
LIEU-DIT   GAULE                      
LIEU-DIT   GD QRT DEVANT LE MOULIN    
LIEU-DIT   GDS QUARTS SUR LA GAULE    
LIEU-DIT   GRAND JA                   
LIEU-DIT   SUR LE GRAND PRE           
LIEU-DIT   GRAND PRE                  
LIEU-DIT   GRAND QUARTIER             
LIEU-DIT   GRAND TRICHE               
LIEU-DIT   GRANDE HAIE SOUS FT        
LIEU-DIT   GRANDES BONNEVILLES        
LIEU-DIT   GRANDES CORVEES            
LIEU-DIT   QUOUARES                   
LIEU-DIT   GRANDS AU BOUT             
LIEU-DIT   GRANDS AUNOIS              
LIEU-DIT   GRANDS DERONDS             
LIEU-DIT   GRANDS JOURS               
