20151101
43         HAUTE LOIRE                   
LIEU-DIT   LA PRADE                   
LIEU-DIT   PRADE DE SERRE             
LIEU-DIT   LES PRADES                 
LIEU-DIT   LA PRADETTE                
LIEU-DIT   PRAGAILLARD                
LIEU-DIT   PRALONG                    
LIEU-DIT   PRAT NEUF                  
LIEU-DIT   PRATINAUD                  
LIEU-DIT   PRE DE PONT                
LIEU-DIT   PRE DU MIE                 
LIEU-DIT   PRE RIOU                   
LIEU-DIT   PRES CHANSAT               
LIEU-DIT   PRES DE COURT              
LIEU-DIT   LES QUATRE VIOS            
LIEU-DIT   RASAS DE MOLLE             
LIEU-DIT   LE RAVET                   
LIEU-DIT   LA RAVIOURE DU VACHER      
LIEU-DIT   LA RELIADE                 
LIEU-DIT   LE REYNETI                 
LIEU-DIT   LA RIBEYRE                 
LIEU-DIT   LA RILLADE                 
LIEU-DIT   RINGUE                     
LIEU-DIT   RINQUE                     
LIEU-DIT   LES RIVAUX                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   ROCHE DU BET               
LIEU-DIT   ROCHE DU MERLE             
LIEU-DIT   LA ROCHETTE                
LIEU-DIT   LE SAGNAT                  
LIEU-DIT   SAGNAT GRAND               
LIEU-DIT   LA SAGNE                   
LIEU-DIT   SAGNE LOURDE               
LIEU-DIT   LES SAGNES                 
LIEU-DIT   LA SAGNETTE                
LIEU-DIT   SALETTES                   
LIEU-DIT   SANNAC                     
LIEU-DIT   LES SAPETTES               
LIEU-DIT   SARZOL                     
LIEU-DIT   SASSAC                     
LIEU-DIT   SASSAC HAUT                
LIEU-DIT   SAUZET                     
LIEU-DIT   LA SERVE                   
LIEU-DIT   SOUS BAR                   
LIEU-DIT   SOUS LA TIZA               
LIEU-DIT   SOUS RINGUE                
LIEU-DIT   LE SUC                     
LIEU-DIT   SUC ARLET                  
LIEU-DIT   SUC DE BARET               
LIEU-DIT   TERRE DU CHIER             
LIEU-DIT   TERRE LONGUE               
LIEU-DIT   LES TRECHERES              
LIEU-DIT   LES TRENEYRES              
LIEU-DIT   LE TRIOUX                  
LIEU-DIT   LES VARENETS               
LIEU-DIT   LES VERSANNES              
LIEU-DIT   LES VEYSSEYRES             
LIEU-DIT   LES VORZES                 
LIEU-DIT   LE FANGEAS                 
LIEU-DIT   LES VALENTINS              
LIEU-DIT   LE BOURG                   
RUE        DU BAC                     
RUE        BAPTISTE MARCET            
PLACE      DE LA BASCULE              
RUE        DES BOUCHERIES             
RUE        DU CHATEAU                 
ROUTE      DE CHATEAUNEUF             
RUE        DE CHATEAUNEUF             
RUE        DES CLOSTRES               
PLACE      DE L EGLISE                
RUE        DU FANGEAS                 
ROUTE      DE FIX                     
AVENUE     DE LA GARE                 
RUE        DE FONTELINE               
PLACE      DE LA GRANDE FONTAINE      
RUE        DE LA GRANDE FONTAINE      
GR         GRAND RUE                  
PLACE      DU MARCHEDIAL              
RUE        DU MONT BAR                
PLACE      DU MONUMENT                
RUE        NOTRE DAME DE L ORATOIRE   
RUE        PORTE DE MONSIEUR          
RUE        PORTE DE RAVEL             
RUE        DES POTELLERIES            
RUE        DU PARC                    
RUE        DU ST ESPRIT               
CHEMIN     DE LA SOURCE               
RUE        DES TERMES                 
RUE        DES VALENTINS              
PLACE      DE LA MAIRIE               
RUE        DU MARCHE                  
PLACE      DU MARCHEDIAL              
ROUTE      DE MONLET                  
RUE        DU MONT BAR                
PLACE      DU MONUMENT                
RUE        NOTRE DAME DE L ORATOIRE   
RUE        DU PARC                    
ROUTE      DE PAULHAGUET              
RUE        DE LA POSTE                
RUE        PORTE DE RAVEL             
RUE        PORTE DE MONSIEUR          
RUE        DES POTELLERIES            
ROUTE      DU PUY                     
RUE        DU ST ESPRIT               
RUE        DES TERMES                 
RUE        DES VALENTINS              
RUE        VIEILLE                    
RUE        DE L ACCES AUX GARAGES     
MTE        DE BAURY                   
PLACE      DE LA CROIX SAINT AMAND    
RUE        DE LA CURE                 
PLACE      DERRIERE L EGLISE          
RUE        LES DONICHES               
MTE        ENTRE LES JARDINS          
RUE        GABRIEL BREUL              
PLACE      DU GARAGE MUNICIPAL        
PLACE      DE LA GARE                 
RUE        GERMAINE TILLON            
RUE        GRELLET DE LA DEYTE        
PLACE      DE LA HALLE                
PLACE      DU LAVOIR                  
PLACE      MARCHE DES VEAUX           
RUE        DU MONT BAURY              
RUE        DE LA MOUTEYRE             
IMPASSE    DES NARCISSES              
RUE        DES NARCISSES              
MTE        DE LA POTENCE              
RUE        DU RESERVOIR               
RUE        DES ROUDENNES              
RUE        MARCEL SABY                
MTE        SAINT MARTIN               
RUE        TRAVERSIERE DES POTELERIES 
RUE        RENEE ROSIER               
RUE        ADRIEN FAURE               
RUE        PRE DU MIE                 
PLACE      DR GALLAUD                 
RUE        EMMANUEL DIOUDONNAT        
CHEMIN     DE L'ECOLE (MENTEYRES)     
CHEMIN     DU LAVOIR (MENTEYRES)      
RUE        DES MYOSOTIS               
RUE        PRINCIPALE (CHATEAUNEUF)   
CHEMIN     DES PATURAUX (CHATEAUNEUF) 
CHEMIN     DE MANSOURE                
           commune :     ALLEYRAC                       departement : HAUTE LOIRE                   
LIEU-DIT   LES AIGUILHOUX             
LIEU-DIT   AMPILHERE                  
LIEU-DIT   BARGETTE                   
LIEU-DIT   LE BARRY                   
LIEU-DIT   LES BLANQUETTES            
LIEU-DIT   LA BLEDE                   
LIEU-DIT   BOIS BERGERE               
LIEU-DIT   BOIS D EGLY                
LIEU-DIT   BOIS DE FAUX               
LIEU-DIT   BOIS DE LUTAUD             
LIEU-DIT   BOIS DE MONDON             
LIEU-DIT   BOIS EPAIS                 
LIEU-DIT   BOIS VAQUANT               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BRAYES                 
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LA BUFFRAISSE              
LIEU-DIT   LE CANICHOUX               
LIEU-DIT   CHABANNE                   
LIEU-DIT   LA CHABANNE                
LIEU-DIT   LE CHAMBON                 
LIEU-DIT   LA CHAMP                   
LIEU-DIT   CHAMP D ALLEYRAC           
