20151101
60         OISE                          
RUE        DES ANCIENS COMBATTANTS    
IMPASSE    DU BOSQUET                 
PLACE      CHARLES DUPUIS             
RUE        DU CHEMIN VERT             
RUE        DU CLOS DES NOYERS         
RUE        DES ERABLES                
ROUTE      DE FLANDRES                
RUE        DU FOUR A CHAUX            
RUE        DE LA GRANDE FOSSE         
RUE        LOUIS DROUART              
RUE        MICHEL PETIT               
CC         MONCEAUX A SACY LE GRAND   
RUE        DES ORMEAUX                
RUE        PATRICK SIMIAND            
RUE        DES POMMIERS               
RUE        SIMONE BARBOU              
IMPASSE    DES TILLEULS               
RUE        DES PETITES SAULES         
RUE        DES CERISIERS              
RUE        DES HUIT ARPENTS           
RUE        DES TREMBLES               
ALLEE      DE PICARDIE                
RUE        AUX DAMES                  
RUE        DES PRES                   
           commune :     AGNETZ                         departement : OISE                          
LIEU-DIT   AGNETZ                     
LIEU-DIT   LES AIRES DE RONQUEROLLES  
LIEU-DIT   LES AUNAIES D AGNETZ       
LIEU-DIT   LES AUNAIES DE BOULINCOURT 
LIEU-DIT   LES AUNAIES DE SAINT REMY  
LIEU-DIT   LE BAS DE LA FONTAINE ST L 
LIEU-DIT   LES BAS PRES               
LIEU-DIT   LE BEAUREGARD              
LIEU-DIT   LA BESINERIE               
LIEU-DIT   BOIS AILLOUX               
LIEU-DIT   LE BOIS BOUDINOTTE         
LIEU-DIT   BOIS D AGNETZ              
LIEU-DIT   BOIS DE BOURBON            
LIEU-DIT   BOIS DE LA COMMUNE         
LIEU-DIT   BOIS DE RONQUEROLLES       
LIEU-DIT   LE BOIS FLORIMONT          
LIEU-DIT   LE BOSQUET DE LA CANONNIER 
LIEU-DIT   LE BOSQUET DE LA TUILERIE  
LIEU-DIT   LE BOSQUET FETU SUD        
LIEU-DIT   BOULINCOURT                
LIEU-DIT   LA BOVETTE                 
LIEU-DIT   BROQUIER                   
LIEU-DIT   LE CAHET NORD              
LIEU-DIT   LE CAHET SUD               
LIEU-DIT   LES CAILLOUX               
LIEU-DIT   LES CAILLOUX DE SAINT REMY 
LIEU-DIT   LE CAMAILLET               
LIEU-DIT   LA CANONNIERE              
LIEU-DIT   LE CARNAGE                 
LIEU-DIT   LA CARRIERE LAGACHE EST    
LIEU-DIT   LA CARRIERE LAGACHE OUEST  
LIEU-DIT   LE CAUQUE VIEUX            
LIEU-DIT   LA CAVEE AUX LOUPS         
LIEU-DIT   CHAMP AUX RENARDS          
LIEU-DIT   LE CHAMP BLANC             
LIEU-DIT   LE CHAMP DES CERFS         
LIEU-DIT   CHAMP ESERTELLE            
LIEU-DIT   CHAMP MONETTE              
LIEU-DIT   LE CHAMP VINAIGRIER        
LIEU-DIT   LES CHATAIGNIERS           
LIEU-DIT   CHATEAU D AGNETZ           
LIEU-DIT   LE CHATEAU METREL          
LIEU-DIT   LA CHAUSSEE                
LIEU-DIT   LE CHEMIN DE BULLES        
LIEU-DIT   LES CHEMINS HAUTE VOIRIE   
LIEU-DIT   LE CLOS AUX RENARDS        
LIEU-DIT   LE CLOS BARBIER            
LIEU-DIT   CLOS DU MOULIN A DRAPS     
LIEU-DIT   LE CLOS HINART             
LIEU-DIT   CLOS MADAME                
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LE CORNET                  
LIEU-DIT   LE COURTIL BARRETTE        
LIEU-DIT   COURTIL CORRIERE           
LIEU-DIT   LE COURTIL POISSONNIERE    
LIEU-DIT   LE COURTIL PROCUREUR       
LIEU-DIT   COURTIL SAINT LEGER        
LIEU-DIT   COURTIL THOURET            
LIEU-DIT   COURTILS JEAN VILLION      
LIEU-DIT   LA CROIX DE BROQUIER       
LIEU-DIT   LA CROIX MARC              
LIEU-DIT   LA CROIX ROUGE             
LIEU-DIT   LA CROIX VERTE             
LIEU-DIT   LA CROQUEVILLIERE          
LIEU-DIT   DESSOUS DE LA CAVEE AUX LO 
LIEU-DIT   DESSUS DE LA RUE DE LA HAU 
LIEU-DIT   DESSUS DES PRES MARION     
LIEU-DIT   DESSUS DU BOIS FLORIMONT   
LIEU-DIT   AU DESSUS DU MARAIS D AGNE 
LIEU-DIT   LES ESSARTS                
LIEU-DIT   LES ETOTS                  
LIEU-DIT   LA FERME                   
LIEU-DIT   FERME DE SAINT REMY L ABBA 
LIEU-DIT   LES FLACHES                
LIEU-DIT   LE FOND DE BETHENCOURTEL   
LIEU-DIT   FONTAINE DU QUESNEL        
LIEU-DIT   FONTAINE GRAND MERE        
LIEU-DIT   LE FOSSE DES COYAUX        
LIEU-DIT   LA FOSSE VIRONNET          
LIEU-DIT   GICOURT EST                
LIEU-DIT   GICOURT OUEST              
LIEU-DIT   LE GRAND MARAIS            
LIEU-DIT   LA GRANDE CENDREE          
LIEU-DIT   LA GRANDE COUTURE          
LIEU-DIT   LE GRIMPET                 
LIEU-DIT   LA HAIE MASSETTE           
LIEU-DIT   HAUT DU CHEM DE SAINT JUST 
LIEU-DIT   LES HAUTS PRES             
LIEU-DIT   LA HUTTE                   
LIEU-DIT   LE JARDIN BRULIN           
LIEU-DIT   JARDIN GRAND PIERRE        
LIEU-DIT   LES JONCS                  
LIEU-DIT   LES LARRIS                 
LIEU-DIT   LESSIER                    
LIEU-DIT   LIGNEE                     
LIEU-DIT   MARAIS D AGNETZ            
LIEU-DIT   LE MARAIS DE BOULINCOURT   
LIEU-DIT   LE MARAIS DE GICOURT       
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   LA MONTAGNE DU HERON       
LIEU-DIT   LE MOULIN A HUILE          
LIEU-DIT   MOULIN DE LESSIER          
LIEU-DIT   MOULIN DE RAMECOURT        
