20151101
ROUTE      DE PATTU                   
CHEMIN     DU PESSAY                  
ROUTE      DE PLAIMPALAIS             
IMPASSE    DE LA POMMERAIE            
PLACE      DU PONT NEUF               
RUE        DU PONT NEUF               
RUE        DU PONT VIEUX              
PLACE      DE LA POSTE                
ROUTE      DES PRES CHARDONS          
ROUTE      DE RUMILLY                 
ALLEE      DES SABLES                 
ROUTE      DE SAINT FELIX             
ROUTE      DE SAINT MAURICE           
ROUTE      DE SAINT SYLVESTRE         
ALLEE      DES SPORTS                 
ALLEE      DES TANNEURS               
ALLEE      DES THOMASSES              
ALLEE      DE LA TOUVIERE             
PLACE      DU TROPHEE                 
IMPASSE    DU CLOS VINCENT            
ROUTE      DU VIEUX BOURG             
CHEMIN     DE VIRY                    
ROUTE      DE VONS                    
ALLEE      DE VONS                    
           commune :     ALEX                           departement : HAUTE SAVOIE                  
LIEU-DIT   ALEX                       
LIEU-DIT   BELOSSIER                  
LIEU-DIT   SUR BELOSSIER              
LIEU-DIT   BOIS DE MONTBARRET         
LIEU-DIT   SUR LE BOURG               
LIEU-DIT   BUCHIN                     
LIEU-DIT   LE CANARD ET LANCHAUD      
LIEU-DIT   CHAMP ROT                  
LIEU-DIT   CHAMPE                     
LIEU-DIT   CHAMPS DES VERNAYS         
LIEU-DIT   CHANTAPOT                  
LIEU-DIT   LE CHATEAU VERT            
LIEU-DIT   CHEZ CHARMOT               
LIEU-DIT   CHEZ TREFANT               
LIEU-DIT   LE CHIEN NOIR              
LIEU-DIT   LES CHOUX                  
LIEU-DIT   LES CORPS                  
LIEU-DIT   LA COTE                    
LIEU-DIT   SUR LA COTE                
LIEU-DIT   LES COTES                  
LIEU-DIT   CRET DU FAUX               
LIEU-DIT   CRET MARTIN                
LIEU-DIT   LES DEVINS                 
LIEU-DIT   LES ENGAGNES               
LIEU-DIT   SUR LES ENGAGNES           
LIEU-DIT   L ENVERSET                 
LIEU-DIT   LES FERRIERES              
LIEU-DIT   SUR LES FERRIERES          
LIEU-DIT   FOLLIET                    
LIEU-DIT   FRENAIE                    
LIEU-DIT   LA GIETTAZ                 
LIEU-DIT   LA GLIRE                   
LIEU-DIT   LA GOILLETA                
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   GRANGE A LONGET            
LIEU-DIT   GRANGE D EVIRES            
LIEU-DIT   GRAVET                     
LIEU-DIT   LES GREPPONS               
LIEU-DIT   LES ILES                   
LIEU-DIT   LAPERRIERE                 
LIEU-DIT   LES LAPIEES                
LIEU-DIT   LES LEVANCHES              
LIEU-DIT   LES LOVINS                 
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LES MARAIS                 
LIEU-DIT   MARAIS DE L ALLEE          
LIEU-DIT   LE MAT-EST                 
LIEU-DIT   LE MAT-OUEST               
LIEU-DIT   MONTVIARD                  
LIEU-DIT   AUX MOULARDS               
LIEU-DIT   LE MOULIN DE TREFLE        
LIEU-DIT   L ORIENT DESSOUS           
LIEU-DIT   L ORIENT DESSUS            
LIEU-DIT   PARCHOT                    
LIEU-DIT   LES PARES                  
LIEU-DIT   LE PARIS                   
LIEU-DIT   LE PEGNY                   
LIEU-DIT   LE PENY                    
