20151101
36         INDRE                         
RUE        DU LAC                     
IMPASSE    DE L ORME                  
PASSAGE    DU PARE                    
PLACE      DU PARE                    
RUE        DU PARE                    
RUE        DE LA PETITE CROIX         
RUE        DE LA PIERRE A MIDI        
RUE        DU PUITS                   
PASSAGE    DU QUARTIER LATIN          
RUE        DU QUARTIER LATIN          
RUE        DU STADE                   
           commune :     ANJOUIN                        departement : INDRE                         
LIEU-DIT   LES AJONCS                 
LIEU-DIT   LES ANNETS                 
LIEU-DIT   LES ARPENTS                
LIEU-DIT   LES AULNES                 
LIEU-DIT   LES AVENATS                
LIEU-DIT   LES BAILLERS               
LIEU-DIT   LES BARAQUES               
LIEU-DIT   LA BARDIERE                
LIEU-DIT   LE BAS DE LA COTE          
LIEU-DIT   BAS DE LA GRANDE PIECE     
LIEU-DIT   LES BASSES MEROLLES        
LIEU-DIT   LES BASSETS                
LIEU-DIT   LES BEAUCES                
LIEU-DIT   LES BEAUX FILS             
LIEU-DIT   LES BERNARDS               
LIEU-DIT   LA BEZARDERIE              
LIEU-DIT   LES BEZARDS                
LIEU-DIT   LA BIDAUDIERE              
LIEU-DIT   LES BLANCHARDS             
LIEU-DIT   LE BOEUF BLANC             
LIEU-DIT   BOISROND                   
LIEU-DIT   BONVEAU                    
LIEU-DIT   LA BOUDONNIERE             
LIEU-DIT   LES BOUFARDIERES           
LIEU-DIT   LA BOULAYE                 
LIEU-DIT   LA BOUR GERMAIN            
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOUVARDS               
LIEU-DIT   BOUVEAU                    
LIEU-DIT   BRANDE DES DEGATS          
LIEU-DIT   LA BRAUDIERE               
LIEU-DIT   LE BRULE                   
LIEU-DIT   LES BRUYERES DE MARAY      
LIEU-DIT   BRUYERES DE MAUREPAS       
LIEU-DIT   BRUYERES DE SAINTE CATHERI 
LIEU-DIT   BRUYERES DES BARAQUES      
LIEU-DIT   LA BUCHE                   
LIEU-DIT   LA CAILLOTTE               
LIEU-DIT   LES CAILLOUX               
LIEU-DIT   LA CALASSERIE              
LIEU-DIT   LA CAMPAGNE                
LIEU-DIT   LES CAVES                  
LIEU-DIT   LES CHAILLOUX              
LIEU-DIT   CHAMP DE LA ROCHE          
LIEU-DIT   CHAMP DROUIN               
LIEU-DIT   LE CHAMP DU BOIS           
LIEU-DIT   CHAMP DU CORMIER           
LIEU-DIT   CHAMP DU GENAY             
LIEU-DIT   CHAMP LAMBERT              
LIEU-DIT   LE CHAMP MOREAU            
LIEU-DIT   LE CHAMP PITIE             
LIEU-DIT   CHAMPS DE LA ROCHE         
LIEU-DIT   LES CHARPES                
LIEU-DIT   LA CHARTRERIE              
LIEU-DIT   LE CHATAIGNIER             
LIEU-DIT   LES CHAUMETTES             
LIEU-DIT   LE CHENE BLANC             
LIEU-DIT   LE CHENE RABAUD            
LIEU-DIT   LE CHENOUILLY              
LIEU-DIT   LE CHETIF PRE              
LIEU-DIT   LA CHETITE TAILLE          
LIEU-DIT   LES CHETIVES BRUYERES      
LIEU-DIT   LES CHETIVES VIGNES        
LIEU-DIT   LE CHIRONT                 
LIEU-DIT   LE CHOUX                   
LIEU-DIT   LE CIRON                   
LIEU-DIT   LES CONDRIERES             
LIEU-DIT   LES CORDELLERIES           
LIEU-DIT   LES CORMIERS               
LIEU-DIT   LA COUPILLERE              
LIEU-DIT   LA COUR GERMAIN            
LIEU-DIT   LA CREVEE                  
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CROIX BLANCHE           
LIEU-DIT   LES DANJONS                
LIEU-DIT   LES DEFUNTS                
LIEU-DIT   LES DONNEAUX               
LIEU-DIT   LES ECHES                  
LIEU-DIT   LES ECHINEAUX              
LIEU-DIT   LES ECHOS                  
LIEU-DIT   L ETANG                    
LIEU-DIT   L ETANG DU PERRY           
LIEU-DIT   LES FILLERIES              
LIEU-DIT   FONTAINE A CHAPEAU         
LIEU-DIT   LES FONTAINES              
LIEU-DIT   LES FONTAINES DES ANNETS   
LIEU-DIT   LA FOSSE AUX BOEUFS        
LIEU-DIT   LES FOSSES                 
LIEU-DIT   LES GAILLARDERIES          
LIEU-DIT   LA GALIERE                 
LIEU-DIT   LES GALOCHERES             
LIEU-DIT   LA GAROCHETTE              
LIEU-DIT   LES GATIS                  
LIEU-DIT   LES GAUCHERS               
LIEU-DIT   LES GLAGAUTS               
LIEU-DIT   LA GOUBARDERIE             
LIEU-DIT   LE GRAND CARROIR           
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND CHEZEAU           
LIEU-DIT   LE GRAND GENET             
LIEU-DIT   LE GRAND PATURAL           
LIEU-DIT   LE GRAND PATUREAU          
LIEU-DIT   GRANDE BRUYERE             
LIEU-DIT   LA GRANDE CHINTE           
LIEU-DIT   LA GRANDE NUEE             
LIEU-DIT   LA GRANDE OUCHE            
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LA GRANDE TAILLE           
LIEU-DIT   LES GRANDES PIECES         
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LES GRANDS BOIS            
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS ORMES           
LIEU-DIT   LA GRILLE                  
LIEU-DIT   LES HANTAILLEBAUTS         
LIEU-DIT   LES HOUX                   
LIEU-DIT   LES JEMBINERIES            
