20151101
15         CANTAL                        
LIEU-DIT   PEYRES LISSES              
LIEU-DIT   LES PLAGNES                
LIEU-DIT   PLANCHE                    
LIEU-DIT   POMIES                     
LIEU-DIT   LE POUGET                  
LIEU-DIT   LA PRADE                   
LIEU-DIT   PRADINAS                   
LIEU-DIT   LE PRAT                    
LIEU-DIT   PRAT GRAND                 
LIEU-DIT   LES PRATS                  
LIEU-DIT   PUY DONDOM                 
LIEU-DIT   PUY DONDON                 
LIEU-DIT   LE PUY SOUTRO              
LIEU-DIT   QUAIRILLOU                 
LIEU-DIT   LA RAMPADIERE              
LIEU-DIT   REPASTIL NAL               
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LA ROCHE                   
LIEU-DIT   ROUCAL                     
LIEU-DIT   ROUMEGOUX                  
LIEU-DIT   LES SAIGNES                
LIEU-DIT   SARTEL                     
LIEU-DIT   LE SUC                     
LIEU-DIT   LA SUDRIE                  
LIEU-DIT   TARRIEU                    
LIEU-DIT   LA TIOLIERE                
LIEU-DIT   LE TUSTAGOUX               
LIEU-DIT   VERGNES                    
LIEU-DIT   VEZE                       
LIEU-DIT   VIOLLE                     
LIEU-DIT   BROUSSIERS                 
LIEU-DIT   PLAINE DE POMMIERS         
LIEU-DIT   POUGET EST                 
LIEU-DIT   LES REPASTILS              
LIEU-DIT   PUY SOUTRO EST             
LIEU-DIT   PUY SOUTRO OUEST           
ROUTE      DE BRAGEAC                 
           LOT COMMUNAL               
ROUTE      DU CIMETIERE               
RUE        DU 19 MARS                 
PLACE      DE L EGLISE                
ROUTE      DE LA GARE                 
ROUTE      DE MAURIAC                 
ROUTE      DE PLEAUX                  
RUE        DES ROSIERS                
ROUTE      DE SALERS                  
ROUTE      DE VEZE                    
           commune :     ANDELAT                        departement : CANTAL                        
LIEU-DIT   LES ADRETS                 
LIEU-DIT   L ADRIET                   
LIEU-DIT   ANDELAT                    
LIEU-DIT   LE BALAT                   
LIEU-DIT   LA BARNEYRE                
LIEU-DIT   BARRET                     
LIEU-DIT   BESSE BASSE                
LIEU-DIT   BESSE HAUTE                
LIEU-DIT   LES BESSIERES              
LIEU-DIT   LA BIAU HAUTE              
LIEU-DIT   LE BOIS                    
LIEU-DIT   LE BOIS DE DERRIERE        
LIEU-DIT   BOIS DE FERVAL             
LIEU-DIT   LE BOUCHET                 
LIEU-DIT   LES BUGES                  
LIEU-DIT   CHABONNES                  
LIEU-DIT   LE CHAMP ENTRE LES BOIS    
LIEU-DIT   CHAMP MEJANE               
LIEU-DIT   LES CHAMPS DE DERRIERE     
LIEU-DIT   LES CHAMPS DE LA MOTTE     
LIEU-DIT   LES CHAMPS DE LA PLAINE    
LIEU-DIT   LES CHAMPS DE LA PLAINE NO 
LIEU-DIT   LES CHAMPS DE LA RASE      
LIEU-DIT   LES CHAMPS DE LA RIVIERE   
LIEU-DIT   LES CHAMPS DE LACHAMP      
LIEU-DIT   LES CHAMPS DES PLOTS       
LIEU-DIT   LES CHAMPS DESSUS          
LIEU-DIT   LES CHAMPS DU FABRE        
LIEU-DIT   LES CHAMPS GRANDS          
LIEU-DIT   LES CHAMPS GRANDS NORD     
LIEU-DIT   LES CHAMPS REDONS          
LIEU-DIT   LES CHAMPS ROUGES          
LIEU-DIT   CHASSOUNEYRE               
LIEU-DIT   LA CHAUX                   
LIEU-DIT   LES CHAZALS                
LIEU-DIT   LES CHAZARDS               
LIEU-DIT   LES CHAZEAUX               
LIEU-DIT   CHAZELOUX                  
LIEU-DIT   LE CHIROL                  
LIEU-DIT   LES CIBIAUX                
LIEU-DIT   LES COLTIS                 
LIEU-DIT   COLZAC                     
LIEU-DIT   COMBE DE ROUX              
LIEU-DIT   COMBE JEAN                 
LIEU-DIT   LA COSTE                   
LIEU-DIT   LA COTE DU MIDI            
LIEU-DIT   LES COTES                  
LIEU-DIT   LES COUELLES               
LIEU-DIT   LES CRAMADES               
LIEU-DIT   LE CROISEMENT              
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CROIX DE BARRET         
LIEU-DIT   COTE DE PAGROS             
LIEU-DIT   LES CROIX HAUTES           
LIEU-DIT   LE CROS                    
LIEU-DIT   DERRIERE PAGROS            
LIEU-DIT   LA DEVEZE                  
LIEU-DIT   L ESCOURTE                 
LIEU-DIT   LES ESPINASSOUS            
LIEU-DIT   FERVAL                     
LIEU-DIT   FIDEGOUL                   
LIEU-DIT   FONTANILLE                 
LIEU-DIT   FONTES                     
LIEU-DIT   LES GARDELLES              
LIEU-DIT   LA GARE                    
LIEU-DIT   GAYMONT                    
LIEU-DIT   LA GENESTEIRE              
LIEU-DIT   LE GOUR                    
LIEU-DIT   LE GOUR SUD                
LIEU-DIT   LES GOUTTES                
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LA GRENADE                 
LIEU-DIT   LES GRIFFES                
LIEU-DIT   LABORIE                    
LIEU-DIT   LE LAC                     
LIEU-DIT   LACHAMP                    
LIEU-DIT   LACHAMP DES ADRETS         
LIEU-DIT   LACOMBES                   
LIEU-DIT   LESTOURNAL                 
LIEU-DIT   LES LIARDS                 
LIEU-DIT   LES MARCOUS                
LIEU-DIT   LES MEULES                 
LIEU-DIT   LES MOLEDES                
LIEU-DIT   MONTPLAIN                  
LIEU-DIT   LES ONCES                  
LIEU-DIT   PAGROS                     
LIEU-DIT   LES PASTURALS              
LIEU-DIT   LA PENIDE                  
LIEU-DIT   LES PEPINIERES             
LIEU-DIT   LE PEUCH                   
LIEU-DIT   LE PEUCH DE PAGROS         
LIEU-DIT   LE PEUCH EST               
LIEU-DIT   PIARATTE                   
LIEU-DIT   LES PICHETS                
LIEU-DIT   PIERRE BLANCHE             
LIEU-DIT   LES PINS DE LA VARENNE     
LIEU-DIT   LES PLOTS                  
LIEU-DIT   LE PRADAL                  
LIEU-DIT   LES PRADES                 
LIEU-DIT   LE PRE DE LA FUON          
LIEU-DIT   LE PRE DE LA PELLE         
