20151101
RESIDENCE  LES MELEZES                
RESIDENCE  PLEIN SOLEIL               
RESIDENCE  LE RELAIS DU DEVOLUY       
RESIDENCE  TROIS SOLEILS              
LIEU-DIT   L ADROIT AGNIERES          
LIEU-DIT   L ARGENTIERE               
LIEU-DIT   AUROUZE AGNIERES           
LIEU-DIT   BEL HAUT                   
LIEU-DIT   LES BERNARDS               
LIEU-DIT   LE BOIS                    
LIEU-DIT   LE BRUSQ                   
LIEU-DIT   LE BUISSON AGNIERES        
LIEU-DIT   LA CASSETTE AGNIERES       
LIEU-DIT   CHAGIER                    
LIEU-DIT   CHAMP BOUCHARD             
LIEU-DIT   CHAMP DES ODDOUS           
LIEU-DIT   CHAMP DU BOCHI             
LIEU-DIT   CHAMP DU FOUR AGNIERES     
LIEU-DIT   CHAMP LONG AGNIERES        
LIEU-DIT   CHANTEGRAILLE AGNIERES     
LIEU-DIT   CHATEAU ROLLAND            
LIEU-DIT   LES CHAUPS                 
LIEU-DIT   CLOT LACHAUP               
LIEU-DIT   LES CLOTS AGNIERES         
LIEU-DIT   LES CLOUTAS                
LIEU-DIT   LA COMBE AGNIERES          
LIEU-DIT   COMBE DE L EAU AGNIERES    
LIEU-DIT   LES COMBES AGNIERES        
LIEU-DIT   LES COMBETTES AGNIERES     
LIEU-DIT   COTE BELLE                 
LIEU-DIT   COTE DE L ADROIT           
LIEU-DIT   COTE DE RIOUPES            
LIEU-DIT   COTE DU MOULIN             
LIEU-DIT   COUTIERES                  
LIEU-DIT   CROIX D AGNIERES           
LIEU-DIT   LES CROZES                 
LIEU-DIT   LA CURE                    
LIEU-DIT   DESSOUS LA TOUISSE         
LIEU-DIT   DESSOUS LE CHEMIN          
LIEU-DIT   LE DEVANT                  
LIEU-DIT   DEVANT LA VIEZE            
LIEU-DIT   DEVANT LE FOREST           
LIEU-DIT   DEVANT LE MOULIN           
LIEU-DIT   LA DRAYE                   
LIEU-DIT   LES EGAYERES               
LIEU-DIT   D ENTRAIGUE                
LIEU-DIT   LE FAU                     
LIEU-DIT   LE FESTRE                  
LIEU-DIT   LES FLAUX                  
LIEU-DIT   FONT DE JOUINIE            
LIEU-DIT   LE FOREST AGNIERES         
LIEU-DIT   GEAOUTE DU LOUP            
LIEU-DIT   LES GOURPS                 
LIEU-DIT   LA GRANDE SAGNE            
LIEU-DIT   GRIMPE LOUPS               
LIEU-DIT   GUITARD                    
LIEU-DIT   LES HOCHES                 
LIEU-DIT   LACHAUP                    
LIEU-DIT   LE MARTOURET               
LIEU-DIT   MAUBOURG                   
LIEU-DIT   LE PASSAU                  
LIEU-DIT   PEIRE SAUSSE               
LIEU-DIT   LE PEYROU                  
LIEU-DIT   PIED DE CHAGIER            
LIEU-DIT   PIED DE LA LAUZIERE        
LIEU-DIT   PIED DE RUISSARD           
LIEU-DIT   LA PLONGE                  
LIEU-DIT   LE PONTILLARD              
LIEU-DIT   LA POUA DES CLOTS          
LIEU-DIT   PRE DU BOIS                
LIEU-DIT   PRES BEYNET                
LIEU-DIT   LE PUGNET                  
LIEU-DIT   RABOUTOU                   
LIEU-DIT   LA RAMA                    
LIEU-DIT   REBAILLET AGNIERES         
LIEU-DIT   ROCHER COURBE              
LIEU-DIT   LA SAGNE AGNIERES          
LIEU-DIT   LES SAGNES AGNIERES        
LIEU-DIT   SAGNES COMMUNES            
LIEU-DIT   SERRE LA GARCINE           
LIEU-DIT   SERRE NOIRE                
LIEU-DIT   SERRE NOUS                 
LIEU-DIT   SERRE PELIER               
LIEU-DIT   LE SERRET                  
LIEU-DIT   SOUS LA VIE                
LIEU-DIT   SOUS LE LIOC               
LIEU-DIT   SOUS REBAILLET AGNIERES    
LIEU-DIT   TERRE NOBLE                
LIEU-DIT   LE TRAVERS                 
LIEU-DIT   L UBAC AGNIERES            
LIEU-DIT   LES UBACS                  
LIEU-DIT   VEAUGELLE                  
LIEU-DIT   VIELLARET                  
LIEU-DIT   LE VILLAGE AGNIERES        
LIEU-DIT   PRAYAU                     
LIEU-DIT   L ECOLE                    
LIEU-DIT   LA JOUE DU LOUP            
LIEU-DIT   LES MEYERES                
PLACE      DES BOUTIQUES              
CHEMIN     DE L'ADROIT                
AVENUE     D'AUROUZE                  
CHEMIN     DU BOCHIS                  
CHEMIN     DU CIMETIERE               
RUE        DES FLOCONS DU SOLEIL      
           commune :     AIGUILLES                      departement : HAUTES ALPES                  
RESIDENCE  BELLEVUE                   
           LE CANTON                  
MAIS       DE RETRAITE                
RESIDENCE  LE PEYNIN                  
LIEU-DIT   L ABANDON                  
LIEU-DIT   L ABRETON                  
LIEU-DIT   L ADROIT D ICHALP          
LIEU-DIT   L AGULLE                   
LIEU-DIT   L ARBOUL                   
LIEU-DIT   LES ARBRES                 
LIEU-DIT   L ARCHE                    
LIEU-DIT   ARNAUDET                   
LIEU-DIT   L AUCHE                    
LIEU-DIT   LE BACHAS                  
LIEU-DIT   BAISSE DE CHALLE           
LIEU-DIT   BAISSE DES COMBES          
LIEU-DIT   BAISSE DES POULAINS        
LIEU-DIT   LA BAISSE ET SEBEYRANE     
LIEU-DIT   BALARIN                    
LIEU-DIT   LA BALME                   
LIEU-DIT   BANCHET                    
LIEU-DIT   LE BANCHET                 
LIEU-DIT   LA BARASSE                 
LIEU-DIT   LES BARRES                 
LIEU-DIT   BAS ICHUS                  
LIEU-DIT   BAS SEYTOU                 
LIEU-DIT   BASSES DONZELLES           
LIEU-DIT   BASSES ROUTES              
LIEU-DIT   LA BESSOUNE                
LIEU-DIT   BOIS DE MARASSAN           
LIEU-DIT   BOIS FARNAS                
LIEU-DIT   BOIS FORANT                
LIEU-DIT   BOIS LA LEVET              
LIEU-DIT   BOISSERATTE CLOTE          
LIEU-DIT   BOUISSERATTE               
LIEU-DIT   BOUISSOUZES                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BRASQ                   
LIEU-DIT   LE BRUCHET                 
LIEU-DIT   LA BRUNELLE                
LIEU-DIT   CAGOCELLE                  
LIEU-DIT   LA CARAMAGNE               
LIEU-DIT   LES CASSES                 
LIEU-DIT   CHABATARON                 
LIEU-DIT   CHALANCE                   
LIEU-DIT   LA CHALANCHE               
LIEU-DIT   CHALLOUP                   
LIEU-DIT   CHALMETTE                  
LIEU-DIT   LA CHALP                   
LIEU-DIT   CHALPETTE                  
LIEU-DIT   CHALVET BAS                
LIEU-DIT   CHALVET HAUT               
LIEU-DIT   CHAMP AU VIOL              
LIEU-DIT   CHAMP BLANCHON             
LIEU-DIT   CHAMP DE CHARAOUZE         
LIEU-DIT   CHAMP DE LISE              
LIEU-DIT   CHAMP DE PERRE             
LIEU-DIT   CHAMP DES BOURBONS         
LIEU-DIT   CHAMP DES LIEVRES          
LIEU-DIT   CHAMP GALLU                
LIEU-DIT   CHAMP LA BROUA             
LIEU-DIT   CHAMP QUEYRAS              
LIEU-DIT   CHAMP TARIN                
LIEU-DIT   CHAMPAS                    
LIEU-DIT   LES CHAMPONS               
LIEU-DIT   CHARAOUZE                  
LIEU-DIT   CHARBONNIERE               
LIEU-DIT   CHARBONNIERE HAUTE         
LIEU-DIT   CHARNIER                   
LIEU-DIT   CHASTREYSSE                
LIEU-DIT   LE CHATELARD               
LIEU-DIT   CHAZAL DU ROURE            
LIEU-DIT   CIME DES RAMBERTS          
LIEU-DIT   LE CLAOUS                  
LIEU-DIT   LE CLAPIER                 
LIEU-DIT   LES CLAUZIS                
LIEU-DIT   LE CLOT                    
LIEU-DIT   CLOT CHABERT               
LIEU-DIT   CLOT D ENJAIME             
LIEU-DIT   CLOT DE MARCEIL            
LIEU-DIT   CLOT DE SAINT PEYRE        
LIEU-DIT   CLOT LA DONE               
LIEU-DIT   CLOT LAPIN                 
LIEU-DIT   CLOT ROND                  
LIEU-DIT   LES CLOTS                  
LIEU-DIT   LES COINS                  
LIEU-DIT   COLABROUX                  
LIEU-DIT   LE COLLET                  
LIEU-DIT   COLOMBIER                  
LIEU-DIT   COLOMBRINE                 
LIEU-DIT   LA COLONE                  
LIEU-DIT   COMBALET                   
LIEU-DIT   LE COMBALET                
LIEU-DIT   COMBE CROZE                
LIEU-DIT   COMBE JULIEN               
LIEU-DIT   COMBE ROUSSET              
LIEU-DIT   LA COMBETTE                
LIEU-DIT   LA COMPRE                  
LIEU-DIT   CONDAGNEL                  
LIEU-DIT   LA CONDAMINE               
LIEU-DIT   CORDELLES                  
LIEU-DIT   COSTE DES COUGNES          
LIEU-DIT   COSTE LOUBETTE             
LIEU-DIT   LES COSTES                 
LIEU-DIT   LES COSTES DE MICHEL       
LIEU-DIT   COSTES DES RAMBERTS        
LIEU-DIT   COTE BELLE                 
LIEU-DIT   LES COUAGNES               
LIEU-DIT   LE COUGNE                  
LIEU-DIT   COUGNE DES ROCHAS          
LIEU-DIT   LES COUGNETS               
LIEU-DIT   CRETE D ICHALP             
LIEU-DIT   CROIX D ALLION             
LIEU-DIT   CROIX DU COLLET            
LIEU-DIT   LE CROS                    
LIEU-DIT   CROS DES EYSSAILLONS       
LIEU-DIT   CROS DU SEYTOU             
LIEU-DIT   CROS LA DRAYE              
LIEU-DIT   LA CROUZETTE               
LIEU-DIT   LES CROZES                 
LIEU-DIT   LA DEIVIERE                
LIEU-DIT   AU DELA DE L EAU           
LIEU-DIT   DERRIERE L EGLISE          
LIEU-DIT   DESSOUS LA LAUZE           
