20151101
RUE        DU TRIANON                 
RUE        DES TROIS FILLETTES        
RUE        3E ET 19E REG.DE CHASSEURS 
VOY        AUX VACHES                 
CHEMIN     DU VAL                     
ROUTE      DES DEUX VALLEES           
RUE        DU VALVRET                 
BOULEVARD  VAUBAN                     
ROUTE      DE VAUCHELLES              
PLACE      DE VERDUN                  
RUE        VENDEMIAIRE                
RUE        VENTOSE                    
RUE        DU VERGER                  
RUE        JULES VERNE                
           CAVEE VERTE                
RUE        VICTOR COMMONT             
RUE        VICTOR HUGO                
RUE        VICTOR HUGO                
RUE        VIEILLE PORTE MARCADE      
RUE        DES VIGNES                 
RUE        PAUL VIMEREU               
AVENUE     DES VOLONTAIRES FFI VIII/2 
BOULEVARD  VOLTAIRE                   
VOIE       NOUVELLE                   
IMPASSE    DU VOYEUL                  
CHEMIN     DU VOYEUL                  
           commune :     ABLAINCOURT-PRESSOIR           departement : SOMME                         
LIEU-DIT   BOIS DE PRESSOIR           
LIEU-DIT   LE CHEMIN BLANC DE BOVENT  
LIEU-DIT   LE CHEMIN DE LIHONS        
LIEU-DIT   CROIX MICHEL               
LIEU-DIT   L ETALON                   
LIEU-DIT   LA FOSSE A KA              
LIEU-DIT   PETITE SOLE D ABLAINCOURT  
LIEU-DIT   LES ROYARDS                
LIEU-DIT   SOLE D HYENCOURT           
LIEU-DIT   SOLE DE BERNY              
LIEU-DIT   SOLE DE BOVENT             
LIEU-DIT   SOLE DE DENIECOURT         
LIEU-DIT   SOLE DE GENERMONT          
LIEU-DIT   SOLE DE GOMICOURT          
LIEU-DIT   SOLE DE L ENFOURCHE        
LIEU-DIT   SOLE DE LA TABLE RONDE     
LIEU-DIT   SOLE DE SOYECOURT          
LIEU-DIT   SOLE DE VERMANDOVILLERS    
LIEU-DIT   SOLE DU BOIS ANNE DEGENNE  
LIEU-DIT   SOLE DU BOIS DE PRESSOIR   
LIEU-DIT   SOLE DU BOIS SAINT GEORGES 
LIEU-DIT   SOLE DU MOULIN ROND        
LIEU-DIT   SOLE DU MOULIN VIEUX       
LIEU-DIT   LA VALLEE DE MARCHELEPOT   
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   PRESSOIR                   
LIEU-DIT   ABLAINCOURT                
RUE        D ABLAINCOURT              
RUE        DE BERNY                   
RUE        DE BRAY                    
RUE        DE CAPPY                   
RUE        DE CHAULNES                
RUE        DE L EGLISE                
AVENUE     DE LA GARE                 
AVENUE     DE HAUTE PICARDIE          
RUE        D HYENCOURT LE GRAND       
RUE        DE LIHONS                  
RUE        DE NESLE                   
ALLEE      DE MARSEILLE               
RUE        DE PERONNE                 
RUE        DU 14 JUILLET              
RUE        DE SOYECOURT               
RUE        LA RUELLE                  
           commune :     ACHEUX-EN-AMIENOIS             departement : SOMME                         
LIEU-DIT   LES BIEFS                  
LIEU-DIT   BOIS D ACHEUX              
LIEU-DIT   LA BRIQUETERIE             
LIEU-DIT   BUISSON TAURIEN            
LIEU-DIT   CALVAIRE                   
LIEU-DIT   CHAMPS A PUCES             
LIEU-DIT   CHAMPS A RENARD            
LIEU-DIT   CHAMPS DU FRESNE           
LIEU-DIT   CHAMPS JEAN BLOT           
LIEU-DIT   LE CHAUCHON                
LIEU-DIT   CHEMIN DE BERTRANCOURT     
LIEU-DIT   CHEMIN DE BUS              
LIEU-DIT   LA CROISETTE               
LIEU-DIT   CROISETTE DU CHEMIN DE BUS 
LIEU-DIT   DERRIERE FRANC MAILLY      
LIEU-DIT   AU DESSUS DES DOUZE        
LIEU-DIT   LE DOMAINE                 
LIEU-DIT   DOMAINE DU CHEM DE BERTRAN 
LIEU-DIT   LES DOUZE                  
LIEU-DIT   LE FORT                    
LIEU-DIT   FOSSE A WADES              
LIEU-DIT   FOSSES A WADES             
LIEU-DIT   LE GAUGUER                 
LIEU-DIT   LA GRESSIERE               
LIEU-DIT   LES GROS CAILLOUX          
LIEU-DIT   HAUT DU CHEMIN DE BUS      
LIEU-DIT   LES HAUTS BUISSONS         
LIEU-DIT   LES HAYETTES               
LIEU-DIT   LES LONGS CHAMPS           
LIEU-DIT   LA MOIS                    
LIEU-DIT   MONT A VAS                 
LIEU-DIT   LE MONT WARIN              
LIEU-DIT   LES NEUFS                  
LIEU-DIT   LES PIERRETTES             
LIEU-DIT   LES QUARANTE BUISSONS      
LIEU-DIT   LES QUATRE BUISSONS        
LIEU-DIT   RIDEAUX COMTESSE           
LIEU-DIT   RIDEAUX JACQUES DESNELLE   
LIEU-DIT   SOLETTE                    
LIEU-DIT   LA SOLETTE                 
LIEU-DIT   LE VALLAGNIER              
LIEU-DIT   VALLEE COMBREUSE           
LIEU-DIT   VALLEE COMTESSE            
LIEU-DIT   VERS CLAIRFAYE             
LIEU-DIT   VERS FRAMAILLY             
LIEU-DIT   VERS LEALVILLERS           
LIEU-DIT   LE VILLAGE                 
RUE        EN BAS                     
RUE        AGACHE                     
