20151101
95         VAL D OISE                    
AVENUE     DES FLANETS                
ROUTE      DU FORT                    
RUE        GAETAN PIROU               
RUELLE     GOUFFE                     
SENTIER    DE LA GUERLETTE            
CHEMIN     DES HAUTS BRIFFAUTS        
AVENUE     DES HUIT ARPENTS           
RUE        JEAN FINOT                 
PLACE      JEAN LOUIS FINOT           
RUE        DU DOC ALBERT SCHWEITZER   
SENTIER    DU LAVOIR                  
RUE        DU LAVOIR                  
CHEMIN     DES MAQUIGNONS             
SENTIER    DE LA GUERLETTE            
PLACE      DE LA MAIRIE               
CHEMIN     DE LA MARE                 
ROUTE      DE MONTMORENCY             
AVENUE     DE MONTMORENCY             
ALLEE      DE L OREE DU BOIS          
RUE        DE L ORME A LA GARDE       
RUE        DE PARIS                   
ALLEE      DE LA PEPINIERE            
CHEMIN     DES PETITES COMMUNES       
PLACE      LOUIS JEAN FINOT           
RUE        PHILIPPE LE BEL            
ALLEE      DES POIRIERS               
RUE        DES PRES                   
CHEMIN     DES PRES                   
RUE        DU PRESBYTERE              
RUE        DU PRESIDENT PAUL DOUMER   
CHEMIN     DE LA PIAILLE              
CHEMIN     DE LA PIAILLE              
RUE        RENE CASSIN                
RUE        DES RONDEAUX               
ALLEE      DES ROSEAUX                
IMPASSE    DE LA ROUSSE               
RUE        DE LA SABLIERE             
RUE        SAINT DOMMER               
ALLEE      DES SERRES                 
CHEMIN     DE SOISY A DOMONT          
ALLEE      DU VAL FLEURI              
ALLEE      DES VERGERS                
RUE        DE LA SONNETTE             
           commune :     ARGENTEUIL                     departement : VAL D OISE                    
CITE       ADMINISTRATIVE             
RESIDENCE  DE BRETAGNE                
CITE       CHAMPAGNE                  
CITE       DU COUDRAY                 
CITE       DES ERABLES                
RESIDENCE  FLORENCE                   
VILLA      DE LA GLACIERE             
CITE       DE GODE                    
CITE       JARDIN                     
CENTRE     CIAL JOLIOT CURIE          
CITE       JOLIOT CURIE               
           ECOLE JOLIOT CURIE         
CITE       JOLIVAL D ARGENTEUIL       
           PAVILLON LORRAINE          
CITE       MORINVAL                   
CITE       MORINVAL BRODELAIS         
CITE       D ORGEMONT                 
CITE       DU PERREUX                 
CITE       DU PRUNET                  
CITE       ROUSSILLON                 
LIEU-DIT   BUFFET NORD                
LIEU-DIT   BUFFET SUD                 
LIEU-DIT   BUTTE VACHON               
LIEU-DIT   CAILLOT                    
LIEU-DIT   CHEM DE FER DE LA GDE CEIN 
LIEU-DIT   CHEM DE FER DE MANTES A PA 
LIEU-DIT   LE CHEMIN VERT NORD        
LIEU-DIT   LE CHEMIN VERT SUD         
LIEU-DIT   LE FOND DE GAUDON          
LIEU-DIT   LA FOSSE AUX LOUPS EST     
LIEU-DIT   LA FOSSE AUX LOUPS NORD    
LIEU-DIT   LA FOSSE AUX LOUPS SUD     
LIEU-DIT   FRECUL                     
LIEU-DIT   GARE DU VAL NOTRE DAME     
LIEU-DIT   GAUDON                     
LIEU-DIT   GRAND TERRIER              
