20151101
27         EURE                          
RUE        DE L ETANG                 
IMPASSE    DE LA FONTAINE             
CHEMIN     DES FORRIERES              
ROUTE      DE GAILLON                 
RUELLE     GOUBERT                    
CHEMIN     DE GRUCHET                 
CHEMIN     DE HAUT                    
ROUTE      DE HEUDEBOUVILLE           
SENTIER    D INGREMARE N1             
SENTIER    D INGREMARE N2             
SENTIER    D INGREMARE N3             
RUE        D INGREMARE                
CHEMIN     DES LONDES                 
CHEMIN     DU HARIDON                 
IMPASSE    DU LAVOIR                  
ROUTE      DES LONGS CHAMPS           
RUE        DE LA MARE DES FOSSES      
RUE        DE MARINETTE               
ROUTE      DES QUAIZES                
SENTIER    RURALE DES QUAIZES         
RUE        DE LA MARE NEUVE           
RUE        DE MALPALU                 
RUE        DE METREVILLE              
RUE        DU MANOIR                  
RUE        DES MESANGES               
RUE        DE L ORTIER                
IMPASSE    NOTRE DAME DE LOURDES      
CHEMIN     DU BOIS RICARD             
ROUTE      DE SAINTE BARBE            
ROUTE      DE ST JULIEN DE LA LIEGUE  
RUE        ST MEDARD                  
AVENUE     DES TILLEULS               
CHEMIN     DE TOSNY                   
ROUTE      DE VENABLES                
CHEMIN     DE VIEUX VILLEZ            
RUE        DU VAL RENOULT             
           commune :     AIZIER                         departement : EURE                          
LIEU-DIT   ARSAULT                    
LIEU-DIT   BOIS DE FECAMP             
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA FALAISE                 
LIEU-DIT   LE FLACQ                   
LIEU-DIT   FOND DES VAUX              
LIEU-DIT   GREVE DE LA SEINE          
LIEU-DIT   HAMEAU DU FLACQ            
LIEU-DIT   SAINT THOMAS               
LIEU-DIT   FEU DES FLACQUES           
ROUTE      DES BOIS DE FECAMP         
ROUTE      DE LA CAVEE                
VOIE       AUX CHARRETTES             
ROUTE      DES CHAUMIERES             
IMPASSE    DE LA COHUE                
CHEMIN     DE L'ENFER DU ROY          
ROUTE      DU FLACQ                   
ROUTE      DU FOND DES VAUX           
CHEMIN     DE LA GRANDE COTE          
ROUTE      DE LA HUNIERE              
CHEMIN     DU PONT                    
IMPASSE    DU QUAI DE SEINE           
ROUTE      DE SAINT THOMAS            
           commune :     AJOU                           departement : EURE                          
LIEU-DIT   BOIS DES HAUTS CHENES      
LIEU-DIT   BOIS DU GOUFRE             
LIEU-DIT   LE BOIS DU VAL             
LIEU-DIT   LE BOIS PUTEL              
LIEU-DIT   LES BOSSIERES              
LIEU-DIT   LE BOUT DE HAUT            
LIEU-DIT   LA BRUNETIERE              
LIEU-DIT   BUTTES DU MOULIN A VENT    
LIEU-DIT   LE CHAMP AU CHAT           
LIEU-DIT   LA CHAUSSEE                
LIEU-DIT   LES CLOS DES VINGT ACRES   
LIEU-DIT   LE CLOS ROSE               
LIEU-DIT   LE COUDRAY                 
LIEU-DIT   LES CRIGNIERES D AJOU      
LIEU-DIT   LA CROIX D ANGE            
LIEU-DIT   L EPINE AU COQ             
LIEU-DIT   L EPINE DE LA GARENNE      
LIEU-DIT   L EPINE GROULT             
LIEU-DIT   L EPINE SAINT COME         
LIEU-DIT   L EPINE SAINT COME OUEST   
LIEU-DIT   LE FIEF DU ROI             
LIEU-DIT   LA FOSSE FAURIN            
LIEU-DIT   LE FROUILLARD              
LIEU-DIT   LES GRES                   
LIEU-DIT   GROSSES PIERRES            
LIEU-DIT   HAMEAU DE MANCELLES        
LIEU-DIT   HAMERAIE                   
LIEU-DIT   LES LONGUES RAIES          
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LA MARE AU BOURG           
LIEU-DIT   LA MARE AU LOUP            
LIEU-DIT   LA MARE AU POULAIN         
LIEU-DIT   LA MARE VITIGNY            
LIEU-DIT   LES MARETTES               
LIEU-DIT   LE MESNIL LUCAS            
LIEU-DIT   LE MONT DU FOUR            
LIEU-DIT   LE MOULIN A EAU            
LIEU-DIT   LE MOULIN CHAPELLE         
LIEU-DIT   LE MOULIN DE SAINT AUBIN   
LIEU-DIT   MOULIN DU CHATEL           
LIEU-DIT   LE PARC                    
LIEU-DIT   LE PETIT DIMAGE            
LIEU-DIT   LE PETIT HARCOURT          
LIEU-DIT   PIERRE MESSI JEAN          
LIEU-DIT   LES PLATRES                
LIEU-DIT   LE POT DE VIN              
LIEU-DIT   LE PRE DU COLOMBIER        
LIEU-DIT   LA ROSETTE                 
LIEU-DIT   LA SENTE AUX MINEURS       
LIEU-DIT   SENTE DU MARAIS            
LIEU-DIT   LE SOUILLARD               
LIEU-DIT   LE SUREAU                  
LIEU-DIT   LE TERRIER MALADE          
LIEU-DIT   LE VAL VILANDEL            
LIEU-DIT   VALLEE D HIARD             
LIEU-DIT   VENELLE A L EAU            
LIEU-DIT   VILLAGE D AJOU             
LIEU-DIT   VILLAGE DE ST AUBIN        
LIEU-DIT   LE FIEF DU ROI EST         
LIEU-DIT   LE MOULIN A TAN            
LIEU-DIT   FISCAL                     
ROUTE      DE LA BARRE                
ROUTE      DE BEAUMONT                
CHEMIN     DE LA BERGERIE             
ROUTE      DE BERNAY                  
CHEMIN     DE LA BRIQUETONNE          
ROUTE      DE BROGLIE                 
CHEMIN     DE LA BRUNETIERE           
CHEMIN     DE LA CAVEE                
RUE        DE L'EGLISE                
SENTIER    DU GRAND PRE               
RUE        DU HAMEAU                  
ROUTE      DU MESNIL LUCAS            
CHEMIN     DU MOULIN                  
ROUTE      DU NOYER                   
COTE       DE RABILLY                 
SENTIER    DE LA VALLEE               
CHEMIN     DE LA VIEILLE COTE         
           commune :     ALIZAY                         departement : EURE                          
ZI         DU CLOS PRE                
LOT        DES GLYCINES               
LIEU-DIT   LE BOIS DE ROUVILLE        
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LE CAMP BLANC              
LIEU-DIT   LE CAMP NOTRE DAME         
